AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
20.013351	21.135107	162.0533	4.4804645	-1.3110844	0.35698023	-0.8060181	-1.9093583	23.11628	17.6	2000	2.9853985	2.9863112	0.029397931	0.025252055	9.5983e-12	4.6235016e-11	4.0200873e-10	0.0	119.73796	496.7354	3254.7947	0.0011683702	17597.191	280455.47	180.88225	-12.648586	4150.023	13.08747911453247
17.05778	18.612886	176.97136	4.7578998	-1.4660375	0.26535335	-0.93082255	-1.8231616	20.628866	17.7	4000	5.5822945	5.5823965	0.054903124	0.05240464	2.0381663e-15	2.853237e-14	9.661161e-13	0.0	0.009218441	0.002124989	0.018693924	0.004673481	19484.066	310527.34	182.41505	32.337967	4513.4644	27.44825839996338
20.198408	17.282413	89.37991	6.4948673	-1.4665368	0.25056377	-1.0213914	-1.8246912	22.449438	17.8	6000	2.1211858	2.1211681	0.09995799	0.09972971	1.0441646e-15	2.5383023e-14	9.662549e-13	0.0	0.0110189	0.00453024	0.018693924	0.0023367405	19790.031	315403.88	182.70795	34.566196	3832.45	45.2235689163208
18.699488	18.454689	144.51828	5.1558003	40.607468	0.45948267	41.94157	40.283695	21.64516	23.1	8000	4.1318502	4.1318517	0.39480218	0.39507732	8.826996e-12	1.2516898e-11	2.0883517e-10	0.0	5994.427	8743.041	71717.414	0.009346962	17521.58	279250.78	348.26782	-3.9291553	4370.138	60.74714803695679
20.710297	20.377394	125.13354	4.7363205	47.156624	0.8076297	48.110073	45.488018	22.91954	29.8	10000	43.12192	43.122463	3.396947	3.243959	8.478681e-12	6.749538e-12	6.9603656e-11	1.108557e-12	29136.137	40931.562	277373.9	33.050858	28801.598	459026.8	542.4405	-5.4711237	3756.4775	79.09451627731323
135.3995	62.360012	196.84036	15.741634	175.48807	1.3743851	178.67442	173.90039	66.75862	85.6	12000	86.58349	86.58463	10.899492	10.502099	1.4694983e-11	9.8906465e-12	6.947579e-11	1.3311182e-12	64202.984	47425.98	349431.5	5920.8145	13473.817	214739.72	433.3713	-11.156174	1364.8938	95.75667786598206
176.34517	15.043646	240.81677	157.68738	204.83981	1.2035475	206.56767	202.92296	87.434784	90.4	14000	111.874435	111.87581	11.142984	10.374398	1.7952062e-11	1.1462541e-11	8.108619e-11	1.5771745e-12	48895.258	49747.113	722299.6	7572.9834	11037.723	175914.27	221.90369	-9.720518	893.0806	115.14611387252808
199.22475	37.80223	360.01572	140.3854	161.73953	14.9514	182.15266	139.72464	91.77273	79.6	16000	125.5755	125.5754	12.27705	11.43342	1.7004243e-11	1.1815096e-11	6.957179e-11	1.880017e-12	83182.8	54207.258	395878.3	16818.475	7679.7256	122396.086	177.74095	-8.768395	1293.1199	133.01489329338074
176.89769	62.874638	219.84837	9.620984	207.70403	2.9113967	213.39708	203.19676	79.52	90.6	18000	139.2262	139.227	11.850153	11.211697	1.41945405e-11	9.03867e-12	6.330415e-11	1.6499655e-12	64048.617	46670.395	636098.0	10946.713	8387.799	133680.95	217.40413	-9.3765335	1323.3383	151.80891346931458
322.3635	113.771286	595.2621	193.58305	439.03937	20.486797	471.17868	393.5773	170.36363	247.4	20000	151.49586	151.49724	12.268379	11.558647	1.6083884e-11	1.0935004e-11	7.8148474e-11	1.8976851e-12	58442.195	45051.41	490374.2	11481.658	7418.719	118236.086	228.77841	-11.127084	1127.357	173.95933628082275
