AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-322.63293	18.042892	-304.59003	-340.6758	-568.50256	1.015146	-566.84064	-570.19135	1000.0	1000.0	2000	1.5262368	1.5267816	0.050776076	0.04968869	1.3188486e-05	6.372179	44.332912	628.5774	0.006482005	8913.091	18.23487615585327
-274.5753	68.76748	-205.80782	-343.34277	-668.27893	27.68135	-633.6726	-723.1833	1000.0	1000.0	4000	6.374216	6.373787	0.17408009	0.18717217	-5.967569e-05	26.311674	127.12332	1176.0549	0.0070055104	8401.476	45.52673935890198
-170.30225	4.6176605	-165.68459	-174.9199	-490.54376	145.02515	-235.54861	-738.85834	1000.0	1000.0	6000	15.737794	15.737766	0.3879255	0.3999509	-5.986051e-05	32.996235	75.180176	751.9028	0.42660162	8390.115	72.65174603462219
-214.20073	20.645203	-193.55553	-234.84593	-487.38174	197.1442	-191.30624	-999.3908	1000.0	1000.0	8000	37.654774	37.65502	0.8150927	0.82062876	-7.0748836e-05	25.025307	55.019604	742.0973	0.54605305	8279.327	99.7215883731842
-306.7157	45.713867	-261.00183	-352.42957	-510.7954	84.47324	-387.95926	-638.63556	1000.0	1000.0	10000	66.54692	66.54597	1.3475938	1.3806732	8.195341e-07	6.797281	16.656546	302.63855	0.19058585	8373.394	126.87971591949463
-438.73737	9.152893	-429.58447	-447.89026	-588.237	53.729206	-487.84512	-658.2939	1000.0	1000.0	12000	87.4412	87.44002	2.3530748	2.4342725	-0.00016655179	45.98803	86.71246	773.90283	0.15810132	2380.8977	154.67255926132202
-188.36176	217.16402	28.802258	-405.52576	-138.29292	179.27876	62.44944	-432.89212	1000.0	1000.0	14000	85.5522	85.55144	1.8778633	1.9698025	0.00013057144	130.01791	115.48364	738.4954	4.8683586	2335.9548	182.40484929084778
-33.09291	371.96863	338.87573	-405.06155	493.24667	276.16315	1159.8457	14.978337	1000.0	1000.0	16000	80.22018	80.21961	1.4297097	1.4675895	-0.00015913346	200.53947	57.874546	451.7132	40.38334	2341.204	210.15491342544556
744.7593	81.57059	826.32983	663.18866	972.9038	200.77875	1249.5956	717.6836	1000.0	1000.0	18000	77.1621	77.16233	1.1954361	1.205732	-0.00014073653	172.51881	58.51398	385.31155	45.705288	2357.6826	238.0480182170868
1524.9126	274.8175	1799.7301	1250.0951	1402.3713	274.466	1735.1869	944.8904	1000.0	1000.0	20000	77.24492	77.244774	1.1015266	1.1241891	-4.565316e-05	64.68729	21.107924	148.43791	20.986944	2369.936	265.7803931236267
