AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
-240.07063	275.03436	-58.36208	-715.6018	-257.83914	342.4922	-5.8868723	-817.5987	363.75	359.4	32000	69467.51	69467.85	28.068005	26.948032	4.4906884e-11	2.6226622e-11	2.1089562e-10	5.1845685e-12	4910.726	2140.6846	18221.045	1802.0906	292743.1	25651294.0	128.16554	10.140316	750.16455	450.23726749420166
-251.86075	318.9826	7.643478	-822.89087	-111.059	166.98035	11.245798	-577.3035	384.2857	221.5	34000	63755.258	63754.465	20.825228	20.07805	4.515271e-11	2.6913867e-11	1.8529514e-10	4.6506804e-12	3973.497	1696.0262	16100.326	1416.1055	297748.16	26090186.0	112.70275	12.094812	693.14545	482.5496275424957
-138.50343	208.02098	-17.841612	-593.571	36.626335	141.30309	435.12653	-137.83624	258.83334	192.5	36000	58271.992	58271.98	16.879343	15.809343	4.6513307e-11	2.8634409e-11	1.9393323e-10	4.5677715e-12	3314.9045	1432.3383	16024.278	1055.9795	295658.88	25906996.0	119.34147	13.089701	791.2372	511.3998749256134
-117.41075	173.9044	46.805496	-409.54965	208.58017	229.3968	652.9084	-62.8874	411.0	714.4	38000	53148.055	53147.914	13.467856	12.008369	4.7758814e-11	2.8353911e-11	2.131996e-10	5.1643616e-12	2731.0933	1122.1636	8826.377	885.0421	291521.38	25544132.0	121.90493	13.917957	702.5267	550.911771774292
62.210182	57.883965	145.9949	-12.091306	194.16707	280.9713	705.4078	-117.8061	463.2	543.4	40000	48497.5	48497.16	10.89283	10.231676	4.626399e-11	2.7469105e-11	1.9252536e-10	4.7893846e-12	2405.1487	988.3722	9185.893	825.22107	288614.2	25289522.0	129.52434	14.089905	723.24225	583.7332546710968
244.59953	207.9149	530.83234	43.20793	363.44547	209.5015	712.33124	48.808853	708.6667	804.7	42000	44519.543	44519.7	8.6894655	8.2701645	4.6700036e-11	2.778561e-11	1.8544988e-10	5.369491e-12	2095.0696	896.57385	9406.331	722.7789	285630.6	25028120.0	122.94384	13.690034	719.2855	621.6202783584595
392.87994	12.19838	405.0783	380.68155	527.58527	231.74802	814.571	95.97213	1000.0	919.2	44000	40979.77	40979.723	6.8132596	6.404546	4.7199494e-11	2.8409344e-11	2.1834312e-10	4.7534125e-12	1757.8013	741.7455	6152.9956	597.4611	286815.06	25132004.0	103.97865	15.79615	777.40704	663.9420258998871
631.78906	139.11269	770.90173	492.67636	542.31824	260.78345	784.5831	45.539513	1000.0	815.8	46000	37979.69	37979.742	5.4872484	5.343809	4.802576e-11	2.9274094e-11	2.385784e-10	5.123672e-12	1452.8815	631.88	5614.3125	470.94125	290527.56	25457156.0	116.89198	14.981407	738.67993	700.6026237010956
553.9509	93.10144	647.05237	460.8495	529.04297	182.41602	777.2843	24.87712	1000.0	904.4	48000	35441.35	35441.35	4.565367	4.563018	4.8050088e-11	2.8237416e-11	2.1253561e-10	5.122e-12	1215.5453	512.17096	4626.126	435.87146	293496.9	25717362.0	112.31157	15.314806	693.0724	743.5667645931244
702.6987	58.602966	761.3017	644.09576	650.64294	79.88231	778.2322	566.03656	1000.0	1000.0	50000	33356.402	33356.31	3.7207532	3.654688	4.951847e-11	3.045045e-11	2.2655255e-10	6.0750324e-12	1001.1119	393.03745	3640.1519	333.8773	297895.22	26102764.0	108.1003	14.127022	826.4981	783.3282589912415
754.99536	40.742065	795.7374	714.2533	675.3138	54.18666	785.90045	630.44867	1000.0	1000.0	52000	31584.283	31584.598	3.5198824	3.387784	5.1005353e-11	2.9912222e-11	2.2240967e-10	4.722146e-12	856.0564	343.046	3353.7683	298.50854	301227.84	26394824.0	115.743774	17.999905	684.2891	825.5693147182465
750.7577	43.76886	794.52655	706.98883	699.2162	34.3278	778.01953	663.29315	1000.0	1000.0	54000	30118.111	30118.016	2.8569458	2.978218	5.0332634e-11	2.955425e-11	2.2828767e-10	3.4436824e-12	757.18787	322.18866	3270.169	279.6658	305464.84	26765884.0	122.01787	16.23892	826.3941	867.0987977981567
809.7942	7.2538147	817.04803	802.5404	820.1284	71.517586	921.188	641.33264	1000.0	1000.0	56000	28877.012	28877.037	2.5455453	2.4947672	5.098039e-11	2.8771617e-11	2.0499351e-10	5.098298e-12	661.54535	256.16425	2373.825	241.1838	309215.78	27094900.0	111.063896	13.566784	711.76605	907.3947551250458
796.67017	18.300507	814.9707	778.3697	780.8154	40.060455	828.025	712.313	1000.0	1000.0	58000	27815.293	27815.299	2.3914294	2.4880319	5.1076962e-11	3.02951e-11	2.1041106e-10	3.6643097e-12	588.8635	237.04503	2820.162	223.80763	314535.1	27560884.0	124.92435	19.74381	765.34827	950.5318222045898
824.2961	9.747437	834.0435	814.54865	760.67883	72.36853	847.2299	636.5033	1000.0	1000.0	60000	26875.328	26875.477	2.1768045	2.0440042	5.149662e-11	2.9157017e-11	2.1306193e-10	5.635709e-12	512.5599	204.43999	2066.871	195.4676	319995.6	28039650.0	119.82358	20.848934	819.13165	989.0387680530548
836.5465	11.39212	847.9386	825.15436	725.9131	89.543076	816.39264	515.229	1000.0	1000.0	62000	26138.727	26138.717	1.9930578	1.9569458	5.1478138e-11	2.8617367e-11	1.9785583e-10	4.306952e-12	456.42438	176.79527	1759.999	174.67984	325352.25	28508926.0	114.68761	20.622128	698.06573	1032.6600410938263
824.75714	23.216248	847.9734	801.5409	813.3727	23.636084	847.6906	752.2059	1000.0	1000.0	64000	25493.58	25493.588	1.9133613	1.8720689	5.2581783e-11	2.9548954e-11	1.9747226e-10	4.662353e-12	408.58255	160.96793	1492.2947	159.12671	330713.47	28978354.0	116.65007	21.329521	832.01526	1072.7035579681396
680.349	264.88257	873.8632	305.818	825.7418	42.7376	912.69055	743.44604	774.0	1000.0	66000	24960.217	24960.264	1.7776648	1.8120048	5.3433674e-11	2.8915636e-11	1.7600216e-10	5.2724023e-12	370.2653	137.88847	1234.543	146.63101	334801.7	29336422.0	131.88486	21.033827	698.2741	1115.2234728336334
839.72	54.385406	894.1054	785.3346	633.0665	278.80347	898.6633	117.72386	1000.0	771.1	68000	24487.225	24487.238	1.7072437	1.6843469	5.3160015e-11	2.948139e-11	2.0046168e-10	4.186296e-12	345.3362	134.75653	1649.099	128.01219	338711.8	29679148.0	128.1316	24.260006	822.1854	1154.1250531673431
528.16254	417.65665	945.81915	110.50589	714.1796	149.99434	856.1173	438.28323	614.0	1000.0	70000	24080.824	24080.887	1.6282569	1.6015488	5.342104e-11	2.9714144e-11	1.8035758e-10	4.787001e-12	322.86664	127.31959	1172.6277	133.91916	342415.66	30003958.0	131.81544	22.614548	824.43494	1192.875
803.2976	21.50241	824.80005	781.7952	654.3104	206.48643	888.6443	184.0912	1000.0	923.0	72000	23664.047	23663.977	1.5402166	1.6014668	5.3279166e-11	2.8888327e-11	1.8067882e-10	4.756838e-12	299.7182	118.61462	1360.9884	127.571365	345636.6	30286412.0	130.168	22.984385	694.3094	1234.5767390727997
863.568	4.5571594	868.1251	859.0108	828.73944	52.164104	891.95197	725.78064	1000.0	1000.0	74000	23297.08	23297.207	1.4682173	1.4279162	5.3469527e-11	2.9033161e-11	1.784476e-10	4.3770816e-12	279.78146	108.0503	1307.6062	117.17748	348062.94	30498580.0	146.82217	23.05294	884.20135	1275.4384775161743
786.6669	15.300049	801.9669	771.3668	681.7167	324.60336	945.5514	37.009197	1000.0	778.9	76000	23027.223	23027.127	1.3789096	1.3904645	5.4899574e-11	2.929182e-11	2.0200434e-10	5.651236e-12	257.71417	99.16229	880.93695	97.20362	351687.62	30816020.0	128.90417	21.535683	706.71735	1314.6241466999054
442.4667	300.95822	782.62054	47.66848	524.8788	333.71674	905.6402	41.834633	541.6	733.8	78000	22814.912	22814.951	1.3566413	1.3599861	5.5525917e-11	2.9277938e-11	2.2616317e-10	3.3021535e-12	240.656	96.693665	1510.1658	88.01516	355674.25	31165572.0	138.50632	25.292625	861.69684	1353.3726878166199
316.89575	180.2404	497.13614	136.65535	668.2073	253.88655	884.23193	132.4796	568.5	840.7	80000	22586.736	22586.662	1.4134647	1.3753284	5.5746123e-11	2.8685875e-11	2.0369682e-10	5.143511e-12	226.53491	84.81253	1030.4882	91.529884	357989.8	31368724.0	137.54567	20.641756	865.9612	1390.5371356010437
689.0435	254.6015	953.1397	345.04544	657.2812	287.86935	919.416	127.28828	757.6667	819.2	82000	22384.963	22385.186	1.2986736	1.2975173	5.3661603e-11	2.9487714e-11	2.025993e-10	4.6246193e-12	223.27527	87.16233	859.43005	87.64289	359774.75	31524826.0	143.22165	24.28441	726.5025	1428.0577263832092
788.2063	2.9833374	791.18964	785.22296	743.98706	318.91772	958.08136	75.11689	1000.0	819.5	84000	22231.371	22231.193	1.2388208	1.244873	5.4042878e-11	2.8516736e-11	1.9523247e-10	4.253484e-12	206.37323	75.25179	806.9834	92.35244	362659.28	31777624.0	136.91278	26.80613	740.8118	1470.0193936824799
859.6623	19.984558	879.64685	839.67773	864.94464	110.88175	1095.731	705.30884	1000.0	1000.0	86000	22131.367	22131.473	1.1785642	1.1663845	5.5738615e-11	2.9741067e-11	1.7679445e-10	5.7116594e-12	191.11925	73.68421	700.04584	80.313126	365946.4	32065794.0	142.02902	27.103062	790.8076	1510.0984539985657
689.2395	126.212006	815.4515	563.02747	823.7987	78.68302	919.6253	666.1483	1000.0	1000.0	88000	22003.705	22003.686	1.1223692	1.1747797	5.6595985e-11	2.9793217e-11	1.7856958e-10	4.414228e-12	178.73022	70.34433	683.1558	77.01458	369444.25	32372136.0	165.17218	25.945745	668.05695	1553.8416934013367
924.9814	11.302429	936.2838	913.67896	617.36896	282.42972	895.84454	70.20059	1000.0	814.8	90000	21911.258	21911.457	1.149931	1.095356	5.582327e-11	2.8853834e-11	1.8943087e-10	6.177764e-12	169.52876	62.575687	564.486	69.470566	372123.88	32607276.0	179.82065	27.645525	698.5323	1592.4197187423706
452.42603	227.82466	631.7277	130.94704	670.33234	225.33348	860.9789	27.747625	708.0	903.3	92000	21773.586	21773.506	1.1004014	1.125231	5.7339335e-11	2.951384e-11	1.707365e-10	5.683972e-12	159.57658	57.179398	579.44116	73.64998	375358.97	32890848.0	152.68802	23.981314	749.18024	1634.5866754055023
898.3574	239.80692	1138.1643	658.5505	680.0087	253.55331	1012.0941	94.78033	1000.0	841.8	94000	21703.176	21703.297	1.1124133	1.0896776	5.7948795e-11	3.033719e-11	1.9890817e-10	5.44098e-12	153.41466	57.394623	573.16016	62.443123	378377.4	33154762.0	166.86124	28.690647	802.0322	1671.6364767551422
319.45578	304.87793	759.844	15.405437	605.69403	236.18628	976.87274	241.13748	405.66666	770.3	96000	21692.266	21692.273	1.13238	1.1644937	5.733753e-11	2.97991e-11	2.0089243e-10	5.5667498e-12	147.8936	54.76192	516.32166	62.65772	381120.97	33395748.0	155.1858	27.695492	717.55426	1710.1516907215118
