AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
102.14914	127.35598	401.69385	-24.71167	84.43144	307.2621	940.36163	-205.47293	254.25	284.8	32000	176.2487	176.2478	22.142544	22.960703	3.8529884e-11	1.9741837e-11	1.5552007e-10	4.8111307e-12	7321.141	3137.625	31548.54	2391.85	9343.958	148919.61	203.11026	1.7796655	1275.2567	301.3830473423004
161.86719	132.79826	443.95624	-71.22892	251.85538	124.26254	534.51135	124.79145	137.64285	177.8	34000	170.21736	170.2186	23.060677	23.493416	3.662184e-11	1.8376939e-11	1.0562702e-10	3.4876904e-12	6730.165	2756.0303	28410.277	2638.6848	9500.956	151421.67	207.74025	3.1354628	1095.1073	321.00339341163635
169.96889	197.31342	766.80096	4.6082835	138.21158	136.23651	389.92926	-15.252011	172.58333	149.8	36000	165.61519	165.61334	21.07596	21.854797	3.549645e-11	1.7648763e-11	1.2026383e-10	4.447876e-12	6062.857	2452.4973	22455.441	2085.3447	9514.556	151638.47	226.25862	1.2447808	997.2021	342.06737089157104
127.81225	136.26712	459.73093	-17.6013	69.83691	87.61651	229.3264	-51.538837	163.81818	93.4	38000	160.5245	160.5237	21.28389	22.061499	3.451484e-11	1.7016792e-11	1.0552499e-10	5.459252e-12	5581.7983	2191.5544	19141.83	1958.983	9617.843	153284.64	250.69136	4.3944206	1182.6257	360.1347155570984
86.62021	70.79121	215.1577	-1.6715548	143.76614	165.4245	407.9569	-187.89594	117.26316	175.1	40000	156.07637	156.07553	20.257257	20.957151	3.269579e-11	1.6609363e-11	1.0736238e-10	3.997595e-12	5283.0654	2169.5403	18050.404	2030.4592	9688.036	154403.33	250.26384	5.793212	863.36554	382.8109200000763
200.98018	130.98486	445.8495	16.940857	270.33072	146.20262	559.6636	70.237946	180.3	185.9	42000	151.65778	151.65643	19.499296	19.355024	3.2840824e-11	1.6315891e-11	1.1756462e-10	2.6859656e-12	4731.3594	2053.7097	25661.748	1652.0942	10128.201	161418.45	248.95187	6.993293	1298.6893	401.5755624771118
221.69339	146.11003	482.78497	39.582676	276.388	119.53201	513.8315	114.15402	211.11111	229.9	44000	147.91394	147.91403	17.9024	17.691814	3.3247082e-11	1.689174e-11	1.1501964e-10	4.840621e-12	4208.122	1708.1958	14023.434	1517.6475	10451.622	166573.0	243.8572	7.304186	855.2935	423.851096868515
223.2873	109.04653	470.41492	45.652145	318.3536	218.38083	687.71643	53.939663	171.76923	260.3	46000	144.53021	144.52924	16.524815	16.366863	3.2042268e-11	1.6133777e-11	1.2332597e-10	4.761026e-12	3966.151	1649.1877	14677.272	1421.3364	10499.156	167330.6	263.6803	6.5834637	1296.542	443.61820554733276
218.72282	138.3833	466.3846	77.981285	95.159134	109.19344	380.42474	-0.26075172	190.2	121.2	48000	141.24287	141.24142	16.090546	15.931732	3.075261e-11	1.5520252e-11	1.0104404e-10	3.0860759e-12	3786.6182	1628.2334	19332.883	1241.7252	10878.36	173374.17	341.32224	7.171129	987.1319	463.80827808380127
106.2622	138.18867	424.9578	-107.58471	85.87876	102.243774	341.07718	-12.849923	198.27272	127.5	50000	137.76048	137.76146	14.97867	14.395371	3.072861e-11	1.5613365e-11	1.139802e-10	2.9926745e-12	3439.977	1504.053	20795.494	1165.1549	11380.695	181380.12	340.11243	8.852815	976.9998	484.996431350708
213.28905	87.24252	402.65714	115.21037	146.34329	176.3917	444.87445	-91.76131	266.85715	196.5	52000	134.30843	134.30835	14.284411	14.230066	3.141401e-11	1.5840993e-11	1.1705653e-10	4.02899e-12	3118.0173	1343.6592	12838.314	1113.1858	11464.921	182722.53	355.5816	6.6811757	1103.8658	505.9323318004608
142.73442	100.87576	401.08945	28.13228	125.51534	74.236664	253.55186	34.836502	169.25	151.7	54000	130.86732	130.86935	14.242946	13.986586	3.099465e-11	1.5361995e-11	9.84083e-11	3.6424848e-12	3009.088	1347.801	14477.173	1096.9595	11562.365	184275.52	361.47833	9.240522	974.0311	526.7472155094147
153.09503	100.735054	397.90067	-41.946495	171.33463	100.68068	403.83432	18.27305	139.4	175.6	56000	128.08943	128.08884	14.923565	14.625676	3.1078203e-11	1.5463431e-11	1.10403645e-10	4.4434985e-12	2847.6924	1234.1033	11792.427	1102.119	11814.373	188292.02	342.866	7.9393625	1053.7094	547.7278895378113
153.39659	123.926895	554.9346	27.45463	173.06247	63.824696	342.8666	127.61954	124.933334	123.6	58000	125.825294	125.82328	15.834035	15.486622	3.149654e-11	1.5781773e-11	1.09966966e-10	4.3181665e-12	2773.744	1136.0674	12416.111	960.2695	11840.644	188710.64	329.0599	5.68746	1158.3048	566.0789887905121
179.63719	75.76648	409.66138	119.64749	186.12009	112.78791	413.47055	77.36766	142.42857	142.6	60000	125.84925	125.85065	16.180733	16.062302	3.234232e-11	1.6063718e-11	1.0592098e-10	5.2116015e-12	2683.8164	1076.6659	10130.611	966.99927	11930.853	190148.28	319.08005	9.644248	1119.1359	586.2525417804718
203.12906	127.886055	448.38293	14.540987	247.7106	75.57842	396.08932	110.61056	185.09091	169.2	62000	126.304756	126.304756	16.275833	16.254702	3.334044e-11	1.6621784e-11	1.1394374e-10	4.0575794e-12	2617.104	1067.5502	13725.827	919.66626	11848.449	188835.12	345.14722	9.541185	1104.2706	605.7384531497955
189.42798	140.2801	604.6969	6.2013535	88.40285	135.99768	413.88324	-99.74534	131.875	147.7	64000	126.01072	126.01149	16.019825	15.934691	3.3577995e-11	1.6681123e-11	1.09126194e-10	3.969428e-12	2563.3806	1011.57886	9784.55	980.9076	11567.273	184353.81	336.19827	9.561962	1063.7095	625.8626515865326
187.53708	100.75858	357.92935	15.136532	182.59848	97.41429	350.71417	67.03165	139.38461	133.6	66000	125.15812	125.15883	15.1294565	14.935069	3.2972396e-11	1.6742278e-11	1.2605643e-10	5.288347e-12	2451.75	990.46375	9151.349	923.8911	11817.131	188336.06	342.25037	6.0336046	1144.0117	644.6262652873993
215.62544	142.90579	509.91455	-25.778906	285.77173	127.93528	578.4872	154.9387	178.5	180.5	68000	122.74603	122.74591	13.5545635	13.204798	3.25059e-11	1.67158e-11	1.0610727e-10	3.1600542e-12	2255.667	958.44226	9251.006	857.9763	12297.137	195986.1	333.36816	10.414559	1252.0823	663.9606251716614
143.51266	111.45795	383.34015	-28.242733	185.14488	105.44948	357.68274	-11.662908	168.09091	143.1	70000	119.67806	119.67825	12.229963	12.003841	3.07757e-11	1.5702101e-11	1.0029903e-10	4.7264055e-12	2125.5564	878.1603	7467.774	766.30133	12635.18	201373.64	350.0188	8.0468855	1017.7077	684.1045939922333
327.4967	182.55844	648.8016	32.732044	214.48398	243.69376	689.9327	25.586565	219.1	194.2	72000	116.68065	116.68042	11.639723	11.544928	3.030067e-11	1.5453045e-11	1.08846876e-10	3.86287e-12	2024.2815	863.558	7599.6035	674.7011	12753.318	203256.64	390.47598	8.226769	1377.134	702.4197723865509
368.92877	157.09747	547.9463	87.45908	298.20404	125.25633	531.9906	179.73471	222.66667	251.6	74000	114.50924	114.50845	11.449125	11.165418	3.1397784e-11	1.545059e-11	1.1616534e-10	2.9360008e-12	1926.923	801.48035	10928.243	690.1797	13043.327	207878.69	459.87244	8.635754	896.04376	724.5530290603638
535.68115	226.8223	902.28864	272.1049	416.5208	359.04153	1205.0844	83.2381	376.6	288.2	76000	113.09123	113.09086	10.904133	10.748303	3.0827677e-11	1.5675884e-11	9.775356e-11	3.9748517e-12	1877.748	814.70197	8012.777	689.88055	13166.417	209840.47	492.16232	10.070791	1419.3389	743.7864844799042
333.28476	109.68089	516.3379	193.92465	277.9362	219.11649	663.01624	13.555703	283.16666	259.6	78000	111.76154	111.7619	10.751703	10.582631	3.1439143e-11	1.5966195e-11	1.11946584e-10	4.978777e-12	1723.7483	706.90405	7245.466	573.5296	13419.144	213868.3	519.5908	11.208038	872.2686	766.2419347763062
478.5369	547.4144	1770.7994	62.635067	326.8234	269.06155	1043.8445	22.829695	334.14285	323.8	80000	110.9546	110.95525	10.534302	10.409114	2.9908784e-11	1.5405998e-11	1.0270611e-10	3.6698674e-12	1688.8087	715.07294	6651.0737	527.76685	13884.4	221283.28	478.10223	9.962906	1397.4236	786.198483467102
502.1504	200.59113	775.47595	264.5079	320.41376	169.47632	607.89685	45.413754	401.6	264.4	82000	110.38473	110.38521	10.324802	10.230767	3.0289733e-11	1.5199626e-11	1.045364e-10	3.4203237e-12	1594.9783	656.1751	6777.4634	596.5605	14124.48	225109.67	531.65814	10.0306225	927.64307	808.1038253307343
187.3674	146.55614	398.50912	-12.822524	311.6214	160.37688	737.7091	136.20557	202.1	219.2	84000	109.958145	109.95814	10.5313	10.383653	3.0759294e-11	1.5098055e-11	8.9622434e-11	2.8685387e-12	1561.5143	638.6262	7343.796	587.9613	13738.419	218956.73	435.00696	7.934955	1344.722	826.9234495162964
264.51276	137.56665	476.49057	80.42806	331.89282	198.08458	655.2806	58.812878	187.4	235.6	86000	109.241455	109.24115	10.900297	10.660283	3.109288e-11	1.5354211e-11	1.04879064e-10	3.9722093e-12	1553.5225	655.02435	6245.4155	616.4508	13602.238	216786.3	447.1769	10.184001	905.9944	848.9457683563232
269.41412	183.15935	534.9326	74.05709	163.6672	93.444984	374.58582	82.752235	203.2	156.0	88000	108.90666	108.907036	11.214688	11.199463	3.1031556e-11	1.5276804e-11	1.23237e-10	2.8479794e-12	1526.3578	627.4693	6335.969	500.54852	13500.629	215166.89	435.80505	10.291868	1365.0958	866.6840381622314
324.0839	355.84222	1223.0449	32.46923	292.68018	94.121414	460.21802	71.59851	252.5	145.2	90000	108.78595	108.785416	11.559984	11.407483	3.1645776e-11	1.6334697e-11	1.3478192e-10	4.442417e-12	1491.2775	605.96857	5833.252	510.1198	13617.437	217028.52	451.26407	9.765079	879.42633	888.1575772762299
316.27637	150.69289	584.4555	149.60051	405.02472	218.54037	992.7719	219.27348	213.5	357.8	92000	108.639244	108.63833	11.881951	11.634722	3.2106925e-11	1.6171257e-11	1.06899066e-10	4.309899e-12	1448.5148	586.3537	5372.4844	520.21454	13938.635	222147.64	561.70154	10.398157	1409.3234	908.0690684318542
356.03668	331.2399	1145.2297	79.50687	328.91965	155.3184	743.8051	199.81776	318.42856	180.1	94000	108.06601	108.066055	12.95346	12.792465	3.303322e-11	1.6852509e-11	1.1953567e-10	5.3454697e-12	1388.0267	557.07544	4811.8535	515.3167	13912.471	221730.8	522.12195	9.682339	899.51373	929.3596475124359
