AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
-385.99512	564.9141	-10.497797	-1548.7996	-123.19785	149.63416	-5.0686245	-430.9975	358.2857	246.6	55999	3238.5747	32062.918	84.28155	-35.716236	-33.179398	5.0625725	440.3896782398224
-252.15338	502.25455	-3.3998125	-1374.8143	-2.5085444	27.72538	42.176754	-41.156628	262.16666	118.2	57999	2909.0784	28801.078	82.38754	-27.514097	-29.88146	5.1718025	450.2822654247284
-256.024	594.502	-9.940762	-1931.911	-182.55739	109.4776	-28.47225	-410.59653	266.1111	652.6	59999	2638.874	26126.234	78.95044	-37.874577	-27.189621	4.919659	467.98692202568054
-276.70258	409.48007	-0.9216179	-1060.1757	-393.15805	754.12067	46.861744	-1917.8982	399.6	327.0	61999	2339.074	23158.465	75.69187	-38.034496	-24.205276	4.7811623	482.970374584198
-404.23883	539.8494	-12.481203	-1332.2919	-19.044672	64.84972	81.62778	-187.21165	410.5	133.8	63999	2058.106	20377.164	76.05983	-24.159578	-21.36002	4.7326803	491.8219783306122
-865.10016	870.24927	16.640474	-1746.9958	-865.7792	706.8187	-69.44467	-1902.1545	526.5	658.7	65999	1746.5121	17292.93	77.90192	-31.377392	-18.234907	4.739131	510.76925468444824
-451.9078	491.7433	-45.843426	-1391.9352	-585.3041	550.823	9.01445	-1649.8074	447.0	683.0	67999	1442.6951	14285.98	76.58061	-32.655422	-15.208406	5.057661	529.7488965988159
-377.89944	754.83026	11.10549	-2057.7104	-368.13428	563.07623	-8.856675	-1638.0215	265.33334	416.0	69999	1226.5419	12146.936	75.096954	-37.193596	-13.047833	5.025194	543.1362507343292
-255.68465	544.92017	71.927505	-1562.4545	-173.62827	436.7031	57.061996	-1468.0212	309.2857	616.1	71999	964.59546	9555.258	75.27367	-41.88178	-10.452306	5.1776943	559.4266927242279
-233.06564	379.1763	80.45931	-970.1678	-410.75275	595.4931	184.1156	-1543.788	455.8	468.5	73999	818.4809	8110.1753	72.50278	-46.043766	-8.995337	5.3163238	576.0121552944183
-43.581635	194.00313	94.398674	-674.2434	-137.55176	400.48224	28.847342	-1337.4185	147.33333	168.4	75999	684.9417	6789.906	71.00271	-49.913162	-7.687531	5.4093895	586.6074931621552
-298.47485	525.2966	33.118042	-1340.2186	-370.1037	331.87415	-3.3671138	-1171.603	316.2	760.0	77999	571.7171	5671.2036	69.730316	-53.451187	-6.53317	6.158462	605.1754686832428
-48.55782	144.47687	50.36968	-334.76184	-307.06158	427.99472	15.294262	-1378.0845	357.6	601.8	79999	502.24362	4985.525	67.83004	-55.82095	-5.8386927	6.0707536	623.3118982315063
-71.67359	258.91397	71.35968	-797.55414	-68.50677	389.80978	128.39528	-1229.7646	319.22223	303.4	81999	435.59177	4328.1074	67.89893	-65.83574	-5.2064953	6.368684	636.3783285617828
-320.1744	596.2412	62.787178	-1351.5853	-150.18466	418.47247	173.31902	-1028.5547	377.0	708.3	83999	407.9472	4056.0164	68.63538	-58.3577	-4.9701505	6.729527	655.0494382381439
-26.178724	211.8556	125.26313	-535.9193	61.918457	47.78877	140.59349	-6.3118057	358.7143	122.7	85999	398.2841	3961.2239	69.41214	-59.23076	-4.903871	6.8222723	666.4895648956299
-68.82078	392.87094	115.60056	-1174.8442	-226.8923	344.5191	7.4710097	-999.7887	207.44444	458.3	87999	483.2307	4799.422	72.67956	-60.08773	-5.7736387	7.162503	681.6540100574493
-285.24286	456.17148	65.98425	-929.4909	-271.01425	637.8675	71.02775	-1952.992	487.33334	250.7	89999	524.6988	5209.0254	72.585625	-60.33514	-6.197657	6.961589	692.722348690033
-40.470375	205.59648	144.70961	-531.14386	-106.44835	314.97504	115.2735	-954.25525	246.14285	487.9	91999	581.5718	5771.104	76.016396	-60.736107	-6.75809	7.320548	709.3252241611481
48.74666	98.627205	241.18994	-75.51764	-100.98692	149.81111	15.900906	-482.97165	430.83334	375.3	93999	707.39386	7014.759	77.32163	-60.385334	-8.052799	7.4398994	722.7275824546814
-20.199593	259.92157	252.9362	-725.19415	97.95634	292.41623	383.17606	-692.167	253.22223	475.7	95999	818.95276	8117.8696	80.24728	-59.453545	-9.212603	7.7201815	737.1218421459198
-197.85362	444.21896	101.33184	-1081.2023	-34.331398	49.7926	21.11483	-126.518845	325.8	175.2	97999	944.0184	9354.951	80.902214	-58.94341	-10.490922	8.147098	750.393717288971
-378.12827	246.58276	-36.886047	-610.9579	-225.42471	338.159	1.5893621	-1174.4297	705.6667	493.6	99999	1018.8753	10095.731	79.698654	-59.44573	-11.224332	8.32445	765.8791470527649
-522.1466	386.1329	-136.01372	-908.27954	-279.01645	289.4917	78.089355	-702.476	970.5	579.3	101999	1107.2855	10970.676	86.78131	-61.500294	-12.104641	8.383276	783.7193281650543
-208.19814	349.4606	157.86772	-764.6815	-248.84103	504.37292	240.30972	-1615.3755	582.25	569.7	103999	1120.1746	11098.656	91.76166	-62.609287	-12.253051	8.849576	800.9654865264893
-38.08477	167.89551	129.81073	-205.98027	-99.27809	249.38857	211.1349	-615.45294	585.5	347.3	105999	1283.5677	12715.426	94.87123	-64.13829	-13.887096	8.9925375	814.346536397934
15.779094	163.8144	250.09566	-279.3095	-37.45635	163.3047	70.122574	-521.2875	401.2857	169.2	107999	1371.8087	13588.764	96.16586	-63.977173	-14.818543	9.050744	824.6783883571625
32.298725	34.885216	92.24448	8.6061125	-266.66602	466.30353	77.72615	-1393.9341	395.75	347.3	109999	1578.2716	15631.906	101.890434	-63.96313	-16.900341	9.047402	839.6596512794495
-303.66098	388.35504	97.41388	-829.1348	96.74944	77.44257	235.82028	6.115251	804.3333	266.0	111999	1695.7133	16794.28	101.046906	-65.77938	-18.110355	9.360921	850.9566764831543
80.58796	93.48161	216.53375	-16.13416	-404.62537	469.82675	71.009094	-1015.532	187.33333	537.0	113999	1906.2443	18878.006	104.518326	-67.47152	-20.241926	9.838549	867.586740732193
-61.778603	266.34155	83.77718	-937.39954	-278.66193	414.3597	85.811424	-1028.0817	181.3125	464.5	115999	2099.0715	20786.67	103.64242	-63.20943	-22.1402	10.454518	882.726140499115
-34.08055	165.17705	138.72588	-533.97565	26.613562	40.70705	84.55562	-43.428753	177.27272	97.0	117999	2217.049	21954.602	106.33828	-63.690464	-23.330679	11.282152	892.1435627937317
-119.25753	333.41498	34.887318	-1000.3198	-168.33875	370.7709	127.654945	-935.05145	214.875	383.8	119999	2364.3154	23412.36	105.70573	-65.61633	-24.812132	11.585068	908.8142902851105
-27.605476	204.26556	79.767876	-862.79156	38.266167	45.56919	125.15031	-4.932146	114.666664	60.7	121999	2439.2524	24154.182	109.28314	-70.720764	-25.505907	12.067691	917.0887072086334
-752.4566	359.13055	-393.32602	-1111.5872	-151.11543	455.8709	249.4874	-1166.2333	1000.0	431.1	123999	2458.0393	24340.254	108.96488	-64.854164	-25.707851	12.503187	931.907800912857
-115.359825	373.98016	81.24486	-1100.5156	-151.03491	349.33905	114.80529	-958.651	226.0	539.3	125999	2443.4922	24196.428	108.57832	-66.19391	-25.510916	12.248422	946.9146161079407
-198.80974	378.82733	62.06921	-1017.88007	-24.613605	224.20699	90.70165	-691.85077	412.16666	176.3	127999	2454.2576	24303.256	108.391235	-69.85977	-25.625145	12.420327	959.2511970996857
-79.807755	406.21912	200.6222	-1287.5342	-212.54639	392.24304	48.945328	-1165.886	199.7	282.9	129999	2376.965	23538.598	110.05302	-76.2492	-24.860657	12.075902	970.3921616077423
24.079733	42.19629	159.50166	-46.224827	17.92118	33.93564	72.43588	-49.782997	111.625	47.1	131999	2357.547	23346.656	109.69886	-81.22282	-24.665342	12.69445	980.8841955661774
-275.70703	417.81573	37.835503	-1086.9288	4.635797	128.48141	84.04791	-374.30814	449.2	275.0	133999	2387.6309	23644.557	110.73969	-80.70223	-24.99632	13.818408	993.2794759273529
-181.9401	467.47845	64.161194	-1325.2941	59.65271	45.48686	120.38136	-1.1461483	186.71428	117.4	135999	2367.0046	23440.592	110.68159	-86.58625	-24.771843	13.737012	1004.776829957962
-8.413253	192.0736	177.22621	-672.9939	-73.390854	479.66946	392.17642	-1431.1832	184.85715	363.3	137999	2315.0835	22926.89	112.32871	-80.74721	-24.237677	14.40119	1017.583024263382
-129.58934	486.92664	254.30951	-961.978	247.98254	202.81789	638.4581	0.9168683	513.75	474.0	139999	2415.7085	23922.904	113.22436	-76.90196	-25.26489	14.037705	1034.467204093933
59.358486	52.651035	176.61061	11.35422	22.727821	35.195324	94.201355	-36.11074	217.66667	87.6	141999	2615.6057	25901.436	114.07596	-79.49304	-27.276468	15.104251	1042.394931793213
69.69781	83.59527	224.41232	-15.100674	-76.49078	77.95674	-7.26607	-252.31566	161.16667	321.3	143999	2811.6387	27841.684	115.06059	-80.74429	-29.241146	15.293114	1057.3085045814514
20.810732	27.46452	67.409874	-10.989329	5.595829	60.98589	99.81148	-106.61063	234.83333	441.3	145999	2930.0952	29014.107	115.08909	-78.94203	-30.466528	16.112411	1070.20649600029
-158.84096	365.22244	87.923164	-1049.0994	-324.22314	555.77856	49.82926	-1671.3876	307.1111	382.8	147999	3087.3171	30570.238	115.38182	-80.45204	-32.04363	15.881633	1084.3051114082336
62.603733	48.64393	153.92737	-8.136736	102.62209	122.2975	399.41028	0.73427176	164.0	205.4	149999	3324.1838	32914.79	118.63964	-77.3242	-34.41696	15.902867	1096.3958446979523
59.374176	61.240303	150.32957	-16.053488	-243.31909	418.29437	44.32331	-1101.819	268.6	369.6	151999	3506.5776	34720.184	120.20562	-76.318184	-36.202354	16.120586	1109.1440815925598
-315.4434	441.38602	65.8742	-1092.7125	-45.27295	165.16336	139.61931	-501.83817	469.8	473.2	153999	3567.4756	35322.938	119.13137	-75.28483	-36.83701	16.884907	1123.7076449394226
-312.4913	447.76575	92.86899	-994.7215	17.898626	163.57158	297.2996	-401.58313	441.6	315.4	155999	3552.006	35169.836	120.643814	-80.82715	-36.678654	17.150211	1136.3166015148163
-80.46392	321.78	257.70926	-513.2601	-119.71571	323.4374	174.86206	-813.4917	613.6667	350.7	157999	3572.5762	35373.53	121.7977	-87.14713	-36.858562	16.083624	1149.663083076477
-77.09636	128.16054	30.054266	-289.53665	78.71446	91.72977	269.30182	-46.105682	453.6	138.3	159999	3632.4956	35966.64	124.90155	-76.77079	-37.445362	15.936711	1160.2120215892792
-1.2687374	126.630585	92.20775	-521.69495	2.139476	91.38174	133.68373	-166.95032	112.10526	128.1	161999	3702.786	36662.43	123.4572	-77.83887	-38.17858	15.950119	1171.6136820316315
45.903427	61.52356	184.28278	-2.462046	-201.2507	465.2133	88.67413	-1235.8699	123.111115	254.5	163999	3868.4436	38302.223	125.12101	-77.91887	-39.81395	16.850561	1184.2606663703918
-321.32477	411.4854	135.336	-788.10077	-188.13986	324.42523	187.47302	-818.4646	575.75	414.7	165999	3959.4375	39202.92	125.20545	-73.363	-40.72988	17.243881	1198.089136838913
4.8826184	88.847176	132.60255	-133.83685	34.201225	273.17514	397.10962	-695.3436	355.85715	410.7	167999	4153.25	41121.418	126.91718	-74.013	-42.612915	17.222628	1211.765198469162
-103.785545	227.42671	91.67804	-490.6225	-105.139626	376.47095	200.02628	-933.07745	496.5	346.7	169999	4207.6475	41659.848	126.92454	-73.38639	-43.130344	17.318117	1225.190797328949
90.466675	126.86659	398.2052	-57.11978	-285.91766	641.10144	220.33392	-1782.2623	206.125	568.6	171999	4411.499	43677.766	127.879166	-73.16407	-45.21389	18.266798	1242.5755512714386
-342.31754	877.0412	408.63058	-1572.6948	-209.40935	433.39352	93.6265	-1246.4084	788.3333	333.8	173999	4476.4224	44320.457	128.07663	-69.40877	-45.84603	17.533506	1254.624825000763
144.09595	147.85982	482.89777	14.430298	-223.69856	527.4494	344.79953	-1268.2567	286.42856	506.4	175999	4573.7925	45284.32	128.33125	-68.32428	-46.826355	17.534021	1270.2402358055115
-286.48056	403.09546	39.39418	-854.48975	0.18857636	18.689243	33.847908	-45.67295	692.6667	34.5	177999	4701.06	46544.137	130.24329	-88.8272	-48.098137	17.953365	1278.580007314682
-31.720846	198.78241	66.38003	-771.82635	-464.48615	602.5082	264.2266	-1373.6096	136.86667	552.8	179999	4714.307	46675.336	131.34538	-68.13774	-48.236298	17.549715	1294.7809596061707
-34.43988	205.26665	110.08562	-570.4126	-276.1533	465.42804	108.92495	-1078.3907	220.5	420.4	181999	4819.16	47713.312	131.44284	-69.282	-49.26623	19.025223	1309.7933378219604
-43.18985	344.0591	216.2414	-933.1747	-448.4621	628.20245	140.12086	-1501.4982	251.125	589.6	183999	4786.0874	47385.984	135.26054	-71.251686	-48.936398	19.623411	1324.8157062530518
32.91616	47.63479	151.94347	-36.902218	-449.06265	715.3349	11.886384	-2006.3867	150.85715	404.5	185999	4947.209	48980.97	131.26938	-87.82936	-50.599064	19.774261	1339.5037016868591
-173.91022	346.67224	131.5214	-658.7497	-65.81267	300.45227	128.31184	-954.1427	399.0	392.8	187999	5008.1187	49583.89	132.4588	-76.73416	-51.16433	21.947084	1353.6970961093903
-89.681656	295.02426	111.45761	-863.25854	48.136642	529.8622	620.0318	-954.50916	360.625	822.7	189999	5115.1367	50643.254	134.59277	-75.05117	-52.26208	22.52017	1372.342673778534
61.028877	71.25671	225.53162	-18.12282	-221.88565	567.41205	154.52457	-1751.0273	134.0	418.2	191999	5275.1064	52226.793	132.08308	-72.178	-53.886097	20.493883	1387.0689799785614
-452.9462	574.85846	10.725556	-1417.0046	29.533428	158.2086	320.56586	-371.36386	475.8	205.1	193999	5238.6333	51865.65	133.81787	-71.81655	-53.51869	20.031301	1399.0578832626343
-179.72258	377.30276	69.1646	-829.9148	-177.6058	411.8699	64.20332	-1177.4197	442.25	282.2	195999	5203.684	51519.64	133.51692	-93.38142	-53.14321	19.360382	1411.15202999115
-15.02259	258.89987	205.9771	-631.42206	-221.19296	561.91455	448.5735	-1496.262	258.14285	408.1	197999	5279.419	52269.324	136.03902	-71.315285	-53.909218	20.544546	1425.4434397220612
-110.80546	435.3234	208.95436	-963.2938	59.280468	77.696236	260.74255	-7.634242	390.0	158.9	199999	5336.068	52830.117	136.90526	-68.90886	-54.51726	20.880043	1437.4899382591248
-98.30757	449.7233	161.19548	-1435.3213	-47.192844	534.2252	243.36633	-1632.8552	244.4	294.4	201999	5467.096	54127.24	138.2269	-67.36561	-55.85131	20.187723	1453.7913541793823
-117.388275	313.06055	86.17687	-975.7029	-110.338196	365.9656	62.45224	-1203.7179	245.22223	172.2	203999	5608.315	55525.168	133.45802	-68.940094	-57.219475	19.643393	1463.0627558231354
-144.99379	404.53928	85.30788	-1047.3984	-122.21145	469.8149	261.25983	-1127.1616	242.5	468.2	205999	5524.143	54691.984	132.08578	-69.92726	-56.362617	20.638256	1479.9765276908875
-474.71585	570.05145	136.4755	-1164.2227	-879.4123	375.70584	-124.19279	-1267.8206	676.25	933.5	207999	5523.004	54680.727	132.72508	-70.57271	-56.38323	21.107231	1500.1682546138763
-144.54526	453.3255	91.09916	-1340.6492	-249.97415	373.58194	18.075584	-1119.0464	202.75	460.9	209999	5431.1714	53771.684	135.77538	-72.296425	-55.451546	20.15944	1513.6273350715637
-26.399954	208.59373	158.93745	-713.4063	-165.75526	654.00195	234.70651	-1570.9294	174.38461	636.0	211999	5482.0737	54275.57	134.71481	-70.575485	-55.965733	21.173761	1532.4197323322296
68.30558	85.344025	204.57973	-60.797546	-135.77667	289.2498	92.05305	-875.56244	237.44444	492.2	213999	5548.856	54936.703	135.50502	-78.17769	-56.69031	22.362158	1549.3963413238525
-324.6877	419.99924	22.50874	-915.6467	-356.53036	165.46243	-176.48564	-712.326	523.0	862.7	215999	5725.856	56688.824	131.76814	-95.093025	-58.46529	21.716915	1567.7724213600159
-164.04228	360.18594	133.82275	-780.0841	-602.75964	845.89557	180.37585	-2178.0178	532.75	572.9	217999	5636.0435	55799.71	131.26236	-70.58234	-57.469196	21.157162	1584.7843236923218
-253.12698	575.79224	46.624817	-1815.3131	-181.84114	478.0046	95.51024	-1338.6418	255.22223	315.2	219999	5532.8057	54777.707	134.10493	-70.82902	-56.423042	20.51292	1598.9279763698578
-19.828201	189.05402	169.22581	-208.88222	-613.87	608.7283	-2.58359	-1454.7021	708.5	536.7	221999	5561.5737	55062.426	130.14244	-70.97978	-56.701534	20.441406	1613.8707823753357
-53.349266	185.04251	6.8562827	-767.8235	-8.638196	21.608467	14.3375025	-56.882446	126.5	65.2	223999	5575.4546	55199.824	131.4655	-71.28213	-56.878334	20.086657	1625.6821219921112
-500.2854	616.352	5.1445403	-1413.5427	32.26938	39.295166	117.77541	-4.914325	465.0	138.7	225999	5569.902	55144.86	132.65213	-71.18582	-56.84704	20.893238	1633.609715461731
-91.85028	253.31909	104.213905	-846.99176	-548.4015	783.11005	187.95146	-1746.5155	151.63637	607.3	227999	5594.7554	55390.914	134.04271	-71.27334	-57.074665	21.881777	1651.102855205536
-294.11267	577.08136	151.19896	-1433.1279	-183.57994	255.14084	2.5868824	-676.0434	475.2	235.1	229999	5670.123	56136.973	131.83243	-70.36368	-57.85188	21.13898	1662.4813330173492
-357.68848	563.3972	57.745438	-1320.8533	-451.0938	710.2052	44.84415	-1929.9205	466.25	347.6	231999	5571.017	55155.895	136.48915	-71.65931	-56.86243	20.754313	1676.5156774520874
-160.89546	305.70386	59.152866	-997.62177	-724.39594	724.9456	48.25334	-1798.6353	192.75	560.4	233999	5531.409	54763.766	134.38995	-72.30462	-56.4654	20.172777	1692.960740327835
