AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
127.059074	213.22864	602.54016	7.0240946	354.75314	233.3266	762.2558	6.5889125	249.66667	637.7	43999	1599.1089	15831.297	42.415188	-17.75476	1599.0212	15830.429	42.66824	-21.872906	-17.461798	1.5738411	1.5534595	389.41896867752075
177.3279	261.47928	698.43243	5.6761656	350.0279	259.0184	738.8341	42.29962	282.8889	518.4	45999	1642.0876	16256.772	43.201305	-18.066282	1641.983	16255.735	42.030983	-18.971794	-17.845463	1.5674765	1.544305	408.33164858818054
202.85835	188.86981	612.6483	65.32128	409.20148	257.79492	721.58636	49.942814	321.0	673.7	47999	1696.5095	16795.541	42.831875	-25.53274	1696.4137	16794.592	42.145042	-24.906923	-18.406492	1.6480261	1.6322944	428.6623842716217
166.227	241.02446	693.9688	-31.998913	458.03815	272.14444	724.68616	12.21628	286.42856	685.5	49999	1749.074	17315.922	41.7352	-25.64853	1749.0112	17315.3	42.11022	-24.9786	-18.923576	1.6170974	1.5994556	449.0441982746124
335.4353	293.73334	642.36444	4.1489053	389.73474	262.16373	763.7182	57.310207	534.5	557.0	51999	1799.5836	17815.963	41.22901	-32.956047	1799.5142	17815.275	41.612034	-33.25529	-19.412668	1.6656106	1.6487476	468.43481731414795
176.6815	254.6372	682.6201	5.7812285	495.60092	331.75983	858.63336	65.82612	274.6	642.5	53999	1844.7239	18262.85	41.852844	-34.47414	1844.6396	18262.016	43.075443	-32.47345	-19.853308	1.6098391	1.5968947	488.04459166526794
399.01584	277.5225	718.5932	23.858128	254.13223	291.51743	762.14215	14.944219	594.25	371.0	55999	1888.6145	18697.363	43.566486	-39.650013	1888.5671	18696.895	43.158672	-39.579796	-20.303934	1.6319479	1.6060584	504.1280424594879
487.69394	242.59273	689.55774	146.52237	270.84055	308.2851	805.05945	-5.3000445	750.6667	377.7	57999	1934.1138	19147.807	43.363827	-41.48277	1934.096	19147.63	42.874825	-38.223167	-20.762081	1.6740896	1.6409359	521.6029944419861
401.79742	251.12212	652.91956	150.67531	323.03946	323.26993	729.7705	-13.552485	597.0	508.0	59999	1984.9668	19651.25	44.942535	-44.561874	1984.8418	19650.012	44.043472	-37.932713	-21.27058	1.7087313	1.6665684	539.0919756889343
363.59512	281.96448	681.0657	19.41576	319.35977	291.78757	801.35956	56.2501	569.75	456.8	61999	2040.6215	20202.227	46.67626	-46.93349	2040.6108	20202.123	44.948273	-46.04381	-21.807331	1.7250593	1.6846108	555.0130634307861
