AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
18.825861	15.396642	85.69322	6.052649	75.08662	2.0515003	78.724396	71.38413	23.16279	46.1	2000	928.58295	14799.325	13.906273	-2.5799954	928.6324	14800.112	14.015013	-2.2066503	-361.273	5757.819	6.462471	-9.862143	-4.1650434	0.048493385	0.053071436	4338.7837	9.459543704986572
17.250109	14.38955	105.231926	5.5598125	179.31792	2.4395382	183.80615	175.49585	21.052631	82.8	4000	3307.4355	52712.36	39.73453	-10.178166	3307.5732	52714.555	39.088608	-7.122822	53.995365	861.1242	15.50439	-10.920701	-14.425072	0.23937015	0.24463604	4309.5947	22.92001724243164
18.314177	19.201735	126.57566	4.887764	14.488202	0.85780615	15.090187	12.75666	21.30851	11.8	6000	8828.697	140707.56	89.00181	-55.79169	8828.999	140712.38	88.71358	-52.986347	531.3905	8469.119	24.332714	-13.861154	-38.802765	1.528167	1.5461364	4371.632	33.70240879058838
15.934101	12.069349	102.38682	5.6543283	210.32974	3.1768718	216.63791	205.08714	19.59804	93.6	8000	19648.736	313152.1	169.23706	-51.982742	19648.842	313153.75	172.30861	-41.180603	1023.52386	16312.465	29.462906	-12.682698	-86.5061	7.6778245	7.7982783	4113.4175	48.40699291229248
17.031334	16.987087	139.72246	5.5166197	89.9079	0.7397655	90.63171	87.805244	21.105263	51.9	10000	34712.883	553237.0	226.08662	-84.286514	34712.9	553237.25	225.69553	-73.381096	1089.2183	17359.475	28.244917	-11.7051735	-149.0637	21.550417	23.026081	4177.607	61.59798741340637
246.12985	110.80758	421.63666	70.13362	362.96082	123.74342	453.86832	170.25061	129.33333	222.5	12000	43503.715	693340.9	248.67334	-67.74751	43505.023	693361.8	256.1571	-71.43708	891.018	14200.6875	61.605778	-10.995022	-180.92249	28.200508	30.600767	816.09265	77.2727644443512
136.3188	146.53142	615.2703	47.705692	1023.3739	0.44872373	1024.1488	1022.6444	124.78571	1000.0	14000	46481.94	740806.25	251.05025	-77.112076	46481.97	740806.8	253.24359	-69.53317	858.90027	13688.823	42.241398	-11.667226	-190.67693	28.764507	30.136976	847.4631	110.27046322822571
821.6208	186.15907	1082.216	658.9133	431.0066	10.857995	442.285	408.8462	699.3333	272.1	16000	48978.81	780600.2	273.88776	-90.28224	48979.434	780610.06	271.5257	-116.43321	879.316	14014.211	42.46077	-12.698141	-199.6572	30.65252	31.269148	815.45874	130.82074856758118
359.0928	41.48536	455.94708	307.09424	366.69888	34.663055	426.52435	319.00772	197.45454	175.2	18000	51121.79	814754.0	278.23685	-156.62701	51121.65	814751.7	279.87375	-147.18318	863.4927	13762.015	38.353218	-14.919506	-207.8979	24.902472	24.770452	825.3646	148.4644274711609
304.21524	23.337206	350.0547	264.3435	343.5313	4.7078614	349.06332	334.4984	149.53847	183.3	20000	52758.926	840845.7	285.4666	-300.82596	52758.78	840843.44	293.98212	-213.78828	809.1713	12896.267	41.936058	-11.485043	-213.71954	22.185356	22.725666	820.6814	165.47366905212402
329.7505	71.321846	523.6462	250.1766	301.02863	2.0676541	304.86313	298.4179	169.5	142.8	22000	53141.594	846944.6	280.18228	-265.57437	53142.465	846958.56	281.36063	-382.82367	748.6034	11930.972	46.17772	-12.333172	-214.3119	21.270926	21.444168	782.21533	182.71112251281738
579.0587	301.10376	1052.9745	278.6153	973.2578	175.60582	1035.3766	446.4632	468.0	928.8	24000	52558.79	837656.2	263.98294	-121.35027	52558.05	837644.44	267.77856	-106.57187	648.6299	10337.661	52.13561	-10.909342	-211.22424	17.489634	17.882477	814.3549	214.50779819488525
399.18027	66.02279	523.43	311.53632	1053.2239	1.0601894	1055.2638	1051.378	243.0	1000.0	26000	51539.14	821405.5	256.52927	-136.99852	51539.266	821407.44	259.78662	-134.15588	577.857	9209.729	47.92383	-12.958654	-206.40607	15.949326	15.805621	843.3458	247.54372930526733
410.09857	135.58191	756.2168	298.65503	416.50845	34.75475	505.7977	378.85205	266.375	228.6	28000	49722.176	792447.56	246.15692	-160.85104	49721.945	792443.94	250.01309	-108.85851	488.9328	7792.5186	66.18257	-11.932568	-198.63605	14.248693	14.22208	808.9187	265.5894658565521
372.5475	95.849236	621.4951	275.51807	310.57785	2.312021	315.0978	307.23688	190.0	143.6	30000	47820.01	762131.9	241.14107	-86.08141	47819.773	762128.06	246.43764	-89.90031	434.62912	6927.056	35.5882	-12.702852	-190.69913	11.504785	11.309795	830.443	282.00384283065796
309.7717	80.30425	423.94205	64.01158	486.344	30.350819	533.61694	440.26495	144.64285	220.1	32000	46101.387	734741.4	230.9906	-84.59661	46101.297	734739.9	232.48097	-90.513954	387.77747	6180.3643	38.18578	-13.886556	-183.67307	10.269947	9.783673	825.4846	298.87497639656067
327.58136	27.897099	383.13058	284.81076	304.80933	7.5443645	315.1338	288.15744	154.0	130.0	34000	44089.19	702671.94	228.06148	-79.7338	44089.18	702671.8	229.27557	-91.56847	309.02567	4925.2896	38.141846	-14.225832	-175.3375	9.409939	9.434373	808.2358	316.2210886478424
306.76996	27.234024	373.45743	268.58643	314.74545	5.8849835	323.17447	303.0779	136.28572	140.1	36000	42268.473	673654.25	230.71498	-121.65174	42268.668	673657.44	229.84901	-154.0648	294.1403	4688.055	42.988518	-12.283035	-168.06915	8.486527	8.2666235	825.5828	331.9585475921631
351.9859	55.072346	432.5666	253.88455	500.57632	29.872143	527.3414	449.75177	148.35715	188.8	38000	40865.566	651295.5	221.94377	-79.17831	40865.64	651296.6	221.71419	-118.67129	287.67	4584.9355	43.173725	-10.820686	-162.38684	7.8660245	8.058076	795.2054	351.55486965179443
527.3549	129.34392	769.6869	380.5163	903.0916	218.59949	1051.1735	504.1434	243.14285	804.4	40000	39722.996	633085.75	215.07187	-91.219215	39723.32	633090.94	215.19504	-81.52164	266.9444	4254.6274	40.865974	-11.02659	-157.73357	7.8786297	7.0165606	804.7896	372.1768205165863
1074.2955	98.42099	1172.7166	975.8746	979.525	128.73282	1046.9386	595.09186	748.5	933.2	42000	38868.67	619470.0	209.53983	-99.61737	38868.727	619470.8	209.15996	-152.8536	217.52275	3467.0076	44.100998	-12.071209	-154.18878	6.851332	7.0372467	839.5675	400.63502073287964
760.4131	305.05655	1283.6921	400.00006	327.52692	101.81023	414.19992	30.432568	428.83334	158.0	44000	38065.723	606672.9	212.61136	-82.35977	38065.445	606668.56	217.50063	-95.79668	168.80481	2690.619	49.49128	-11.804438	-150.84055	6.163987	6.4380507	956.52826	419.2311849594116
611.9945	113.84035	803.6781	418.73755	589.70685	1.5291327	593.1371	587.4561	262.75	221.4	46000	37340.3	595111.44	211.96112	-70.682076	37340.46	595114.0	213.22905	-100.82821	185.74318	2960.5461	54.54147	-13.375388	-147.92267	6.7477107	6.3003426	812.27936	435.3186049461365
578.21246	144.5886	733.752	251.40869	622.69104	1.8244852	625.1825	618.6654	213.66667	212.8	48000	36908.984	588237.4	223.22946	-98.31705	36908.84	588235.06	224.46886	-76.38943	211.56635	3372.0603	36.76722	-11.624395	-146.18594	5.9350276	5.697944	836.2434	456.20613837242126
597.0491	112.765274	732.9031	337.02713	324.36743	2.4487445	329.0341	321.35565	226.33333	144.2	50000	36834.938	587057.2	242.26074	-90.250114	36835.03	587058.7	245.3365	-83.71941	213.30777	3399.8164	34.194683	-12.853057	-145.88002	6.2942758	6.151384	806.0419	472.3721606731415
323.53708	143.01309	593.82874	171.7221	190.99535	4.355948	200.03935	186.35762	174.25	123.8	52000	37077.555	590924.0	236.24016	-73.40209	37077.668	590925.75	238.05351	-89.38668	197.5556	3148.7927	39.422108	-11.631458	-146.76808	7.3148975	6.869217	779.9575	490.5978488922119
