AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
17.527283	11.642231	62.24675	5.933123	127.69167	1.5816886	129.01823	124.43268	21.637363	65.5	1999	411.6579	4075.469	16.064352	-1.9389809	-4.610427	0.114320494	7.283381223678589
18.061882	14.272243	85.23143	4.5712724	177.23087	1.3843232	178.79962	174.42749	22.617977	81.4	3999	1494.479	14795.541	53.46222	-12.003642	-16.887075	0.9510577	17.987504720687866
18.991331	19.629286	129.47496	6.354652	207.08284	1.0769166	208.81456	205.50073	22.581396	105.1	5999	4111.6636	40705.797	102.64793	-97.71006	-45.877514	4.7400737	30.176111459732056
23.366768	22.76327	146.15639	5.010105	202.34726	1.7198925	205.98816	200.1077	25.134146	102.8	7999	7185.1035	71132.94	186.23717	-97.468544	-78.15089	13.189144	44.35692501068115
16.314463	10.918018	75.63692	4.9060836	200.58603	59.01071	223.2779	23.636927	21.340425	98.6	9999	11450.286	113358.51	314.04306	-107.183754	-125.26684	34.011944	57.52554750442505
108.002266	103.78747	346.04407	13.933459	344.4453	1.1684746	346.1003	342.77875	56.19355	204.8	11999	18572.217	183866.03	362.01752	-103.26975	-202.05087	120.61085	72.5152690410614
305.8703	70.53118	492.97922	169.73802	237.16655	1.4246063	240.8508	235.53964	157.78572	148.3	13999	26547.229	262818.62	410.93094	-110.744064	-283.94055	184.46796	86.72791337966919
293.10602	62.74453	423.4974	218.04337	248.97949	4.1149144	254.71565	243.06268	140.57143	99.8	15999	32249.234	319268.5	434.7715	-137.89055	-339.96237	189.73778	100.93046355247498
348.84723	219.32968	875.32275	193.93831	1047.2786	0.748141	1048.8014	1046.3738	254.28572	1000.0	17999	35912.07	355530.72	458.99097	-143.14647	-375.9326	186.57753	121.670170545578
196.15997	336.90726	1003.2984	8.373322	913.2238	290.11032	1010.4905	42.893536	193.81818	904.4	19999	38765.5	383779.6	489.25424	-178.12723	-403.7883	228.6117	141.6159644126892
269.6013	90.76788	406.19708	79.8617	255.82967	16.868534	290.00168	232.03084	159.07692	116.6	21999	40643.09	402367.66	501.32123	-409.37256	-421.9965	268.25357	155.7549397945404
302.05762	41.11804	401.11087	249.54219	259.8635	107.34622	318.11227	45.025337	133.86667	118.6	23999	41676.977	412603.22	518.4221	-172.98236	-431.134	268.77945	168.49249935150146
249.86649	123.67531	444.97363	16.29424	111.42973	65.52156	307.94177	86.97044	126.4375	99.6	25999	42240.2	418179.2	520.41254	-193.02637	-435.80786	275.66727	182.01803946495056
66.85763	101.56754	322.39502	5.275547	1039.1735	3.77299	1045.1243	1032.2168	56.548386	1000.0	27999	42471.887	420472.88	520.8888	-230.9262	-437.56302	340.81757	204.33919739723206
795.5193	253.88408	1139.0281	533.283	992.4084	0.51397157	993.72125	991.8196	745.6667	1000.0	29999	42897.32	424684.66	518.07733	-237.58171	-441.7593	310.47333	226.6045172214508
731.98584	269.8307	1001.8165	462.15515	994.26495	0.64353	995.354	993.4539	741.0	1000.0	31999	43909.81	434708.1	529.279	-206.0929	-451.42892	277.02298	249.03639912605286
222.08563	215.56517	781.8086	25.8567	992.95886	0.5689589	993.9068	992.12317	248.66667	1000.0	33999	44570.605	441249.97	538.72485	-212.8877	-457.4842	282.81595	271.7620327472687
