AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
183.19507	30.242653	219.5815	63.2236	200.53502	3.2357485	204.76332	195.36519	94.61905	102.1	41999	4345.1973	43018.496	95.73029	-21.437996	4345.1255	43017.79	97.06477	-18.041685	-47.09249	5.386576	5.309827	286.62191891670227
208.16467	11.392154	224.5248	186.2246	222.8252	0.98558074	224.20874	221.8292	100.0	99.4	43999	4953.9893	49045.535	106.43177	-34.96719	4953.9795	49045.438	103.89003	-24.69364	-53.393116	5.7459145	5.715843	301.81467747688293
215.97624	8.529366	225.21072	198.66301	199.66356	0.9766317	200.8218	197.78587	95.47619	87.8	45999	5520.536	54654.4	117.33669	-29.587603	5520.6123	54655.156	118.36114	-27.102064	-59.455837	6.379564	6.363639	316.89048051834106
192.73708	52.737255	229.08098	24.186321	217.62137	1.0800759	220.06259	216.31612	87.08696	99.6	47999	6034.5195	59742.875	122.78017	-33.65708	6034.3804	59741.496	123.86158	-41.227425	-64.518	6.9630213	6.900791	332.52440333366394
221.82938	8.436549	237.18263	208.58665	230.22896	1.6032686	232.19206	227.61539	100.7	104.2	49999	6526.1606	64610.17	132.89941	-37.649445	6526.0483	64609.06	133.25644	-43.801834	-69.53545	7.4070683	7.4836025	347.9239137172699
235.15935	23.357199	327.24362	224.49382	223.16891	2.497793	227.80507	220.01146	110.611115	101.9	51999	6963.561	68940.48	137.24422	-29.485817	6963.593	68940.8	136.13661	-35.137165	-73.805786	7.469653	7.4808316	363.06062483787537
223.72546	16.399443	261.65024	175.03044	219.18697	1.6209683	221.5445	216.67212	112.82353	106.7	53999	7344.6675	72713.484	140.77884	-42.48871	7344.568	72712.5	141.22272	-50.273556	-77.9772	8.025093	7.9523506	378.81904435157776
231.38205	16.80233	268.34097	213.5206	233.20654	8.267128	253.65144	223.39848	111.888885	109.5	55999	7779.894	77022.18	142.07346	-37.466812	7779.838	77021.63	143.71494	-57.740696	-82.31298	8.279498	8.297894	394.32257056236267
233.08551	17.974894	266.99512	205.61707	215.52612	1.5749912	218.44691	212.55383	115.52941	105.9	57999	8110.34	80293.586	142.65091	-38.42687	8110.3335	80293.52	142.96117	-38.267853	-85.6418	7.7651095	7.723265	409.8814857006073
250.43639	26.83237	305.86084	196.3644	235.75142	33.739174	272.70468	191.65308	135.06667	127.3	59999	8427.484	83433.3	144.94102	-54.849335	8427.499	83433.445	144.42502	-39.66669	-88.74568	8.383033	8.255537	425.66076827049255
261.26328	34.200035	313.89612	199.52084	260.19678	36.413055	327.62796	231.68791	144.21428	166.6	61999	8684.98	85982.516	144.61342	-46.58414	8684.853	85981.24	145.55579	-48.096394	-91.21547	8.230869	8.252405	438.3361074924469
287.27844	27.789423	341.1306	222.45811	302.01685	4.4670925	310.86594	294.5296	156.07692	154.2	63999	8869.811	87812.35	146.83955	-41.88445	8869.735	87811.62	146.61989	-48.507244	-93.27993	8.725849	8.596352	452.0660297870636
363.2818	62.494152	495.07037	282.0032	358.80176	27.240011	391.18814	314.87958	186.3	176.7	65999	9085.265	89945.35	145.93407	-49.832924	9085.122	89943.945	147.38313	-45.395042	-95.42546	8.966131	9.003613	468.95019125938416
391.7721	53.64796	470.29236	284.86508	327.92612	2.4700818	332.44766	323.7689	189.09091	148.3	67999	9399.917	93060.4	147.66628	-45.915356	9399.83	93059.53	148.91179	-34.031982	-98.84648	9.473789	9.413243	484.83662724494934
567.6488	177.77702	878.3849	356.8343	503.52646	41.822117	569.7776	442.4338	255.125	207.8	69999	9731.823	96346.24	154.18102	-41.817734	9731.738	96345.4	151.60178	-39.072422	-102.34931	9.559787	9.210104	502.101113319397
517.1075	161.89034	692.79724	130.7987	545.81464	45.33233	610.572	467.8117	227.88889	231.0	71999	9981.933	98822.305	168.72298	-57.046524	9981.818	98821.17	166.22285	-43.509274	-104.74159	9.707971	9.862709	518.7261700630188
484.2722	133.15918	780.6808	342.35712	544.04834	31.110828	596.1621	489.72314	208.33333	226.4	73999	10307.091	102041.36	172.64795	-41.108814	10307.053	102040.984	171.30571	-43.427742	-108.05536	10.921219	10.897347	535.9537994861603
416.9169	109.48104	559.2763	242.96288	362.14893	7.3797855	374.46915	350.1477	177.0	141.6	75999	10723.112	106159.96	177.89972	-61.944523	10722.827	106157.13	178.69705	-50.962555	-112.75062	10.974672	11.083075	551.7546091079712
291.70786	57.22502	372.63065	172.05972	386.48138	87.87528	528.9102	299.75174	130.8	154.1	77999	11166.634	110550.8	206.4083	-42.61559	11166.584	110550.3	208.8589	-46.433735	-117.010605	12.996014	12.800215	566.1790537834167
383.26566	119.21748	703.32214	284.93915	322.22742	8.388927	333.0043	310.6414	154.61539	142.3	79999	11467.402	113528.43	210.25346	-40.601784	11467.264	113527.06	215.96082	-50.66941	-119.47941	13.122227	13.290183	579.3559231758118
316.79297	47.697018	478.43045	252.37927	405.60318	68.3125	479.27393	313.10513	134.66667	150.6	81999	11632.811	115166.055	217.19281	-64.99349	11632.671	115164.664	219.63896	-70.3969	-121.05471	14.126498	14.1269245	595.5339436531067
