AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
-325.72333	105.459305	-220.264	-431.18262	-19.551462	3.837415	-13.510954	-24.724102	1000.0	1000.0	2000	543.5435	8662.747	7.3365803	-2.673258	543.5099	8662.21	7.3014436	-2.509886	-853.2814	13599.188	34.805984	-10.64073	-2.9715304	0.076781735	0.08114212	7440.082	16.899483919143677
-341.01062	34.383987	-306.62665	-375.39462	-277.204	38.772717	-220.2222	-346.13916	1000.0	1000.0	4000	1394.8556	22230.555	20.345057	-4.7493486	1394.8159	22229.924	20.651663	-4.610075	-683.5857	10894.6875	10.767252	-14.280972	-6.3860593	0.12151028	0.12605149	5397.342	39.31392955780029
-342.19067	52.45805	-289.7326	-394.6487	-455.41504	47.140617	-380.36243	-543.6642	1000.0	1000.0	6000	3184.0532	50745.902	34.328594	-4.410549	3184.186	50748.016	34.224426	-4.1153092	-229.18233	3652.8677	16.471931	-15.556934	-13.775983	0.2808471	0.28663653	6998.509	59.51755928993225
-284.80182	91.95847	-192.84334	-376.76028	-67.71388	47.009853	44.622375	-119.89718	1000.0	1000.0	8000	5751.821	91669.7	48.23595	2.1356509	5751.913	91671.164	47.694187	2.0059726	109.935844	1752.9541	23.080198	-13.041556	-24.134998	0.47826967	0.4915874	7094.62	80.14860320091248
-310.47162	55.352913	-255.1187	-365.82452	-317.1962	23.758535	-288.51474	-371.42746	1000.0	1000.0	10000	8792.423	140129.3	64.08132	14.38015	8792.412	140129.12	63.076653	14.651824	328.66534	5238.425	22.926607	-15.675964	-36.27803	0.69661194	0.72518975	7088.87	101.17828845977783
-143.44556	124.81173	-18.633833	-268.2573	217.64865	66.45775	333.68616	123.647446	1000.0	1000.0	12000	11277.505	179735.33	83.80186	19.522963	11277.533	179735.78	82.36208	18.076418	28.79386	461.9648	24.42666	-13.091006	-45.35144	0.9679815	0.9905277	1599.9252	124.04125690460205
-2.4456682	31.406178	28.960508	-33.851845	816.47253	248.70609	1185.2396	358.7375	1000.0	1000.0	14000	11691.407	186331.9	76.811134	19.784388	11691.339	186330.83	78.971245	19.596514	-379.02252	6040.801	18.25541	-15.11063	-46.358295	0.8122092	0.8336834	1379.2804	147.40898895263672
518.5287	135.76059	654.2893	382.76813	946.49725	218.45837	1139.2296	549.79626	1000.0	1000.0	16000	11658.286	185804.06	77.804214	19.390692	11658.254	185803.55	76.84413	19.305672	-490.27676	7813.865	19.572008	-13.17593	-46.108833	0.6620393	0.6684563	1647.0818	171.29651761054993
716.4613	147.34964	863.811	569.1117	338.87982	319.8099	958.4539	10.7103815	1000.0	1000.0	18000	11951.71	190480.5	78.43844	18.95981	11951.648	190479.53	77.800316	19.02358	-526.2661	8387.431	14.646694	-14.854509	-47.19913	0.5870757	0.60896987	1241.8752	195.46039748191833
827.20276	95.273224	922.47595	731.9295	599.80164	430.28534	1760.1675	218.37877	1000.0	1000.0	20000	12344.438	196739.61	87.6476	19.217564	12344.348	196738.19	86.46887	19.023623	-482.17307	7684.712	17.536646	-13.473209	-48.746346	0.62877023	0.6477159	1362.1058	219.6056296825409
880.25726	95.2478	975.50507	785.00946	1835.0999	300.0917	2077.115	1121.1505	1000.0	1000.0	22000	12978.308	206841.95	91.0955	19.20549	12978.24	206840.88	92.35979	18.629053	-395.03665	6296.014	18.085901	-15.079756	-51.275017	0.7537845	0.7667813	1593.5544	244.01718258857727
1859.4855	144.04675	2003.5322	1715.4387	1949.067	92.72904	2126.0361	1787.3116	1000.0	1000.0	24000	13942.125	222202.8	106.894005	19.300528	13942.014	222201.02	106.28627	19.149807	-300.01358	4781.651	19.821152	-14.570389	-55.08563	0.8779453	0.89412385	1707.8357	268.4393091201782
2022.1788	114.510376	2136.6892	1907.6685	2389.787	41.091537	2469.0269	2326.7283	1000.0	1000.0	26000	15490.199	246875.3	116.42901	19.497826	15490.105	246873.83	117.501465	18.832573	-208.6892	3326.2788	20.496672	-15.025856	-61.129757	1.0507932	1.0508479	1288.1019	292.74045395851135
2103.5332	76.80835	2180.3416	2026.7249	2608.7427	126.86189	2913.1467	2416.5486	1000.0	1000.0	28000	17278.562	275377.38	123.64437	18.83251	17278.574	275377.56	122.973946	18.884966	-117.47684	1872.8713	21.296936	-14.064843	-68.12931	1.1780499	1.1674749	1306.0773	317.1118862628937
2257.0386	55.36255	2312.4011	2201.676	2549.1255	544.2154	2860.0625	944.31354	1000.0	1000.0	30000	19130.139	304886.9	138.33888	18.860018	19130.049	304885.47	138.79471	18.313772	-42.852444	684.67554	23.455086	-13.547635	-75.36401	1.350552	1.350783	1518.1941	342.18414783477783
2640.5566	14.4313965	2654.988	2626.1252	3040.1453	83.62678	3166.7563	2874.4922	1000.0	1000.0	32000	21107.277	336397.62	149.52438	19.746906	21107.314	336398.2	148.99628	19.608162	15.711104	255.23863	20.39164	-12.408	-83.08597	1.5964516	1.5799392	1267.933	366.59864687919617
2953.312	121.22925	3074.5413	2832.0828	3366.6477	133.44923	3608.3232	3141.7961	1000.0	1000.0	34000	23252.533	370587.7	159.85385	19.323908	23252.506	370587.2	161.1842	20.359234	75.625725	1206.3383	24.262297	-15.803253	-91.45213	1.748768	1.7291185	1386.7327	390.7814998626709
2958.7275	69.638794	3028.3662	2889.0886	3583.0942	77.432526	3744.9211	3479.535	1000.0	1000.0	36000	25510.322	406571.22	173.158	19.833063	25510.357	406571.7	173.04321	19.98801	133.6904	2131.3098	21.256044	-15.151402	-100.25799	1.894305	1.863428	1348.0295	414.8307089805603
