AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
18.1138	14.327189	82.317375	5.1354775	45.38505	1.0984545	46.915344	43.662827	21.877777	27.1	1999	166.2781	1646.189	7.904513	-1.5066739	166.17528	1645.1711	8.058644	-1.4895703	-1.9780893	0.023209268	0.02508141	6.793423652648926
16.58693	16.815557	121.722435	5.29112	38.897278	0.94627017	40.476547	36.939274	20.895834	22.1	3999	547.8316	5423.6157	21.491447	-5.197492	547.83734	5423.673	21.52048	-7.8853507	-6.4918623	0.15739249	0.16909988	16.79297423362732
15.998062	17.269289	168.4915	3.5424318	39.245052	0.79643226	40.523815	38.286095	20.642857	22.3	5999	1295.5958	12826.535	43.714516	-9.661162	1295.6191	12826.767	44.835514	-8.021123	-15.240564	0.74654055	0.7281368	25.786089658737183
17.824451	14.861313	126.311905	6.0085955	38.824974	1.1615596	40.574528	37.047535	21.505377	22.1	7999	2322.9148	22997.053	68.99476	-14.769918	2322.8977	22996.883	67.95922	-14.210722	-26.854431	2.3309884	2.2588809	35.89425468444824
20.98768	23.386925	134.24522	4.134679	38.654057	1.061392	40.31639	36.87913	23.16279	22.0	9999	3619.3406	35831.754	109.60758	-24.258137	3619.382	35832.168	108.90076	-33.187534	-42.178757	4.9156327	4.965443	44.810542821884155
39.267178	9.132593	83.37136	9.820285	24.736755	1.035774	26.594206	23.478712	22.65909	19.5	11999	5756.8213	56992.96	131.64673	-28.635187	5756.804	56992.797	130.89796	-33.1395	-66.25	14.715203	15.042389	56.05440092086792
85.471924	74.54296	197.32095	19.72666	189.82802	1.7646078	191.83163	186.67508	47.47619	95.0	13999	8028.988	79487.414	130.25494	-46.49482	8028.973	79487.266	132.76027	-34.763916	-90.33673	27.204906	27.383184	68.47622895240784
207.17249	22.513327	246.49316	156.24548	231.50955	0.85255456	233.15962	230.5312	108.5	119.1	15999	9154.88	90633.73	132.22597	-34.43656	9154.821	90633.15	134.15703	-43.81478	-99.22043	26.936457	27.167904	80.17047095298767
220.62186	40.07811	244.49571	57.18287	227.48738	1.443515	230.67886	225.661	110.166664	106.7	17999	9535.609	94402.94	144.44159	-73.807465	9535.867	94405.484	147.83192	-62.69266	-101.77136	25.451698	25.484524	92.32767391204834
215.13109	30.67498	234.48901	81.86845	13.743503	2.1375856	15.961952	9.5058565	97.95238	14.9	19999	9882.486	97836.99	154.11417	-41.786148	9882.67	97838.81	155.48883	-50.871407	-104.799736	26.41739	26.528265	102.20658040046692
