AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
447.19727	129.38982	645.98474	298.46613	471.04193	260.08752	956.61334	41.741898	431.25	443.1	265.8796	109.76008	451.17697	33.43156	14963.8	-0.010336561	2.6348124	0.009334521	52000	217.18020391464233
293.0844	115.82822	553.60583	164.65866	505.16733	210.18588	690.45264	94.443504	248.875	418.5	371.68918	59.858765	463.2828	40.480145	10211.693	-0.0061688563	2.6962388	0.0055820015	54000	229.08602285385132
562.82574	52.89124	632.37146	504.204	651.6812	206.32391	1039.3373	404.7284	458.0	576.1	158.4254	47.90997	270.38416	36.43552	11014.134	-0.030129503	2.6591728	0.010996205	56000	241.1972291469574
804.0073	237.90527	1041.9126	566.10205	697.96484	189.26352	1039.2522	508.20953	728.5	605.0	336.2004	83.87999	495.34656	-51.41742	28702.234	-0.0087282695	2.6332786	0.009077668	58000	254.75420260429382
619.1967	13.646312	637.0766	603.96674	749.6236	279.3085	1071.2332	170.77438	540.3333	680.9	553.26373	145.1507	747.561	-83.25249	28655.5	-0.019521818	2.6227996	0.012511383	60000	268.8998119831085
892.3038	87.58588	979.88965	804.7179	813.9949	238.92381	1057.7234	338.94067	793.5	751.5	334.7065	175.2108	585.4262	-12.680016	3354.3828	-0.019306192	2.6521215	0.010262964	62000	285.2701427936554
944.5086	100.40936	1044.918	844.09924	965.5369	144.22778	1098.4628	689.4565	869.0	889.0	482.49603	133.3168	660.8394	-3.4289734	27490.994	-0.00803356	2.5829818	0.01033973	64000	300.04719948768616
1004.293	2.3411255	1006.63416	1001.9519	838.32587	247.10942	1005.18677	352.3696	1000.0	860.8	702.6615	73.15157	831.8502	441.85745	4666.181	-0.011291711	2.6069343	0.017054308	66000	315.24333214759827
148.28772	53.54633	250.47076	77.76469	185.84573	38.517864	245.79272	109.92516	178.18182	215.8	843.0433	61.936478	945.04456	651.65216	52530.062	0.0010465487	2.6591344	0.007451332	68000	323.50280022621155
626.1819	279.1179	978.0301	295.29865	443.0253	190.19919	814.6464	157.07251	654.3333	472.6	78.205	53.716167	242.2034	-5.630909	50767.035	-0.010728089	2.6491625	0.010394188	70000	335.5135521888733
1002.1851	7.322754	1009.5079	994.86237	1005.16974	6.8762054	1016.2311	995.71747	1000.0	1000.0	420.6703	26.459171	496.63278	290.49448	18090.535	-0.0025048163	2.661004	0.01802941	72000	352.2977421283722
1046.1433	1.3342896	1047.4777	1044.8091	1011.68445	104.8749	1113.0814	705.7306	1000.0	962.4	554.00916	73.814125	737.3855	394.0191	7115.876	-0.0071539897	2.6650586	0.012089045	74000	368.37912797927856
918.96545	70.41794	989.3834	848.54755	983.90466	97.05269	1056.5894	803.1402	829.5	904.6	821.6766	85.7089	972.74524	181.17836	43062.535	-0.012319315	2.6622274	0.015389683	76000	385.54964447021484
1006.7848	74.385956	1081.1708	932.39886	1036.3818	76.82077	1096.2119	810.8818	905.5	965.8	417.39957	194.90096	790.3003	-4.3992567	60650.3	-0.0019719664	2.6609023	0.01019944	78000	400.92895793914795
1039.5142	5.830261	1045.3444	1033.6838	770.0036	333.18268	1046.1525	280.96844	1000.0	733.8	713.6009	49.213333	826.0198	579.15875	3605.7805	-0.004209892	2.6031928	0.009769371	80000	414.6301152706146
466.36874	124.10357	609.10315	306.55545	541.84265	224.36517	1016.1759	301.14612	433.0	507.9	920.352	24.848791	997.35266	824.612	157581.28	-0.006166691	2.562552	0.006835508	82000	426.0087251663208
1034.8204	2.0792236	1036.8997	1032.7412	979.5827	173.88113	1042.7682	458.02747	1000.0	942.6	474.7105	27.633034	563.68976	349.38635	12999.367	-0.0049365587	2.6037643	0.009986816	84000	441.20523834228516
1022.2395	2.6643372	1024.9038	1019.57513	1020.72815	2.7200763	1024.84	1016.07056	1000.0	1000.0	748.1168	21.232342	824.1367	698.6554	2360.8555	-0.029570159	2.648386	0.010551034	86000	457.8235971927643
1023.4927	2.966278	1026.459	1020.5264	1020.694	3.608533	1026.534	1013.2701	1000.0	1000.0	877.3952	24.198977	945.24634	822.10986	950.66077	-0.0064098225	2.607321	0.011251797	88000	475.9681921005249
1016.01294	3.8207703	1019.83374	1012.1922	1012.5868	4.024122	1017.3728	1006.4129	1000.0	1000.0	976.9047	14.902958	1020.1459	909.8745	175.9781	-0.022463098	2.6451385	0.010632356	90000	495.4950611591339
1021.8934	0.5671997	1022.4606	1021.3262	1019.02264	4.4926934	1025.446	1008.7433	1000.0	1000.0	1004.4467	11.115035	1052.995	965.92523	154.41797	-0.028287834	2.5977418	0.009376238	92000	512.0011196136475
1015.82983	0.81185913	1016.64166	1015.01794	1016.3708	3.6292882	1021.88007	1009.1507	1000.0	1000.0	1030.2148	7.029917	1064.5139	1003.1997	94.036194	-0.028715376	2.586343	0.009354513	94000	529.106015920639
1013.93005	4.2284546	1018.1585	1009.7016	1016.9637	2.8731356	1021.5976	1012.81415	1000.0	1000.0	1033.3313	7.5646353	1065.636	991.8082	129.2867	-0.0062912526	2.5089993	0.008669414	96000	542.7012135982513
1013.6366	0.2642517	1013.9008	1013.3723	1010.06854	4.3653026	1016.04095	1002.88715	1000.0	1000.0	1038.2406	5.4510436	1072.922	1007.0563	116.30876	-0.0035073743	2.515979	0.009521095	98000	560.0614368915558
1016.0536	2.22818	1018.28174	1013.8254	1017.80206	3.1682072	1021.9723	1011.52167	1000.0	1000.0	1034.3937	6.771813	1093.2333	1007.4389	102.46421	-0.006352737	2.5161016	0.00874273	100000	577.1850664615631
1011.46497	0.8477478	1012.3127	1010.6172	1010.78894	6.184663	1019.61	1001.1696	1000.0	1000.0	1037.6891	5.3546214	1064.351	1008.5625	100.100525	-0.004384205	2.51006	0.012452547	102000	593.319310426712
598.2855	107.482864	705.7684	490.80264	827.2951	239.65005	1029.2322	267.05942	570.0	802.0	1027.0687	10.070325	1057.3774	984.6705	173135.52	-0.0045676334	2.5270305	0.008872716	104000	607.1717159748077
