AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-975.0386	78.76846	-896.2701	-1053.807	-460.01837	438.21732	3.2788692	-957.872	1000.0	543.4	46000	260.58035	260.58054	21.345156	20.236526	-262.68747	20.051218	15.450721	288.88855	3.3325195	557.6651	1165.9694254398346
-145.66838	256.84985	-16.858969	-718.76013	-97.162155	189.30815	42.124084	-502.19693	298.16666	309.1	48000	232.49548	232.49564	16.503094	16.236292	-234.36465	18.728313	14.896545	305.76782	2.545166	724.1319	1215.2091665267944
-201.92732	260.87152	76.45135	-576.4596	-85.75975	137.6644	34.60864	-371.5635	590.0	361.1	50000	207.02084	207.02069	11.974475	11.403739	-208.74815	16.058664	9.910058	94.37256	3.5446167	715.47455	1262.98836684227
-28.198751	126.48448	100.68288	-200.06223	78.79814	73.319374	238.49045	-56.083263	706.6667	390.6	52000	184.03989	184.0392	8.992945	9.275734	-185.65994	14.352848	8.782365	102.79541	2.722168	802.69916	1315.2905113697052
133.7287	125.28824	259.01694	8.440459	163.37894	126.043915	433.5218	1.4162203	809.5	454.2	54000	164.3602	164.36073	7.5340633	7.2383113	-165.91737	12.622329	7.4913783	79.09546	2.3025513	724.76733	1366.5097868442535
350.34274	50.833145	416.4504	292.82782	334.92566	224.61539	664.1018	57.759644	753.3333	652.7	56000	147.60301	147.6024	5.956239	6.00117	-149.11632	11.03816	5.8830805	53.144836	2.4383545	942.90955	1417.701637506485
581.4431	17.44226	598.8854	564.00085	573.3279	156.77122	698.0986	121.50609	1000.0	918.3	58000	133.67744	133.67804	5.134845	4.9501824	-135.23016	8.603348	4.831297	49.999237	2.0980835	812.4482	1472.5068860054016
564.8847	0.79174805	565.67645	564.09296	478.41797	183.96336	676.92114	125.32056	982.0	792.3	60000	122.54653	122.546776	4.1869802	4.1629267	-124.11762	5.952492	3.3762543	34.32617	1.0345459	599.29443	1525.6645028591156
433.16476	260.1661	669.9888	70.89747	600.45483	121.68047	729.627	321.21017	700.0	943.1	62000	113.347664	113.347595	3.6241512	3.54388	-114.89289	4.505225	2.5969367	23.274231	0.9864807	956.564	1582.1192588806152
716.12695	2.6636047	718.7906	713.4634	601.21277	104.26453	772.0446	430.41937	992.5	962.0	64000	105.70316	105.703545	3.3106627	3.186021	-107.240685	3.75629	2.2638252	21.684265	0.6652832	674.5625	1640.163983821869
745.3012	61.568115	806.8693	683.7331	737.5571	72.74451	811.7573	589.7663	1000.0	1000.0	66000	99.54329	99.54381	2.6836057	2.6547832	-101.054924	3.2727983	2.1420186	22.756195	0.5455017	835.6061	1696.9576454162598
640.022	34.574615	674.59656	605.4473	776.36237	173.21196	965.06177	304.64557	1000.0	939.6	68000	94.27286	94.272766	2.3215258	2.410489	-95.74725	2.7347696	1.8092405	23.143768	0.5340576	809.18994	1752.452345609665
680.6793	40.52298	721.2023	640.1563	673.0514	161.98026	753.5482	192.6736	1000.0	923.3	70000	89.771	89.77071	2.1557407	2.1749952	-91.20636	2.6055982	2.0375004	41.108704	0.45547485	566.2097	1809.1349534988403
675.06335	27.96457	703.0279	647.09875	807.79474	69.46061	896.05444	700.441	1000.0	1000.0	72000	85.878105	85.87793	1.949731	1.880382	-87.289345	2.370523	2.1202295	42.378235	0.3501892	577.04706	1866.1624870300293
747.724	72.27182	819.99585	675.4522	756.89386	92.25597	874.3938	559.72876	1000.0	1000.0	74000	82.63978	82.64059	1.7353443	1.6952784	-84.021454	2.3000147	3.9734423	115.76233	0.3173828	616.6318	1924.418751001358
606.6316	308.53705	883.6503	176.1665	572.4877	317.57477	813.60254	9.323756	727.0	725.6	76000	79.95174	79.9514	1.6667527	1.6942153	-81.31616	2.0929222	2.883955	80.490875	0.289917	684.0619	1978.9839220046997
289.63034	294.01434	695.9597	10.052402	627.7273	238.89357	835.2528	80.605515	396.0	809.4	78000	77.82645	77.826126	1.6348921	1.5862345	-79.16441	1.9107028	1.9593852	33.47931	0.23117065	941.766	2034.9415225982666
666.4631	261.6049	928.068	404.8582	531.99445	301.69803	884.3696	66.73989	1000.0	669.9	80000	76.03932	76.03954	1.584532	1.6035469	-77.345375	1.7121865	1.4651428	30.039215	0.21896362	664.2685	2089.5209045410156
643.30334	401.6698	1106.3788	44.694183	598.78784	346.99564	960.09894	57.432842	635.25	676.9	82000	74.55217	74.55214	1.4267491	1.4617832	-75.83151	1.5458317	1.3069974	15.88974	0.21057129	694.0599	2142.7238619327545
609.32635	162.83267	809.6171	410.77148	526.0331	389.7997	999.2486	38.663948	671.0	575.9	84000	73.38394	73.38418	1.4584187	1.4870106	-74.64123	1.3484683	1.1497818	15.437317	0.1701355	824.03467	2194.2371339797974
1043.403	56.480377	1099.8833	986.92255	757.78186	251.30174	1042.3486	120.483955	1000.0	837.7	86000	72.56331	72.56384	1.3982725	1.3942652	-73.81915	1.2725208	1.1361508	10.313416	0.11672974	798.15106	2250.742290019989
771.0848	86.01886	857.10364	685.0659	233.54428	205.4902	710.9915	31.70002	806.0	269.7	88000	72.12107	72.12069	1.2707653	1.3229454	-73.35786	1.3594643	1.2621206	14.581299	0.17700195	636.11176	2293.2559866905212
531.2465	116.68876	660.12085	377.54593	572.18066	319.36624	980.69885	123.299995	631.6667	584.0	90000	71.63373	71.63366	1.3156594	1.2876678	-72.84126	1.5206096	1.4586874	15.7699585	0.11367798	562.6094	2344.5431463718414
322.6961	369.38947	895.17834	10.506635	623.735	273.12283	1119.0508	181.09384	373.0	605.0	92000	71.2305	71.230995	1.3567196	1.352014	-72.410126	1.4062061	1.2869534	13.54332	0.1083374	500.7388	2400.7486243247986
714.5932	189.97392	850.52246	445.93582	439.92	240.74416	866.0748	51.691166	772.6667	466.2	94000	71.08847	71.0884	1.2654679	1.2958393	-72.2697	1.2627735	1.2767134	21.814346	0.119781494	530.8425	2452.078227996826
547.26654	174.04611	793.0184	412.44986	590.9904	304.72534	913.63416	25.76016	556.0	677.1	96000	71.07528	71.07546	1.2797102	1.2822368	-72.23231	1.0935594	1.0483469	11.38916	0.09460449	660.7316	2504.9771254062653
504.54813	310.83127	931.4762	152.94101	787.5484	283.71704	1378.184	227.56142	580.75	884.7	98000	71.18158	71.18178	1.2621582	1.2670183	-72.3196	1.0726687	1.0819659	14.39743	0.078201294	814.18677	2563.2995414733887
551.9003	341.97275	846.99664	72.52896	498.9962	380.45395	1174.6166	100.06444	689.0	456.1	100000	71.202286	71.20251	1.2210327	1.2209507	-72.3305	1.2211106	1.2346619	18.408585	0.08163452	863.3583	2610.4086589813232
332.68835	299.14056	747.552	53.536617	560.3654	326.68234	943.16394	24.661837	400.66666	660.4	102000	71.30071	71.300705	1.2178481	1.2105687	-72.418816	1.249964	1.2659824	13.336182	0.103759766	697.56287	2663.128881216049
535.5477	366.80353	1165.3687	147.1081	551.86896	403.67853	1282.2427	37.67763	465.5	514.9	104000	71.75898	71.759026	1.2757164	1.2560087	-72.849205	1.5298865	2.47729	39.440155	0.092315674	730.1457	2713.8207638263702
586.6113	271.03336	857.6447	315.578	620.3406	442.9621	1300.8148	21.141037	652.5	555.2	106000	72.197266	72.19732	1.3959812	1.3851994	-73.2715	1.2227107	1.7904224	24.119568	0.050354004	675.148	2763.9204597473145
