AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	StepsPerSecond	Time
-341.94714	38.825546	-303.12158	-380.77267	-566.51483	2.2527583	-563.1038	-571.30225	1000.0	1000.0	2000	0.67185295	0.67212653	0.043616556	0.050447166	-0.00010228123	0.8436249	1.2133188	7.857843	0.00084933	6144.085	30.8676655292511
-283.6988	23.392609	-260.30618	-307.0914	-447.44717	168.41313	-32.485104	-598.4962	1000.0	1000.0	4000	2.7676415	2.7676308	0.14693503	0.14563397	-1.3631278e-05	0.40941125	0.69639516	3.0503795	0.000113276474	5638.244	90.60196161270142
-303.24078	28.358948	-274.88184	-331.59973	-647.94244	101.483765	-477.55194	-778.8114	1000.0	1000.0	6000	13.462865	13.463157	0.41652328	0.39409178	-2.0113766e-05	0.37427709	1.6576188	20.008648	0.0021699816	5566.964	153.70784735679626
-368.04468	12.808517	-355.23615	-380.85318	-795.4665	131.00168	-460.7501	-970.47656	1000.0	1000.0	8000	37.100277	37.101513	0.82021964	0.77210325	-3.0596548e-05	0.042977605	0.08915505	1.931261	0.0008530915	5534.2944	216.1144151687622
-288.04288	10.012421	-278.03046	-298.0553	-1037.9463	247.33496	-312.0723	-1198.5988	1000.0	1000.0	10000	65.39906	65.39954	1.3163447	1.2566142	-3.9446073e-05	0.06190889	0.17778374	1.7992184	0.0007748604	5727.548	278.4209063053131
-691.412	91.303925	-600.1081	-782.71594	-430.0786	56.765686	-335.37842	-531.4651	1000.0	1000.0	12000	83.90497	83.90506	2.7792807	2.7070024	5.60424e-05	0.2747999	0.5464435	4.9897523	0.0012457371	1218.4271	343.8260419368744
-378.31927	153.44765	-224.87161	-531.7669	14.521673	217.85376	257.41544	-511.53934	1000.0	1000.0	14000	80.36167	80.36209	1.9842666	1.9165416	-0.00010520677	0.7336354	0.6785439	4.4576273	0.0096052885	1282.7751	408.20107889175415
442.99872	9.783829	452.78253	433.21487	126.454124	220.40717	449.84134	-216.65721	1000.0	1000.0	16000	73.05662	73.05697	1.3375324	1.2932059	0.00015788632	1.2286934	0.47467968	3.0351982	0.21006912	1243.5927	472.79391050338745
588.23486	48.897034	637.1319	539.3378	980.2899	74.68146	1176.5013	887.13684	1000.0	1000.0	18000	70.64478	70.64472	1.1601653	1.0558248	3.7841535e-05	0.94030845	0.29111904	2.2918775	0.3430143	1417.699	537.0662844181061
1250.3206	87.54736	1337.8679	1162.7732	1485.7612	288.07135	1825.3712	712.627	1000.0	1000.0	20000	71.163994	71.16417	1.1054599	1.0200745	-6.4026215e-05	0.49198103	0.16451189	1.3263255	0.14246553	1256.7612	601.8644652366638
1568.7668	129.70868	1698.4756	1439.0582	1128.7678	744.73395	1854.8391	-293.3664	1000.0	1000.0	22000	73.86096	73.86107	1.1876099	1.1243092	-1.955526e-05	0.2578876	0.088763796	0.7715121	0.08948892	1185.6431	668.0586755275726
942.0565	660.38055	1602.4371	281.67596	1779.8392	612.843	2429.6902	192.96037	1000.0	1000.0	24000	77.28829	77.28804	1.4173052	1.3413007	-6.6078005e-06	0.17699963	0.06683303	0.6246567	0.044208765	1287.8787	732.840179681778
2611.106	127.15369	2738.2598	2483.9524	2348.2185	635.61597	3128.1858	733.65875	1000.0	1000.0	26000	80.84962	80.849236	1.7477287	1.6456591	-2.0346158e-06	0.11818016	0.050948124	0.4597105	0.024073571	1191.178	796.8582925796509
2435.394	50.11499	2485.509	2385.279	2797.0122	166.92584	3009.5378	2513.0022	1000.0	1000.0	28000	88.73467	88.73444	2.2103071	2.1023223	4.2758843e-06	0.08245946	0.0412102	0.43819845	0.018175691	1178.5647	861.5402584075928
1524.3292	1495.7418	3020.071	28.587496	2484.0771	979.38544	3366.6047	473.2109	1000.0	1000.0	30000	95.46207	95.462364	2.6496067	2.4683168	4.6828836e-06	0.058210682	0.032812852	0.2579972	0.011796504	1179.422	925.6611235141754
2923.539	105.634766	3029.1738	2817.9043	2474.4175	978.82745	3395.5205	364.52942	1000.0	1000.0	32000	104.67981	104.67993	3.0629966	2.860141	1.942739e-08	0.045261566	0.030020261	0.2874501	0.0068955123	1200.3679	990.4595861434937
1801.0865	1594.1238	3395.2104	206.96274	2473.9534	971.29407	3440.5166	734.9423	1000.0	1000.0	34000	112.696976	112.69682	3.4219375	3.208188	-2.6351381e-06	0.042654715	0.029995857	0.29884428	0.006880611	1232.56	1055.1665720939636
3149.148	19.795532	3168.9434	3129.3523	1371.6084	1396.466	3482.5305	-138.70871	1000.0	1000.0	36000	122.526665	122.5263	3.7474835	3.5568032	-5.105641e-06	0.037977688	0.026817825	0.23434088	0.0053443015	1140.9497	1119.0534336566925
3222.8625	20.820557	3243.683	3202.042	2653.2703	1176.0483	3553.7407	-6.4567046	1000.0	1000.0	38000	133.87257	133.87268	4.4206705	4.2130203	-7.153755e-06	0.03606613	0.02569735	0.3026154	0.0037819147	1101.1073	1183.2143199443817
3387.4912	145.60071	3533.0918	3241.8904	2697.5193	1425.7555	3938.9446	-199.27216	1000.0	1000.0	40000	145.26883	145.26883	4.8911734	4.651741	1.1101914e-05	0.032833632	0.023422027	0.27920043	0.0050406903	1163.5841	1247.1167511940002
2489.869	1179.4935	3669.3625	1310.3754	2747.3442	1214.3333	3756.4219	223.549	1000.0	1000.0	42000	156.44914	156.44928	5.06359	4.811136	3.5098083e-06	0.02592947	0.019644681	0.2777565	0.0034671277	1111.1154	1310.7473692893982
3096.4883	457.66296	3554.1511	2638.8252	3294.8472	1251.3079	3954.1814	-432.0565	1000.0	1000.0	44000	165.45728	165.4584	5.3140163	5.0859914	2.392965e-06	0.027982682	0.023301505	0.24165325	0.003322959	1126.1895	1375.440755367279
3694.2947	112.61694	3806.9116	3581.6777	1944.8724	1529.901	3980.4297	-186.125	1000.0	1000.0	46000	175.05765	175.05702	5.552151	5.380853	-1.0878286e-05	0.034707304	0.0314628	0.508574	0.0041726977	1121.8397	1439.352111339569
3848.45	116.05762	3964.5076	3732.3923	3449.2644	919.8846	4137.2456	926.91473	1000.0	1000.0	48000	185.82483	185.8251	5.904132	5.678698	-3.871788e-06	0.033941943	0.028143447	0.2629824	0.0053118914	1102.9613	1503.3412754535675
1866.6533	1926.9631	3793.6165	-60.309753	3796.9617	169.8027	4159.099	3516.702	1000.0	1000.0	50000	195.61366	195.61389	5.936279	5.6586776	6.2041954e-06	0.031354867	0.02692409	0.3409505	0.0037942082	1152.6879	1568.3265273571014
