AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
991.3782	0.4544983	991.8327	990.9237	990.3851	0.53149027	991.2368	989.462	1000.0	1000.0	36000	101225.484	1613281.8	540.05945	-180.00574	101224.52	1613266.5	536.7901	-184.81717	1036.6255	16521.287	47.786766	-11.368295	-404.92014	59.3826	55.502632	764.8526	361.1439070701599
791.51746	132.33203	923.8495	659.1854	994.91296	5.18818	999.53046	987.7574	846.0	1000.0	38000	99870.78	1591691.2	543.50555	-261.98584	99871.336	1591700.0	540.84235	-161.32864	924.3454	14731.829	47.053177	-14.610228	-398.13144	52.955563	48.255	748.7951	392.6500337123871
1010.7817	9.785461	1020.56714	1000.9962	784.94855	354.13785	1017.44025	213.79718	1000.0	751.1	40000	97990.71	1561727.4	605.3763	-176.4648	97990.86	1561729.9	610.18304	-167.44069	887.27783	14141.075	42.63255	-10.033644	-390.30927	53.162106	49.466385	753.0336	414.38504457473755
668.9674	354.31097	1126.6088	254.56639	294.53027	171.0424	606.31866	132.16878	592.75	267.5	42000	98122.6	1563829.6	686.1222	-206.80054	98122.234	1563823.4	676.4625	-176.86581	1065.9578	16988.768	42.67789	-12.803495	-391.79626	52.506805	46.20096	869.29236	434.9116721153259
273.3496	111.15745	473.75977	80.27814	272.0051	3.0867891	278.37753	268.26764	186.36363	147.5	44000	100175.41	1596545.8	667.5242	-281.34735	100174.54	1596532.2	657.3354	-335.2704	1024.0101	16320.224	44.858063	-10.965717	-399.41895	57.994797	53.965866	749.0645	451.21971821784973
368.18146	57.89726	490.03265	291.51523	328.85028	1.4759166	330.9526	325.98483	204.88889	154.1	46000	100593.95	1603216.5	620.0606	-203.77867	100594.3	1603222.0	623.7011	-179.53021	1025.9066	16350.45	41.710667	-12.041393	-400.72473	56.05416	50.007423	803.34906	467.56502056121826
356.9714	25.754908	434.04047	332.61847	347.55853	3.3438735	350.3229	339.77225	179.25	166.6	48000	100465.37	1601167.4	569.47186	-226.2242	100465.19	1601164.5	573.7533	-197.59677	977.0439	15571.703	52.69526	-11.44965	-399.5845	49.32209	44.144375	768.09595	483.81199645996094
387.86255	40.34693	483.64175	336.3014	344.28546	123.92537	545.20264	220.06009	197.5	175.0	50000	98027.65	1562316.0	525.7954	-197.67842	98027.58	1562315.0	535.0229	-174.12047	872.45264	13904.789	55.427586	-12.780676	-388.7417	44.515842	40.538124	764.6	500.9499044418335
292.7182	56.184925	486.68524	247.21442	272.20148	1.7319427	274.8557	268.7357	134.93333	119.6	52000	94319.93	1503224.8	489.83234	-189.33908	94319.45	1503217.0	486.37982	-268.76154	835.11584	13309.744	54.91329	-11.507819	-373.85547	41.471375	37.009434	783.0793	517.1326031684875
264.55615	17.921701	307.38446	224.13077	280.8622	7.7398806	290.7288	265.8091	115.411766	125.5	54000	90003.914	1434438.1	475.48596	-213.33145	90003.54	1434432.2	474.3192	-308.5816	768.55475	12248.93	50.761604	-11.414816	-356.36618	35.394356	32.85061	769.1155	533.5999445915222
335.7087	79.717125	525.07043	256.25504	428.33847	94.98054	489.07468	146.30336	143.71428	215.2	56000	85599.27	1364239.2	444.43628	-243.34981	85598.57	1364228.1	442.08374	-289.15857	773.94794	12334.885	62.92741	-12.595621	-339.0544	31.922493	28.578363	768.9696	551.8021202087402
470.12363	71.536606	582.0639	359.97	440.5978	38.442585	521.1702	418.5846	195.6	171.2	58000	81716.945	1302364.8	464.93314	-318.39407	81716.516	1302357.9	445.15582	-248.94469	755.21185	12036.279	52.03408	-10.982166	-323.52	29.925804	26.63762	812.6516	568.5911226272583
431.67245	156.00117	659.6298	37.265976	522.5094	65.16842	557.8988	391.36517	167.58333	183.0	60000	77911.91	1241722.1	435.1442	-169.20782	77910.92	1241706.2	422.11078	-202.56013	725.46674	11562.22	66.36452	-10.226559	-308.40552	27.594118	25.603403	768.0328	586.3048474788666
542.19183	77.9083	665.01385	373.02856	458.27432	5.167583	465.8839	449.66507	205.3	172.3	62000	74309.17	1184303.4	394.87045	-227.48787	74308.54	1184293.4	392.7803	-232.32765	708.68555	11294.776	82.56029	-12.2922735	-294.0566	27.35422	25.480581	783.76324	602.5074725151062
379.49155	198.66248	857.94244	118.15388	369.64896	30.041029	429.92847	321.25934	161.75	155.2	64000	71076.8	1132787.5	421.03238	-204.89699	71076.56	1132783.8	406.00952	-167.53346	691.3686	11018.788	87.84447	-11.374879	-281.38596	24.284191	22.62343	773.8533	619.089106798172
312.94034	102.36771	571.7821	47.509224	209.88037	122.09152	400.49838	62.57054	137.26666	156.3	66000	68334.62	1089084.0	382.16278	-182.67003	68334.31	1089079.0	394.83072	-190.3577	646.5868	10305.079	86.2096	-10.527612	-270.25525	23.921337	22.015785	783.2525	635.239933013916
268.7694	281.1231	951.0713	34.35062	1010.5707	105.06894	1107.7156	769.6963	247.75	898.4	68000	65575.35	1045108.06	376.60617	-160.40756	65575.164	1045105.1	382.68732	-180.07362	569.1364	9070.736	83.74369	-11.826741	-259.18088	25.268938	24.839455	764.0416	667.0454380512238
999.135	2.3381042	1001.4731	996.7969	530.7887	123.206184	745.31366	396.37503	1000.0	201.7	70000	64238.023	1023794.4	367.3756	-136.1395	64237.402	1023784.44	374.3935	-205.95384	680.9729	10853.101	78.081314	-11.992424	-254.26486	20.90631	20.877113	762.9846	684.8328778743744
365.69797	374.59613	1157.984	30.948757	643.924	86.968346	843.1718	570.94916	206.7	314.4	72000	62960.39	1003432.1	356.34448	-204.55391	62959.58	1003419.1	354.62292	-179.62776	611.4133	9744.496	69.54432	-14.958137	-249.03629	20.521826	19.401628	779.9857	704.7089395523071
552.92413	191.03311	801.43835	224.17644	509.72226	2.5214787	513.0526	505.6355	257.85715	235.5	74000	61198.266	975348.1	339.66705	-162.22905	61198.094	975345.3	341.60934	-189.37639	525.885	8381.401	69.46428	-13.685452	-241.87001	19.520563	18.580605	790.831	722.1499531269073
