AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQVals	StdQVals	MaxQVals	MinQVals	LossPi	LossQ	Time
22.389359	30.580061	228.06894	6.377338	73.64901	1.6659774	77.10123	71.39552	24.0	45.1	1999	381.00333	3772.0095	14.593391	-2.4287872	-4.4235773	0.13452663	7.131170988082886
19.04192	22.219177	154.02037	6.485187	180.05711	1.2682284	183.01196	177.73201	22.336956	84.6	3999	1580.321	15645.343	45.948364	-13.505834	-17.49447	1.1104832	15.823976755142212
20.058224	24.573408	159.63116	5.755244	66.73037	1.0675853	67.9441	65.228775	21.956043	42.6	5999	3623.091	35868.863	112.828995	-26.923197	-39.659336	4.70183	24.9780113697052
19.83012	21.635439	135.54684	4.0690317	204.5494	1.3283722	206.18993	202.5551	22.738636	103.3	7999	6586.666	65208.46	184.95534	-52.035336	-72.48404	13.779558	35.84443259239197
16.586111	10.913117	66.51424	5.133089	169.84586	1.73048	172.98781	167.31985	21.483871	94.3	9999	11134.83	110235.49	304.45218	-63.395267	-121.88432	39.074432	47.191420793533325
172.78253	85.54167	281.05582	20.517174	203.36533	1.1223062	205.70284	202.18837	96.0	109.3	11999	18298.182	181153.08	381.63794	-86.23714	-198.06776	116.41532	62.9112286567688
239.07391	44.510895	306.9896	155.45232	214.41357	1.3834423	216.63286	212.91824	121.76471	102.9	13999	26492.82	262280.06	427.13965	-107.53336	-282.31082	166.38904	76.93788385391235
222.32729	16.788368	249.38564	195.7306	256.0637	2.5171769	259.22403	250.618	112.94118	143.5	15999	32693.918	323670.94	469.82748	-137.4037	-344.31982	187.14299	91.27133965492249
282.51212	109.48675	458.45203	8.317318	446.60214	2.8261168	451.7603	442.92426	170.0	304.3	17999	36794.016	364262.0	499.0075	-167.39911	-385.0675	216.03653	107.04233264923096
69.30984	113.57856	432.3493	7.1597943	20.464455	0.7655284	21.59656	19.48707	53.92105	31.1	19999	39991.434	395916.34	519.9493	-216.34708	-416.71036	301.63757	120.53543043136597
246.5479	41.614704	331.81613	193.23286	361.52045	4.4257965	367.56085	352.0003	128.26666	194.2	21999	41478.043	410633.78	545.5828	-250.07741	-429.9644	322.78195	133.53242301940918
319.20996	33.32806	386.39813	280.4911	276.49677	40.7078	293.5885	154.59222	142.85715	136.4	23999	43322.824	428897.34	565.3742	-228.9255	-449.71475	300.2568	146.64697980880737
238.70747	123.52384	408.43716	8.101933	360.74103	6.504726	375.82172	354.96744	129.6	192.5	25999	45607.17	451512.47	583.57666	-180.27136	-471.79596	294.43564	159.44168066978455
111.271515	245.03317	1027.7229	7.498597	7.5593934	0.17499866	7.8737497	7.3464437	118.22222	35.3	27999	47471.0	469964.47	598.24475	-214.33902	-489.74405	323.04678	172.1032886505127
62.192173	216.84338	1031.3289	6.581292	147.60205	152.09662	347.98978	22.54421	88.47619	115.8	29999	48654.113	481677.34	615.19727	-274.66766	-500.91495	379.40982	184.6553659439087
312.845	332.75345	1032.2576	19.088501	35.310875	0.87107474	36.817284	33.993668	252.42857	58.7	31999	49181.715	486900.7	627.6422	-235.08414	-506.50345	365.85693	198.41120958328247
322.514	282.62527	1039.5691	20.337214	314.41806	2.9725718	319.4633	310.60663	231.6	131.1	33999	49884.633	493859.53	638.41174	-363.78677	-513.8737	337.04456	212.37836360931396
265.24832	114.44337	357.54193	30.590353	340.60614	1.2778301	342.74838	337.6679	123.75	156.2	35999	51517.004	510020.0	648.25494	-231.04462	-530.4022	328.24677	225.13207030296326
324.37076	12.40124	348.65338	298.73532	319.1938	0.92737883	320.2608	317.69418	141.85715	130.7	37999	52636.273	521100.94	684.1689	-218.83092	-541.0195	332.68723	239.11442613601685
281.5965	81.84071	358.0377	74.49375	321.86142	5.823301	333.08252	314.47433	119.17647	154.4	39999	53118.9	525879.2	699.7309	-301.52286	-544.80304	343.11343	252.44992184638977
302.68387	76.13832	362.71933	45.316322	116.78445	1.8468931	118.78108	112.11272	148.92308	93.7	41999	52988.805	524591.56	692.37445	-229.37053	-543.4201	322.8289	265.3311142921448
208.31201	148.14296	364.2205	18.929176	337.63397	5.3578777	349.98856	330.3277	113.27778	144.3	43999	53118.773	525878.44	694.0907	-287.7312	-544.15125	317.9688	279.23568177223206
275.16428	120.19339	372.1015	29.40971	340.4552	6.1195517	352.96277	332.29355	135.73334	136.1	45999	52757.15	522298.34	697.2989	-173.78737	-539.687	329.42947	291.80633091926575
422.60547	105.71498	688.4611	311.7364	295.9271	8.631935	306.75363	282.33414	168.5	129.5	47999	51867.79	513493.8	700.72064	-246.68932	-530.70386	319.3057	305.8856666088104
363.4879	59.115486	471.2106	306.06006	480.13397	21.351307	506.16284	428.31552	152.07692	168.6	49999	51540.047	510249.4	692.91656	-212.55243	-527.749	331.38123	317.6593186855316
364.4103	62.633404	472.80127	233.96295	413.01602	77.73009	546.831	334.4563	160.0	191.1	51999	51089.945	505793.5	687.6279	-274.71417	-522.0029	299.2899	331.27820110321045
413.05743	153.91629	673.021	159.41003	946.36145	90.13149	1068.5782	804.54095	187.5	753.8	53999	49976.797	494773.3	671.88556	-250.42438	-510.7784	287.86816	350.11412262916565
693.33856	212.52634	1033.3386	452.88562	603.77606	66.07628	706.7797	497.52896	536.25	325.3	55999	49161.51	486701.88	684.4877	-353.8644	-502.15164	271.10284	365.06812500953674
439.6786	59.14912	546.1288	329.58157	196.23746	250.62009	590.7164	31.729374	233.375	130.9	57999	48326.29	478432.97	669.00104	-180.03323	-493.25537	250.01382	377.61260056495667
