AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	AverageVVals	StdVVals	MaxVVals	MinVVals	LossV	LossPi	Entropy	KL	TotalEnvInteracts	Time
16.708313	8.767318	73.706955	6.386752	13.059949	2.3373294	16.2365	9.85513	16.247934	13.8	0.39140207	0.26155457	1.5871074	0.07586828	96.35838	0.028165083	3.0141907	0.26513964	2000	8.378048181533813
64.38721	58.510445	205.30801	13.684153	55.397614	59.18885	192.83205	12.381573	38.23077	33.4	18.360727	8.276146	51.645626	0.23154661	2348.6045	0.04840989	2.8938572	0.13084538	4000	16.047353744506836
100.93646	46.460613	197.32315	17.51708	81.363945	26.411903	118.19327	37.03444	55.305557	47.6	68.423035	21.361063	164.6597	8.070119	1583.9241	0.026287068	2.7949834	0.056060325	6000	23.541587591171265
105.064	41.995186	186.61804	33.611603	81.70772	40.5932	186.78865	46.26804	57.085712	44.7	67.15926	22.241886	110.41091	-1.9606065	1121.1218	0.0073084612	2.782859	0.03521717	8000	31.079628467559814
137.36024	51.23924	229.30693	52.80032	167.88686	48.832348	220.4496	47.59827	71.37037	88.7	67.58019	25.16387	116.29594	-3.4443402	1766.4672	0.008812793	2.7553272	0.042376213	10000	37.42038130760193
127.37411	63.24983	216.33473	30.45216	169.73822	38.408638	217.12602	103.31919	67.93104	91.2	101.28274	35.59752	169.32126	6.4256926	2433.5813	0.014347756	2.796124	0.015754573	12000	46.08586645126343
106.30827	64.09724	250.077	13.804181	112.64552	54.915512	208.33075	22.410124	62.21875	65.3	90.66849	27.634722	146.6615	1.954389	2312.7996	-0.009061271	2.768958	0.011928382	14000	54.641374349594116
158.9415	69.89761	277.2216	30.33913	147.70059	67.921684	249.05894	27.03561	85.13043	81.1	77.200645	28.2485	123.01178	-9.27414	2231.4077	-0.0072301035	2.7960062	0.028724229	16000	62.19698119163513
187.72748	56.742245	249.9365	75.68192	169.95332	64.79013	262.09607	78.36172	93.52381	89.0	115.06295	42.219913	175.12846	6.2325344	1964.3015	0.004342345	2.772578	0.0129120005	18000	69.25505375862122
137.1862	52.51905	264.23834	56.685387	168.00322	77.29218	383.3337	100.6513	73.48148	94.7	129.09991	40.29008	192.22505	10.700907	1796.0432	-0.008388059	2.7438495	0.008714831	20000	77.23052215576172
203.07877	40.864918	264.04996	104.302795	177.09897	45.129017	218.23201	66.90985	99.95	88.9	84.26017	38.796535	153.63649	7.1906023	1051.7643	-0.008755937	2.7874308	0.011686249	22000	85.19807028770447
218.32579	55.34542	284.7635	48.5807	203.8074	46.65319	252.15	123.30214	114.64706	105.7	126.77241	56.670376	227.82515	8.994099	1818.2214	0.0002915881	2.813551	0.015038785	24000	93.49209666252136
199.72528	88.07806	351.11368	15.14118	224.20496	59.94455	317.26135	68.92126	111.76471	117.2	136.88919	52.71156	203.77742	0.6423062	2655.7188	-0.0018437137	2.764645	0.010990567	26000	102.22538995742798
268.36978	57.890022	385.87204	119.47095	198.28738	103.83104	354.28104	12.296949	161.0	133.7	131.43074	60.422012	223.63892	-5.519435	1626.3434	-0.007749145	2.7621207	0.009607516	28000	111.07826781272888
