AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	StepsPerSecond	Time
22.862068	13.143918	101.0	9.0	186.8	14.654692	200.0	156.0	22.862068	186.8	2000	2.6452537	2.644527	0.019957876	0.02096024	-2.6745625	63743.656	14.16756296157837
20.510204	8.888475	57.0	9.0	107.2	3.3406587	115.0	103.0	20.510204	107.2	4000	8.2544985	8.2545185	0.031826023	0.034226414	-8.53768	48940.188	52.209007263183594
22.77907	12.687113	85.0	9.0	102.7	3.6069374	109.0	96.0	22.77907	102.7	6000	15.420107	15.420065	0.06721045	0.07123556	-16.08437	44857.27	90.56289958953857
21.442104	11.755147	80.0	8.0	112.6	3.231099	118.0	108.0	21.442104	112.6	8000	22.014317	22.014256	0.08691051	0.09083261	-23.08937	47556.37	127.16476893424988
20.84375	9.932405	52.0	9.0	101.3	6.165225	116.0	93.0	20.84375	101.3	10000	28.246162	28.246086	0.123804584	0.13003485	-29.695051	45643.86	163.92382287979126
113.70588	11.186993	133.0	75.0	116.9	2.2113342	120.0	114.0	113.70588	116.9	12000	34.22314	34.222862	0.19567105	0.20591785	-35.86429	1662.1498	202.36398100852966
117.411766	4.7036757	126.0	107.0	121.8	3.6823905	127.0	115.0	117.411766	121.8	14000	39.140663	39.14026	0.20768799	0.2262177	-40.74883	1546.7051	240.56562447547913
120.70588	7.7593565	143.0	108.0	126.1	8.802841	151.0	119.0	120.70588	126.1	16000	42.54318	42.542667	0.2086411	0.23152381	-44.090225	1630.7386	278.7685430049896
147.07692	17.197771	200.0	131.0	173.6	8.754427	189.0	157.0	147.07692	173.6	18000	44.88057	44.880215	0.20695738	0.2297029	-46.321266	1482.5043	317.3801016807556
188.0	14.740173	200.0	152.0	200.0	0.0	200.0	200.0	188.0	200.0	20000	46.636738	46.636566	0.20238012	0.22684906	-47.999657	1414.331	355.89643716812134
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	22000	48.58482	48.585003	0.18993056	0.21459562	-49.886177	1418.7245	394.7566306591034
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	24000	51.32701	51.327	0.20313828	0.2274028	-52.58082	1393.0969	433.7231843471527
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	26000	54.26623	54.266354	0.21650515	0.23626186	-55.465893	1752.308	473.62465953826904
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	28000	57.321156	57.3213	0.2354993	0.25464383	-58.516766	1485.4576	513.8396625518799
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	30000	60.40492	60.40479	0.22248083	0.24164933	-61.57851	1365.2467	553.0987195968628
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	32000	63.274734	63.274734	0.21953003	0.23632963	-64.412094	1503.8804	591.1968383789062
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34000	65.86222	65.86235	0.23355564	0.24760333	-66.96525	1555.7823	629.609766960144
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	36000	68.33638	68.33608	0.23623748	0.25508827	-69.38094	1638.4175	668.1535410881042
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	38000	70.33276	70.33293	0.23909223	0.2600598	-71.35763	1634.7098	706.4866449832916
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	40000	72.405304	72.40547	0.24332207	0.25694177	-73.39142	1768.0253	744.9593775272369
