AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	AverageLossAC	StdLossAC	MaxLossAC	MinLossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
-854.3201	930.7434	-107.3483	-2166.3953	910.61414	58.763016	963.63196	810.46967	393.0	1000.0	2000	-6.659647	-6.6585865	0.65064687	0.70364743	0.00012013426	0.00078397436	0.017644603	3.3750857e-06	0.745579	0.23465723	0.9469142	0.057804905	-232.87483	3711.4448	-0.389441	-3.18859	684.1413	29.774916172027588
-392.4491	564.2954	-16.147263	-1565.0396	938.0879	4.517337	948.06525	929.76306	359.16666	1000.0	4000	-13.120345	-13.120223	0.6434583	0.63964576	5.449124e-05	2.9921686e-05	0.00016693589	1.1903081e-05	0.69981825	0.091708794	0.867653	0.5269912	-192.28395	3064.5288	-0.1320283	-3.1306672	584.81323	74.43276715278625
29.407639	112.118454	163.52382	-110.89973	884.09326	34.925476	941.934	847.72284	755.6667	1000.0	6000	-13.847493	-13.84735	0.36039212	0.35792512	6.4388965e-05	2.561142e-05	0.0001901267	2.0247278e-05	0.46389607	0.04435649	0.5741924	0.37925085	-120.830666	1925.7434	0.1411725	-3.3548079	545.6015	126.92378854751587
243.98602	149.5421	382.05215	36.21736	873.9496	5.012525	879.3454	867.1509	694.0	1000.0	8000	-10.758043	-10.757661	0.28075832	0.27755266	8.461336e-05	3.123259e-05	0.00023791115	2.0545118e-05	0.36475134	0.021900062	0.4279128	0.3193687	-58.452644	931.5981	0.35446584	-2.6981683	558.2077	173.4269015789032
569.23926	53.522095	622.76135	515.71716	926.7155	23.881853	960.5448	884.9081	1000.0	1000.0	10000	-6.226397	-6.225837	0.24937008	0.24039847	0.000104532985	4.2970656e-05	0.00037579198	2.054971e-05	0.31799707	0.009484685	0.35091096	0.28800645	-14.7775	235.55118	0.48975328	-2.4249542	614.8805	214.69803023338318
659.1161	47.999725	707.1158	611.11633	793.422	43.747837	902.4105	742.1322	1000.0	1000.0	12000	-0.6884741	-0.6882066	0.2557027	0.24740487	0.00011996193	4.9963128e-05	0.00035161054	2.0857264e-05	0.31062177	0.0074301376	0.33951038	0.2838038	13.923256	221.93826	0.58068967	-2.8361607	594.38837	264.1496014595032
682.16125	49.00833	731.1696	633.15295	922.40125	26.579042	953.7152	880.4833	1000.0	1000.0	14000	4.994561	4.99414	0.27783862	0.27045286	0.0001326626	6.1968814e-05	0.00050704565	2.0836098e-05	0.3161651	0.008039035	0.34387347	0.284908	33.213516	529.3557	0.6524384	-2.6171622	599.4504	311.3672077655792
746.4446	52.408203	798.8528	694.0364	922.2113	25.941023	967.78925	874.1161	1000.0	1000.0	16000	10.3125925	10.3132305	0.2764771	0.26565948	0.0001436249	7.0692106e-05	0.000582374	2.0565476e-05	0.3182046	0.0071746004	0.34187064	0.2984159	48.01437	765.23944	0.6944299	-2.4622512	553.50903	351.6748938560486
764.4224	40.797913	805.22034	723.6245	850.73645	62.190598	925.8138	747.7753	1000.0	1000.0	18000	15.649114	15.649305	0.2791766	0.2688725	0.0001474843	0.00011746396	0.0010743352	2.0778074e-05	0.31865388	0.0077047627	0.34333524	0.29021293	59.309223	945.24884	0.7421974	-2.4181528	570.362	396.867121219635
483.0255	310.69592	717.2597	43.963238	911.79675	92.80529	1165.3318	813.5852	671.6667	1000.0	20000	20.97125	20.971292	0.29584217	0.27834752	0.00015104622	0.000116878466	0.0010312388	2.0747504e-05	0.32318282	0.007743171	0.34850183	0.29879394	69.13518	1101.8492	0.7815675	-2.275845	556.88165	447.5030007362366
