AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
120.69116	143.74109	334.23984	4.2523437	415.25513	276.94894	699.3537	44.296257	377.66666	651.2	30000	16.247303	16.246428	0.78292894	0.7919611	0.0003065807	182.91507	2915.2124	1.7987391	-1.4408956	-3.3587217e-09	0.21737783	0.11369866	-0.1530424	1.0000917	7.419372e-05	1.0013492	1.0000013	55.452118	637.5616	668.0529117584229
83.190186	59.03295	207.76082	25.976757	384.59583	285.88123	776.28046	29.838955	254.0	586.0	32000	16.64568	16.645117	0.82536924	0.8334558	0.00032618438	192.07138	3061.1401	1.8690708	-1.8818084	-6.4365566e-09	0.21752399	0.1038699	-0.15587325	1.0000918	7.4750875e-05	1.0015366	1.000001	54.267765	597.359	715.688066482544
199.36748	162.61708	400.2093	1.9239042	449.6521	279.50607	750.2016	30.80318	679.6667	673.4	34000	17.162636	17.161867	0.80991286	0.81485134	0.00032549733	198.6865	3166.5713	1.8673666	-1.5636911	-2.808869e-09	0.21797378	0.11382228	-0.1565284	1.000092	7.578188e-05	1.0014839	1.0000012	54.152054	676.89764	764.4491074085236
190.44127	210.03003	528.03046	-1.199475	412.78214	302.509	796.2311	19.646317	439.0	597.8	36000	17.940443	17.939793	0.8375284	0.8381788	0.00032182655	200.52432	3195.8604	1.8733172	-1.6150305	-1.1026859e-10	0.21874763	0.11716827	-0.13402417	1.0000935	7.778594e-05	1.0011995	1.0000012	54.49232	713.1613	811.4892394542694
381.93918	186.21292	633.9347	189.71022	336.54904	292.05557	802.52844	48.064323	696.6667	444.8	38000	19.08882	19.088585	0.84323496	0.84557754	0.0003227719	205.8487	3280.7178	1.9298887	-1.5583613	-1.45398085e-08	0.22019854	0.12896194	-0.16049841	1.0000948	8.1180544e-05	1.0013392	1.0000007	54.243103	688.0536	857.2775137424469
301.34656	217.94289	539.35223	78.94324	661.5887	220.06529	820.4922	48.27709	544.75	904.6	40000	20.45636	20.456196	0.89625305	0.903159	0.00031489565	207.8222	3312.169	1.9099193	-1.3968296	4.7922133e-09	0.2204807	0.12409296	-0.16501197	1.0000951	8.186443e-05	1.0019475	1.0000007	54.69936	642.0525	908.299836397171
358.74765	232.06926	601.1226	45.922478	386.87787	273.17947	778.698	45.861008	690.3333	538.0	42000	21.626953	21.626904	0.84547067	0.8507732	0.00031017084	205.252	3271.2075	1.9243687	-1.8999832	1.8826126e-08	0.22118112	0.11357311	-0.18210165	1.0000952	8.3927356e-05	1.0019927	1.0000007	55.005512	582.2555	955.2913179397583
240.29884	296.54398	659.4304	18.321537	365.39816	298.7217	844.3041	26.823223	398.33334	509.6	44000	22.906443	22.90709	0.8529137	0.85588706	0.00032641704	207.80444	3311.8865	1.9612155	-1.5628839	-4.3604524e-09	0.22243248	0.12686184	-0.18072534	1.0000961	8.74116e-05	1.0024627	1.0000006	54.44982	607.96375	1001.4642860889435
256.1241	164.83812	526.4198	76.26604	333.10538	261.4192	715.8116	26.65612	522.8	511.0	46000	24.139944	24.139774	0.88578475	0.8885881	0.00032852645	213.93463	3409.5872	1.952351	-1.510618	9.141862e-09	0.22322503	0.13531105	-0.17770293	1.0000972	8.927748e-05	1.0020164	1.0000005	53.595337	680.37286	1047.9626247882843
136.96634	91.55497	224.69109	4.6835623	393.99017	294.31586	754.6404	31.065285	409.0	583.8	48000	25.277687	25.277855	0.90470296	0.8991566	0.0003263535	218.64267	3484.6226	1.9565747	-1.5852857	-1.962632e-08	0.2237788	0.12514293	-0.16629286	1.0000982	9.0478185e-05	1.0018003	1.0000005	53.040665	640.2721	1095.2664551734924
