AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	StepsPerSecond	Time
17.889585	12.892926	81.51231	6.022161	39.34965	0.74552906	40.445755	38.471264	21.717392	22.4	2000	3.0989842	3.0992947	0.03380893	0.034349114	-3.6898482	3268.084	23.087453365325928
19.187948	16.936628	131.58774	6.4437366	38.692486	0.98108566	40.027756	36.858425	22.477272	22.0	4000	14.934026	14.933945	0.3226999	0.37334248	-17.006294	3565.5342	56.87350678443909
19.784275	18.989882	146.51514	3.4988897	39.125603	1.0025156	40.49426	37.044605	23.267443	22.2	6000	36.985123	36.984272	2.4770694	2.8597174	-39.997776	3340.479	93.71569085121155
21.158598	19.103672	111.987076	5.555737	38.952892	0.9942088	40.362244	36.83771	24.060242	22.2	8000	45.426483	45.426888	4.0302343	4.4819384	-46.8235	3453.6504	128.4183554649353
18.987661	21.206602	175.08708	6.0580125	38.597363	0.84032243	40.03193	37.083042	23.44706	21.9	10000	48.976624	48.976723	2.7992988	3.1882796	-52.34126	3569.224	160.75531888008118
89.047005	55.459576	226.3434	36.391586	174.42203	1.2075247	177.03227	173.12994	50.51282	85.2	12000	75.09748	75.0979	9.817855	10.063868	-82.25551	968.9029	197.31713032722473
176.8258	11.747345	206.33047	148.70601	162.80237	9.324213	178.6283	153.06664	85.875	81.7	14000	103.057495	103.05583	16.314615	16.847607	-109.376076	820.01526	234.78601241111755
134.6362	44.77873	183.03761	57.40419	175.76352	1.2119858	177.52464	173.81091	69.0	81.1	16000	114.79871	114.79633	15.5031	16.26848	-119.63278	862.92224	270.58213996887207
178.68245	5.2706347	186.7311	166.10567	179.28053	0.82491004	180.93045	177.93605	84.04348	86.2	18000	121.85639	121.855606	14.345547	15.383318	-126.92587	856.84424	307.4507873058319
138.67924	34.488228	182.78436	63.18437	1070.3981	0.6436949	1071.8899	1069.5504	76.24	1000.0	20000	123.23075	123.22812	13.452767	14.146063	-127.3489	874.0601	357.19191813468933
702.8211	347.66757	1050.4886	355.15353	1023.861	1.1717374	1025.4303	1021.0938	593.0	1000.0	22000	122.792656	122.79161	11.258695	11.645395	-126.734314	838.34686	409.14286756515503
868.84	231.75243	1035.8337	541.1125	1021.02295	1.400779	1022.8049	1018.57434	786.0	1000.0	24000	124.40211	124.40227	9.778307	9.926685	-127.98204	949.9346	455.41196155548096
786.02423	368.45035	1051.466	264.98788	1037.3191	11.790545	1061.6415	1025.4631	741.3333	1000.0	26000	124.51204	124.51157	8.607762	8.826431	-127.58607	851.51587	507.8557288646698
336.26	321.25232	1030.173	41.18825	218.75432	57.717598	288.86234	154.20728	235.5	98.9	28000	123.98559	123.98561	8.720027	8.799749	-126.77691	1008.28424	543.6490454673767
166.82133	48.0305	272.72708	47.505577	240.5682	18.532082	257.6895	205.14061	83.791664	107.6	30000	126.55707	126.55723	9.394079	9.722459	-130.10524	966.3884	581.3160872459412
255.38615	79.7922	516.03894	208.91196	1025.9037	0.5626106	1026.6375	1024.9828	130.41667	1000.0	32000	132.49937	132.49867	9.893588	10.391865	-135.866	969.5097	633.3654623031616
468.03976	263.66196	1088.3506	277.80368	330.47324	14.057071	350.9392	303.36945	303.625	133.3	34000	137.14574	137.14467	10.349712	10.398764	-140.39977	963.593	668.729211807251
295.33002	39.34146	441.87485	256.05396	251.20113	4.016958	256.31375	243.7359	118.64706	116.0	36000	141.77513	141.77455	10.1163845	10.080456	-145.1325	907.55426	704.6723892688751
285.711	44.984898	370.73282	156.3647	305.80713	21.492945	365.12564	283.91483	125.26667	143.1	38000	147.24794	147.24571	9.741723	10.193512	-150.58176	1009.04395	739.749938249588
299.51514	71.16326	541.89526	239.90227	245.49075	6.7537704	263.0861	238.57578	134.6	114.1	40000	149.42506	149.42345	10.2343025	10.542299	-152.415	923.55444	777.4418771266937
