AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
93.381676	27.471209	228.87042	71.40919	68.75272	5.405974	81.39118	62.0722	19.514563	14.4	38000	38.77197	38.77388	4.5864797	4.51757	6.4347976e-16	249.2268	8.116715	275.50064	222.5664	-3999.6472	63744.39	-7.6406026	-38.811306	564.1819	682.6282458305359
88.62045	19.735403	175.42538	71.408226	68.84248	2.4216444	71.997826	66.76241	18.57944	14.4	40000	38.69339	38.695354	4.6198635	4.571219	6.3850847e-16	252.10931	8.631311	284.92188	225.01707	-3999.0564	63735.0	-7.864456	-38.425426	550.90454	719.3192219734192
93.05066	24.079823	180.49811	66.85588	67.394516	2.5374932	71.59384	62.113903	19.549019	14.1	42000	38.5048	38.506504	4.6255236	4.5921006	6.319987e-16	254.27458	8.579862	284.21387	226.82877	-3999.6235	63743.98	-7.850209	-38.951828	567.3023	756.0595991611481
89.71522	22.72055	198.83862	66.69204	67.375145	3.3701885	76.530655	62.10642	18.728971	14.1	44000	38.507725	38.5095	4.6993594	4.6464367	6.274511e-16	255.22981	8.589704	288.61383	229.1757	-3999.1816	63737.0	-7.814987	-40.64153	559.3999	793.3342287540436
90.653305	21.48214	168.81607	66.79737	70.80818	4.208482	76.76893	66.79417	18.981133	14.8	46000	38.481243	38.482826	4.764792	4.729844	6.28071e-16	259.09424	8.433368	286.29755	233.60483	-3999.378	63740.09	-7.8324504	-39.03187	569.2174	830.1755197048187
87.66966	18.318014	180.69345	66.683044	71.35669	4.4851494	81.2153	66.92663	18.266054	14.9	48000	38.317253	38.318523	4.7484674	4.6881595	6.300995e-16	260.07428	8.405746	289.9521	232.32976	-3999.1455	63736.395	-7.749193	-37.845924	549.7076	866.7684988975525
95.34902	23.973316	167.24742	71.39364	68.82621	4.4282513	76.45934	61.940777	19.90099	14.4	50000	38.284866	38.28557	4.714291	4.6482677	6.343291e-16	257.55325	8.59643	288.48785	230.82758	-3999.292	63738.746	-7.7093015	-42.676857	551.8614	903.2256665229797
87.97504	17.156145	140.19763	66.56894	70.28383	3.0728793	76.52987	66.78883	18.523365	14.7	52000	38.22004	38.22072	4.7103834	4.6808295	6.1972493e-16	258.51352	8.389209	286.8611	229.63187	-3999.1785	63736.953	-7.914072	-41.00476	576.6796	939.5225632190704
91.817795	23.546854	165.78737	67.05398	69.357285	3.2202532	76.634796	66.802635	19.190475	14.5	54000	38.287777	38.289135	4.723343	4.7124305	6.1693174e-16	259.78482	8.751737	286.20303	231.6478	-3999.2551	63738.13	-7.6235695	-42.795883	542.71	976.0320956707001
92.468796	24.643108	207.3609	71.44156	69.28961	3.3072968	71.94259	61.830013	19.30097	14.5	56000	38.30969	38.310764	4.7913065	4.753149	6.0871504e-16	260.3317	8.694384	287.80582	229.55466	-3999.557	63742.98	-7.7273326	-42.507355	548.7339	1012.864518404007
