AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQ1	LossQ2	StepsPerSecond	Time
0.2945061	63.267876	140.217	-111.95776	372.0235	256.7967	677.0877	0.29517782	243.63637	622.2	36000	12681.188	202106.66	117.367386	-51.5132	12681.248	202107.6	119.063416	-26.278328	-532.8826	8492.922	24.625322	-16.647982	-50.308823	1.7160333	1.6768664	846.07776	360.0659680366516
15.6482525	64.69131	123.651855	-45.776276	323.71548	257.1004	678.90796	37.28628	434.25	536.2	38000	12165.859	193893.61	115.73357	-28.342176	12165.765	193892.08	117.26608	-28.240324	-581.7922	9272.403	25.307428	-14.327999	-48.24066	1.761356	1.7064719	952.82605	382.815003156662
22.732561	39.383045	94.4165	-47.84831	161.44861	184.47821	661.5754	20.732035	270.2857	237.2	40000	11643.281	185565.0	108.13199	-52.54838	11643.361	185566.27	109.009224	-28.654482	-611.3269	9743.105	23.708755	-16.1366	-46.193066	1.6499671	1.6100571	914.88275	401.6953206062317
108.30511	85.56951	206.73094	16.012815	440.8144	280.33765	811.605	43.42276	574.0	620.7	42000	11299.697	180089.12	106.55695	-23.072159	11299.675	180088.78	105.4214	-31.487495	-631.51715	10064.882	21.883284	-15.463392	-44.83239	1.5390627	1.524569	904.6102	425.1024055480957
58.551117	42.11089	117.1822	20.191912	381.2531	262.754	838.98474	25.16925	434.66666	514.2	44000	10941.223	174375.94	104.95034	-25.333086	10941.265	174376.58	106.18509	-25.12004	-641.7091	10227.313	25.344902	-18.13264	-43.435047	1.4929487	1.4811367	834.4156	447.5661270618439
78.000175	48.575607	150.0795	18.296469	232.81323	252.46793	872.3185	6.5048738	390.85715	263.9	46000	10656.052	169831.02	103.519745	-25.912226	10656.056	169831.06	103.27012	-24.706646	-655.2967	10443.862	24.660196	-15.502056	-42.31549	1.4127125	1.4318279	869.3261	466.54273319244385
67.907265	43.816936	126.40065	20.633877	644.5748	281.16998	913.1851	30.650293	307.33334	754.1	48000	10482.48	167064.7	100.54944	-36.4272	10482.546	167065.75	101.544106	-38.57607	-668.04193	10646.99	27.431501	-15.537903	-41.622257	1.4205916	1.3941853	854.6941	492.0429744720459
127.394485	94.974	233.06755	-17.216564	541.42395	382.85718	986.59717	12.807801	303.0	609.5	50000	10406.857	165859.44	98.40892	-22.93281	10406.973	165861.28	98.29211	-19.636755	-684.7072	10912.587	26.137842	-14.923416	-41.312	1.3940272	1.3696538	908.2609	516.1762278079987
71.23207	52.904285	146.3655	17.849285	450.54413	340.98526	956.00775	101.44781	444.4	510.8	52000	10296.972	164108.12	93.877785	-16.597935	10296.983	164108.31	96.10071	-21.40661	-689.4596	10988.326	26.7197	-15.557946	-40.89319	1.2960266	1.2932513	892.68695	539.62655210495
72.468124	53.09346	170.83487	10.678934	413.93732	378.78333	1016.3368	13.841762	498.0	422.9	54000	10254.553	163432.06	94.0932	-31.708319	10254.643	163433.48	94.26723	-18.989305	-700.42236	11163.044	26.038733	-16.051867	-40.72189	1.2647675	1.2743816	840.5148	560.382967710495
