AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	AverageQ1Vals	StdQ1Vals	MaxQ1Vals	MinQ1Vals	AverageQ2Vals	StdQ2Vals	MaxQ2Vals	MinQ2Vals	LossPi	LossQ1	LossQ2	Time
17.768103	17.6831	123.55472	6.0913258	76.53519	0.63019043	77.8612	75.74641	20.697916	44.2	1999	168.88025	1671.9496	6.5418606	-1.1217191	168.73784	1670.5398	6.4934955	-1.0706595	-2.053332	0.02414165	0.028148934	6.696836233139038
16.80506	13.463993	102.50172	4.761721	190.59308	1.3329161	192.56471	187.59332	21.473118	85.1	3999	523.4003	5181.734	20.428299	-4.581552	523.39777	5181.708	20.778687	-5.2831383	-6.0256314	0.14522798	0.15360947	15.68362832069397
17.516895	12.774609	107.53402	6.39987	204.34908	0.6733215	205.19585	202.57947	20.822916	88.9	5999	1124.2347	11130.037	43.71876	-17.27869	1124.2885	11130.57	43.275887	-15.708217	-12.879276	0.5239353	0.51842606	24.95647168159485
17.344254	14.359083	103.102806	5.618469	208.57939	1.7429597	212.87471	206.41324	21.673914	90.1	7999	1908.3623	18892.959	66.97136	-25.652893	1908.3901	18893.234	67.22755	-26.863552	-21.760696	1.324649	1.2783208	35.729899883270264
15.836041	10.8265705	77.83593	4.810062	216.12375	0.94608855	217.06444	214.26758	20.84375	93.7	9999	2809.7073	27816.34	97.13577	-27.346802	2809.6628	27815.896	95.563805	-23.307178	-31.9051	2.1838772	2.1328087	46.28386473655701
169.56099	45.49617	224.18846	17.785456	177.60855	3.2181358	183.70407	174.6764	80.68	89.4	11999	4209.7876	41677.324	106.58488	-18.927355	4209.717	41676.62	108.39014	-22.725224	-46.742847	9.981435	9.870233	58.4420268535614
157.98433	25.95745	195.215	84.47082	151.56226	1.4609798	154.16643	148.92052	81.125	80.9	13999	5797.857	57399.22	130.26976	-18.724619	5797.7173	57397.84	130.10204	-21.719955	-63.26121	15.663199	15.1528845	71.79529571533203
156.79308	14.779629	207.06306	136.98512	208.95389	3.3054817	213.85147	202.63959	81.875	93.4	15999	7198.279	71263.35	147.65742	-28.383385	7197.9663	71260.26	145.04956	-24.866331	-77.44824	14.699884	14.111609	82.80091214179993
195.94759	48.796394	254.24617	45.460766	215.65498	0.79071724	217.20511	214.84758	90.17391	93.2	17999	8270.031	81873.72	153.30136	-26.789839	8269.961	81873.02	152.04744	-25.79946	-88.12172	13.807716	13.118869	94.04580044746399
216.87404	56.580032	301.86932	44.074368	289.1208	2.563886	293.88382	286.6595	91.72727	109.5	19999	9158.658	90671.19	157.30301	-23.201962	9158.792	90672.52	158.1286	-29.552904	-96.344604	16.273363	15.66764	104.87813878059387
310.18216	39.26919	386.4433	247.23076	322.11755	12.093271	352.93463	309.5266	114.35294	127.1	21999	9814.041	97159.52	161.70361	-35.157303	9814.033	97159.45	161.1535	-43.277145	-102.82505	17.755474	17.01061	116.733647108078
331.06415	34.089905	401.04428	265.63177	320.32935	2.1495545	324.9495	316.51556	123.875	129.9	23999	10422.512	103183.41	164.70438	-87.46598	10422.354	103181.836	164.57175	-58.613724	-109.00434	19.523571	18.58986	127.79407954216003
312.77505	129.50269	416.91983	44.11011	424.55728	3.4837701	430.9037	418.0986	114.29412	143.2	25999	11043.504	109331.25	170.76997	-61.787624	11043.375	109329.98	169.19662	-56.123592	-115.34638	20.195312	19.052555	139.808819770813
389.91302	55.767506	466.23254	236.15298	355.7284	24.58232	407.96176	331.72015	137.2	132.4	27999	11714.59	115975.01	176.466	-41.76862	11714.548	115974.59	176.16058	-41.612694	-122.278656	22.784609	21.391335	150.6649272441864
366.64212	60.515675	415.18213	210.49419	320.34174	44.2666	360.41605	249.01724	130.4	128.3	29999	12248.383	121259.55	183.23537	-74.20526	12248.322	121258.95	180.99608	-63.222984	-127.21134	23.008894	21.404585	162.3357379436493
314.82324	109.656044	564.1322	46.069675	409.32544	47.966984	547.72205	380.49963	125.375	152.9	31999	12736.76	126094.48	187.8937	-45.23451	12736.528	126092.19	185.45924	-48.535824	-132.12361	27.302145	25.487032	173.18425750732422
382.78098	33.961086	445.2313	296.5942	470.27887	55.495575	547.5629	414.0495	142.28572	165.6	33999	13222.66	130904.914	190.66988	-77.43419	13222.643	130904.734	189.37001	-52.802235	-137.45122	29.49532	27.49704	185.89461278915405
418.63666	68.289055	521.2351	308.4935	475.78946	46.80511	522.2874	403.31235	154.23077	167.1	35999	13702.82	135658.53	196.06328	-61.61572	13702.775	135658.08	195.29283	-55.014477	-141.99257	29.89852	27.415789	196.91646718978882
424.26352	58.197136	537.6318	354.68222	429.9372	2.8650901	434.92798	425.04916	156.07692	151.8	37999	14108.324	139673.05	208.59073	-63.692562	14108.127	139671.08	206.19043	-61.21892	-145.81758	29.498695	27.436293	208.96538972854614
385.95078	119.06713	519.1111	37.827225	578.9625	83.17058	714.9374	464.8646	139.78572	180.9	39999	14422.108	142779.53	214.19566	-69.35938	14422.036	142778.83	215.43819	-53.707863	-148.88661	30.214426	28.06938	220.39847612380981
476.69553	104.50033	741.72675	353.10287	402.82632	0.95078945	404.56396	401.26984	163.38461	135.0	41999	14761.515	146139.7	230.43803	-46.491505	14761.572	146140.27	233.00124	-66.64532	-152.15065	30.86794	28.56297	232.28823590278625
402.8873	30.329784	492.619	365.47952	415.84912	5.1623893	423.15887	405.96243	136.35715	139.2	43999	15070.299	149196.7	239.01877	-64.68961	15070.272	149196.44	234.53947	-60.856083	-155.20343	29.944597	27.776487	242.90341901779175
450.03394	39.48953	532.9297	386.30563	492.70636	16.377878	507.6978	457.86832	148.42857	157.4	45999	15314.274	151612.08	242.51025	-51.283176	15314.107	151610.42	237.96266	-57.806587	-157.66516	29.229815	27.302265	255.0273425579071
492.36044	30.015285	540.9177	446.2001	560.6034	18.655956	586.10864	526.24426	158.91667	170.4	47999	15578.476	154227.69	241.78464	-72.02443	15578.445	154227.39	242.07777	-56.874035	-160.35393	31.695856	30.603199	266.3858358860016
533.2076	46.773262	590.30273	444.15164	507.37817	235.61073	657.2957	38.08349	169.66667	158.8	49999	15827.494	156693.0	245.03049	-55.747482	15827.507	156693.12	243.90616	-65.65983	-162.65547	27.928816	26.145676	278.1274938583374
546.6663	37.41188	589.7488	462.18796	532.10803	96.45581	642.89453	255.52014	172.16667	166.7	51999	16026.287	158661.1	263.18115	-67.11284	16026.29	158661.11	264.71982	-58.62135	-164.606	26.897411	24.87116	289.67542266845703
476.26303	137.6997	621.98035	43.231575	521.9435	57.372196	611.9149	437.26425	153.84616	163.7	53999	16164.264	160027.11	278.23044	-55.196484	16164.263	160027.08	283.3565	-61.92049	-165.77644	26.254263	24.630812	301.2656786441803
502.93848	127.76248	717.5148	296.7369	683.24414	38.67206	738.44214	603.1311	166.45454	209.1	55999	16340.779	161774.64	298.92007	-70.566986	16340.545	161772.31	301.36386	-51.372826	-167.3944	28.15313	26.671776	313.5172429084778
370.44785	233.06541	862.0863	127.308334	451.23407	238.24947	1063.9746	273.98068	133.8125	153.3	57999	16513.863	163488.2	309.4569	-77.85379	16513.523	163484.84	306.1234	-55.93731	-169.18053	28.231224	27.806152	324.94774985313416
300.68777	121.42373	595.63513	165.62363	347.0216	111.50655	532.9827	222.68796	116.94118	125.8	59999	16659.553	164930.58	307.51657	-57.357193	16659.494	164929.98	308.5471	-55.078083	-170.37862	30.301111	28.869524	335.6834981441498
352.82724	184.37282	677.6865	10.154564	648.24176	230.47827	990.65497	185.49036	123.1875	221.3	61999	16845.408	166770.6	298.24448	-63.2443	16845.082	166767.36	299.10992	-65.754715	-172.31712	29.939362	28.862278	348.7745842933655
453.23743	125.94941	630.7692	221.19666	585.5657	34.28994	658.892	536.01373	157.92308	187.6	63999	17052.707	168822.88	291.53128	-57.32534	17052.562	168821.44	293.1089	-94.005226	-174.66493	32.00103	31.594862	361.04513478279114
417.91174	221.39688	974.02515	205.56592	232.11519	5.6824183	239.58899	219.63304	167.0	136.8	65999	17340.838	171675.39	316.6886	-70.2445	17340.588	171672.9	312.45047	-70.545746	-177.64171	33.303417	32.977726	371.7516095638275
499.37997	276.22598	978.47205	214.28111	746.0894	242.68971	1145.6891	352.1927	191.1	251.3	67999	17717.602	175405.33	313.52155	-66.357605	17717.39	175403.23	309.88232	-106.629395	-181.50266	36.548405	33.98805	384.39555978775024
641.43585	89.85194	832.912	456.48712	769.7664	119.28084	962.34717	651.0934	203.7	233.6	69999	17998.867	178189.84	315.2711	-77.89188	17998.416	178185.39	309.10428	-115.63288	-184.26437	39.716846	36.02126	397.4822714328766
608.2499	114.97223	772.8428	426.19058	441.8637	40.42507	504.513	383.0252	193.7	146.3	71999	18126.33	179451.75	319.39423	-64.66085	18125.719	179445.69	316.5514	-281.31467	-185.65196	40.643055	36.859913	410.29946208000183
