AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	StepsPerSecond	Time
-17.784548	2.172816	-10.306483	-20.406555	-13.224518	0.25794896	-12.832472	-13.64907	12.534591	15.0	38000	-50.3631	-50.363506	5.876712	5.7240033	0.0011909563	43328.348	6551.8486	66162.98	25179.82	6268.1074	6269.8306	57423.523	131.62845	811.46313	303.69201946258545
-1.996149	23.627632	96.004875	-17.399017	-15.549594	0.3907906	-15.036648	-16.060238	26.43421	13.0	40000	-32.20638	-32.205814	5.356296	5.226993	0.00091127283	37436.176	7055.7476	61073.555	22803.877	5162.242	5959.453	54045.695	28.232573	899.17377	318.5793979167938
-14.609854	3.0587418	7.4771113	-18.814232	-16.736984	0.09297647	-16.557863	-16.84463	13.266666	14.0	42000	-25.529024	-25.527998	2.4843404	2.4397042	0.0011054266	24340.748	2908.0557	34902.21	15718.762	4539.9624	5776.9307	59729.098	3.6619296	924.44824	333.51224660873413
-15.590949	9.234358	85.83039	-20.898699	-24.304066	4.3840113	-17.336584	-33.38176	15.137404	70.2	44000	-26.766851	-26.767204	2.690597	2.641959	0.0010798157	26751.447	5171.385	45258.39	15822.18	3070.8716	4636.7817	54416.344	-4.050681	905.168	349.5048701763153
14.537431	82.758514	276.48682	-42.476746	-13.907234	0.3290882	-13.224935	-14.393173	78.03846	13.0	46000	-25.990494	-25.991234	2.0295815	1.9716295	0.0012886015	21341.98	2376.9102	30567.635	14893.704	1854.0522	2964.7424	38797.06	-9.668097	953.31635	363.4952759742737
-10.55935	26.373371	194.97797	-61.959587	52.323036	76.458984	199.18262	-22.032343	27.942858	142.4	48000	-22.558794	-22.55935	1.4600425	1.4246213	0.0014382527	16627.426	2554.4255	23835.854	10057.373	2037.5713	2843.6475	33815.754	-8.934605	933.5922	379.88704228401184
186.71378	108.61522	333.1082	7.004904	-16.730404	8.123512	3.2120066	-25.553734	168.45454	76.5	50000	-20.838717	-20.839811	1.2791692	1.2334416	0.0014514256	15057.256	2290.8193	27488.148	10081.808	2596.908	3156.9084	33182.13	-3.4541621	889.7323	395.1907002925873
-8.498398	30.66492	55.7291	-92.72756	11.881999	4.5385075	21.23395	2.9499142	60.88889	35.0	52000	-21.799273	-21.799332	1.8272628	1.8056426	0.0011064407	21212.143	2686.5435	30396.625	12947.936	2320.8	2927.4207	35310.594	-8.0046425	878.779	410.09081053733826
-0.79674184	16.348064	76.473114	-13.369108	87.30363	21.36561	149.31209	72.15355	24.875	86.9	54000	-21.748526	-21.748287	1.3363179	1.2987841	0.0015313344	14880.013	1818.2802	21568.727	9470.584	3045.4875	3516.2356	46440.03	-4.9556923	976.76385	426.1066300868988
113.324844	22.765425	169.28247	74.322754	164.09685	23.433544	198.41707	131.03592	93.95238	133.7	56000	-19.234728	-19.234951	1.0754828	1.0328743	0.0015714028	12903.451	1281.9426	17352.445	8665.999	4717.8384	4842.2964	54958.47	1.3018565	872.0228	442.36406779289246
37.53925	62.67597	175.45113	-55.615166	-141.60756	32.477486	-91.147354	-187.01851	90.818184	114.2	58000	-19.825922	-19.826563	1.444894	1.3792976	0.0012591203	17040.22	2631.9265	24683.23	10223.491	4280.3184	4859.3867	53849.785	9.10351	762.3388	460.2535893917084
-107.177086	52.64279	-23.4598	-187.33086	-131.18346	9.91471	-113.91393	-146.32796	117.29412	135.8	60000	-26.578144	-26.580133	1.8697457	1.8332713	0.001398119	20514.396	2228.489	31101.756	14722.685	4298.8237	5213.9395	56952.895	29.20665	1005.5322	476.589186668396
-12.700183	12.539351	7.745852	-144.69992	-9.5795355	2.5644534	-3.7091775	-12.575813	14.731884	17.7	62000	-28.911106	-28.908564	2.5329041	2.4388623	0.001332864	22476.727	2612.0825	33159.99	15072.777	4083.5962	5292.391	53582.516	8.067427	818.07635	492.4511001110077
-62.490097	62.069183	-0.9672934	-198.86313	-59.540577	13.609227	-34.600758	-81.27991	76.26923	74.4	64000	-27.190361	-27.191172	2.3669698	2.3063912	0.0013815658	20988.957	1756.7448	26671.996	14703.743	3398.8162	4611.93	49513.223	1.9080231	896.8354	507.9289176464081
