AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	StepsPerSecond	Time
21.978022	12.028335	91.0	9.0	9.4	0.663325	10.0	8.0	21.978022	9.4	2000	2.5582194	2.555997	0.018177697	0.018716233	-2.562335	53143.71	19.49061393737793
21.923077	10.851881	62.0	9.0	43.4	4.758151	52.0	35.0	21.923077	43.4	4000	8.310013	8.30986	0.035661772	0.035345368	-8.615218	45655.234	56.43114113807678
23.951807	13.560133	80.0	10.0	200.0	0.0	200.0	200.0	23.951807	200.0	6000	15.96953	15.968918	0.096381746	0.095711045	-16.69728	46175.473	94.74536395072937
21.835165	14.395714	129.0	9.0	200.0	0.0	200.0	200.0	21.835165	200.0	8000	23.306221	23.305273	0.34304762	0.36158204	-24.455181	47625.008	132.421204328537
22.786516	10.474659	52.0	11.0	111.6	3.9293766	117.0	105.0	22.786516	111.6	10000	30.315742	30.315002	1.2483968	1.2144316	-31.78483	47072.707	170.12127113342285
137.64285	21.23544	187.0	107.0	105.5	3.4132097	111.0	100.0	137.64285	105.5	12000	34.978386	34.978043	0.62514955	0.64499366	-36.545116	1565.2913	208.4120798110962
99.65	9.258915	126.0	76.0	99.1	3.3	105.0	94.0	99.65	99.1	14000	42.425274	42.42466	1.2523075	1.2979546	-44.35159	1483.0804	245.83213663101196
102.45	3.216753	109.0	98.0	103.0	2.408319	107.0	100.0	102.45	103.0	16000	55.334637	55.334885	1.1125826	1.183177	-57.66103	1557.5206	283.62055253982544
104.31579	4.3292475	114.0	97.0	107.8	2.3579652	111.0	105.0	104.31579	107.8	18000	64.255424	64.25523	0.9034507	0.9858198	-66.773674	1458.9769	320.88590240478516
107.73684	4.2900386	118.0	101.0	107.1	2.7730849	111.0	103.0	107.73684	107.1	20000	69.76172	69.76171	0.7957958	0.91136456	-72.37426	1421.649	358.19631600379944
111.47059	2.830873	117.0	107.0	118.3	2.1	122.0	115.0	111.47059	118.3	22000	72.081566	72.0818	0.79049975	0.8749637	-74.54644	1422.4531	395.2659091949463
116.55556	5.293835	128.0	108.0	134.3	2.9681644	138.0	128.0	116.55556	134.3	24000	71.12965	71.12974	0.74446726	0.8101357	-73.36069	1578.9897	433.0712060928345
168.81818	26.85929	200.0	126.0	197.9	4.3462625	200.0	187.0	168.81818	197.9	26000	68.59207	68.5927	0.7082251	0.73339474	-70.630295	1836.415	472.7626049518585
191.09091	28.173021	200.0	102.0	200.0	0.0	200.0	200.0	191.09091	200.0	28000	67.71195	67.71267	0.7370203	0.76904815	-69.58311	1591.4321	513.0783309936523
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	30000	68.91325	68.91316	0.6587551	0.68640906	-70.653984	1420.9131	552.6942193508148
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	32000	70.88898	70.88936	0.61267275	0.646001	-72.583755	1457.1165	591.210711479187
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	34000	73.565704	73.565865	0.6060662	0.6347927	-75.23253	1422.2535	629.5093266963959
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	36000	76.05545	76.05561	0.47553125	0.5077163	-77.67635	1564.7025	667.8956594467163
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	38000	78.82746	78.8272	0.45320338	0.5032476	-80.4017	1632.457	706.1740031242371
200.0	0.0	200.0	200.0	200.0	0.0	200.0	200.0	200.0	200.0	40000	81.1872	81.18727	0.44953492	0.49295813	-82.66139	1741.5819	744.5296607017517
