AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageMinRatio	StdMinRatio	MaxMinRatio	MinMinRatio	AverageMaxRatio	StdMaxRatio	MaxMaxRatio	MinMaxRatio	StepsPerSecond	Time
139.68265	42.042408	236.86615	71.46791	105.57534	2.257549	108.64713	103.33478	29.07353	21.4	2000	12.660201	12.659693	0.78456235	0.9053328	5.8572845	7.7896085	3.7029352	15.92089	2.1649988	-489.39346	7799.7686	4.468074	-4.858291	0.93659323	0.012552211	0.9600389	0.8840175	1.0652989	0.01203565	1.1093262	1.0424637	662.0043	23.28375744819641
158.68439	36.330315	240.7822	88.25374	104.85897	2.0931232	108.24642	102.87067	32.5	21.3	4000	36.851696	36.851578	1.2116501	1.2577077	1.7955113e-08	34.879986	14.110317	64.07626	15.34932	-842.505	13427.423	-1.8461347	-4.9101586	0.94483787	0.0072751986	0.96147203	0.9053325	1.0527377	0.0062333173	1.080663	1.0393199	762.2745	59.8824987411499
146.41034	29.404505	244.8391	92.389496	105.99733	2.2584188	108.5924	102.93302	30.363636	21.6	6000	57.231476	57.231792	3.351	3.4894996	2.3327223e-08	94.01271	19.018623	132.28172	60.1514	-846.197	13486.269	-1.8588217	-4.7970653	0.9469464	0.007306202	0.9610006	0.9129377	1.052113	0.0065370137	1.0879865	1.0357028	752.97437	96.40834784507751
154.54915	40.23747	277.1496	88.75302	107.82523	2.6399083	110.55694	104.39118	31.698412	21.6	8000	66.115555	66.115135	5.9043045	6.0312676	4.5919034e-08	153.3997	13.77695	179.423	121.70919	-849.3532	13536.571	-1.893267	-4.7008915	0.95301	0.0049949014	0.9644124	0.9256192	1.0471147	0.004625919	1.0669062	1.0370865	759.98676	133.7156810760498
165.46497	44.49069	325.83817	92.9409	110.60707	0.4016491	111.19109	109.96035	33.949154	22.0	10000	68.63233	68.63182	7.782457	8.030768	3.1256768e-09	190.54288	10.242867	219.23322	166.49551	-850.6491	13557.223	-1.9086865	-4.8318596	0.95265245	0.0049121524	0.96391016	0.9314034	1.0498278	0.0049288925	1.0724432	1.038837	721.6441	171.18810033798218
171.6473	52.611076	425.87418	93.668495	109.37007	2.2058542	113.9741	104.23364	35.25	22.0	12000	69.22852	69.22925	9.066395	9.246357	7.019979e-10	210.92554	6.7771707	235.3041	190.06332	-851.3885	13568.996	-1.9081668	-4.7202034	0.9507494	0.004959152	0.96230364	0.92839116	1.0525049	0.0052811606	1.0733681	1.0404389	759.09424	208.02335572242737
179.01852	48.23961	283.05203	83.5993	120.90654	3.3773336	127.77324	117.83473	36.70909	23.5	14000	70.6046	70.60387	9.966177	10.102345	2.2334568e-08	224.26013	6.8503785	251.89104	204.91383	-854.1987	13613.798	-1.9238245	-4.7299466	0.9498333	0.0051985676	0.9618227	0.9258347	1.0532173	0.005610132	1.0791705	1.0401336	752.8886	245.41142344474792
207.89523	61.919926	389.88147	127.80609	160.47298	3.448978	165.90266	155.0829	42.68085	31.1	16000	73.39199	73.391846	10.759582	10.904007	1.433157e-09	235.22343	6.0426354	258.36435	216.57886	-855.5922	13636.002	-1.9125661	-4.792759	0.9492887	0.005162383	0.9623186	0.921836	1.0537119	0.0060646185	1.0793223	1.0398034	703.6215	283.38902711868286
252.80058	79.74444	459.56204	126.4297	236.52515	11.750257	259.75638	220.57791	50.74359	45.4	18000	77.79114	77.79139	11.294746	11.539217	1.5034338e-09	239.05937	5.9000816	258.14368	220.9556	-856.1455	13644.816	-1.9262213	-4.783963	0.9495963	0.0052581704	0.9629953	0.92253315	1.0518618	0.005717125	1.075553	1.0389458	699.32245	318.06223702430725
292.38986	104.060585	725.07666	136.32141	338.1667	59.040863	492.09662	281.40622	59.878788	67.7	20000	84.1023	84.10093	12.508838	12.733163	8.539175e-09	243.83119	5.6901	267.4357	227.54837	-857.5371	13666.995	-1.9479383	-4.933895	0.9493581	0.005468635	0.962292	0.916363	1.0499414	0.005514595	1.0774323	1.0374118	725.2186	356.3431603908539
308.2589	104.08222	751.4212	173.13835	378.2473	45.412083	485.59656	331.69308	61.90625	77.7	22000	91.747696	91.74678	13.715729	13.866623	2.8551767e-08	245.29124	6.0171585	268.02798	224.86467	-862.3205	13743.231	-1.9431236	-4.7761374	0.9473971	0.006005088	0.95966095	0.9122147	1.0487412	0.0053837434	1.0717726	1.0371455	718.06274	394.5028100013733
353.08066	104.15618	745.95996	170.08008	362.96204	45.6907	438.8879	313.7385	71.31035	72.9	24000	100.805695	100.805405	15.293204	15.412449	3.5561795e-10	243.14868	7.274562	265.4824	216.13605	-866.8693	13815.7295	-1.9688481	-4.779575	0.9431793	0.007422688	0.958401	0.9011148	1.0489988	0.0058969324	1.0822943	1.0349818	738.67456	432.62917590141296
338.32184	56.2248	509.6917	243.89688	341.66876	34.725384	429.48828	298.56445	67.37931	68.4	26000	110.10114	110.0992	15.491485	15.646607	3.8689574e-10	222.0342	9.649138	250.4881	195.5885	-867.1839	13820.746	-1.9634875	-4.9852066	0.93625134	0.008713794	0.95474154	0.8901812	1.0503435	0.0062736743	1.0847678	1.0368725	689.29065	469.19259548187256
341.3061	68.302635	509.22736	261.571	312.1624	24.255419	347.53702	273.9925	66.833336	64.0	28000	117.05698	117.05598	15.6924305	16.144974	4.3744786e-09	196.17468	9.275776	226.93694	168.15579	-867.8891	13831.988	-1.9925715	-4.697535	0.9267421	0.010944572	0.95147055	0.87570786	1.0551057	0.008208402	1.0988147	1.0380954	704.90186	506.5817446708679
373.2217	91.32904	606.8458	248.82101	281.37628	16.805313	306.72363	253.32686	73.62963	58.5	30000	120.87309	120.873955	15.486553	15.461115	4.0879708e-10	170.0792	8.27602	198.98354	147.09808	-868.6654	13844.362	-2.0039942	-4.8002896	0.9151583	0.013463941	0.9436439	0.8374471	1.0615649	0.0105086025	1.1310586	1.0382873	674.76733	544.6881883144379
326.04935	53.71802	450.68863	241.51851	261.42804	12.044428	280.35837	247.05678	62.625	54.5	32000	121.433395	121.43305	14.478579	14.646764	1.2039725e-09	151.71347	7.1843095	175.84422	128.37755	-868.886	13847.876	-1.993377	-4.897271	0.90685475	0.015319636	0.9383992	0.82791036	1.0660133	0.011958969	1.1221343	1.0439589	656.8631	583.0316121578217
331.6095	41.062927	423.2202	242.91173	255.3424	12.697258	274.4548	235.40305	63.4375	53.1	34000	120.770035	120.76934	13.425356	13.73745	4.3064777e-10	137.3658	5.982177	161.23325	120.966866	-869.3583	13855.396	-1.9998611	-4.8654704	0.9013329	0.016959928	0.9367702	0.8215898	1.0683482	0.012821923	1.133281	1.0419885	670.0152	621.326858997345
338.76962	68.86104	520.26404	239.36761	277.50607	19.329441	314.7859	254.15787	65.0	58.2	36000	118.61582	118.616714	12.716199	12.915581	5.478842e-10	129.09674	4.9948244	145.09273	111.63467	-869.4141	13856.289	-1.9978577	-4.731356	0.90019226	0.017522106	0.93872046	0.795806	1.0690533	0.013303332	1.154273	1.0431217	654.8657	659.5445139408112
325.69604	61.90651	515.6163	236.78986	293.41217	19.53979	336.7359	262.56445	62.580647	61.3	38000	116.869026	116.86769	11.813264	11.9396305	4.5195547e-10	124.887405	4.426649	143.86449	110.16268	-869.5273	13858.086	-1.9846106	-4.790165	0.9013965	0.018342553	0.93965405	0.80695033	1.0673997	0.012289625	1.1323731	1.0426325	635.9773	698.2743949890137
367.48868	90.807434	761.0808	252.93996	307.94937	25.566309	377.583	282.8369	71.06896	62.6	40000	116.34146	116.34254	11.33497	11.446176	6.566138e-10	122.26178	4.320457	135.67955	108.612595	-869.6541	13860.112	-1.9558879	-4.913206	0.903984	0.018038664	0.9424213	0.7992291	1.0675327	0.01316988	1.1386354	1.043376	650.21936	737.0883913040161
369.814	73.48307	547.04333	265.6484	352.08243	42.991337	448.59613	306.1642	72.22222	71.3	42000	117.065636	117.06357	10.442664	10.623654	5.566874e-10	116.35886	4.280808	133.04425	103.50809	-869.7304	13861.32	-1.9715734	-4.743423	0.9031723	0.018591944	0.9393735	0.7870182	1.067906	0.01301942	1.1408993	1.0425167	682.97565	775.5300238132477
