AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossAC	AverageC	StdC	MaxC	MinC	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageMinRatio	StdMinRatio	MaxMinRatio	MinMinRatio	AverageMaxRatio	StdMaxRatio	MaxMaxRatio	MinMaxRatio	StepsPerSecond	Time
364.28473	51.443146	486.67972	282.92834	318.93243	19.35316	356.7719	292.98083	70.89286	65.1	44000	118.703445	118.70175	10.20259	10.156888	4.0840678e-10	109.47488	4.2491965	123.225784	95.963684	-869.6455	13859.979	-1.9616172	-4.865798	0.9011887	0.019729044	0.94376445	0.8056969	1.0685371	0.013097639	1.1607018	1.0441595	687.5285	813.8847208023071
373.3049	74.86706	568.53107	264.83334	307.49167	19.04389	336.8214	272.56622	73.28571	61.9	46000	120.34751	120.34775	9.782537	9.91762	3.993294e-10	103.26025	4.158752	118.257454	91.68291	-869.6682	13860.342	-1.9208394	-4.795066	0.8977431	0.020344723	0.9386019	0.80780214	1.0717502	0.014152437	1.146839	1.0437747	651.419	852.734760761261
346.4649	50.13676	463.99747	247.70052	346.10184	17.016321	378.68524	320.1571	67.93104	69.0	48000	121.36164	121.361	9.650565	9.654617	4.1270687e-10	97.93699	3.7735941	110.48021	85.76878	-869.7369	13861.435	-1.9037985	-4.860689	0.89450496	0.021167109	0.9418721	0.7275923	1.0744965	0.015725294	1.1652284	1.0473673	672.0679	891.2720165252686
384.18927	57.52122	503.9018	299.8879	392.2249	50.73392	480.04523	318.8219	76.38461	78.1	50000	121.63922	121.637215	9.501523	9.594393	4.13066e-10	94.47614	3.578977	106.86935	83.330086	-869.61	13859.417	-1.9023781	-4.780612	0.89412	0.021836633	0.9424263	0.79659086	1.0754712	0.015339132	1.1683557	1.0457261	691.86237	929.7952299118042
374.35156	65.128815	502.43692	254.62299	411.62256	54.298172	538.94336	329.06433	74.51852	81.1	52000	121.20582	121.20489	9.405861	9.424014	4.0270914e-10	92.80166	3.351213	104.89284	81.24019	-869.7421	13861.523	-1.8709974	-4.978011	0.8951169	0.022007758	0.9422	0.772037	1.0760009	0.01605401	1.1817113	1.0467601	680.8012	968.2870519161224
371.91782	68.00637	561.36816	242.81613	397.55576	44.282333	457.2641	303.8675	74.22222	77.8	54000	120.50193	120.50153	9.112031	9.146123	3.9412862e-10	91.62072	3.2280354	105.316666	80.80461	-869.5792	13858.921	-1.8596953	-4.932415	0.8970996	0.02253308	0.9447547	0.76476467	1.0754887	0.015990477	1.1627946	1.0470452	668.6249	1006.8481307029724
369.56348	54.80958	492.47446	263.56503	396.06046	49.937134	490.68655	324.09042	73.51852	77.2	56000	119.81155	119.81094	8.934793	8.946969	3.9481393e-10	90.71897	3.318389	102.48568	80.30762	-869.6919	13860.716	-1.8647048	-4.7107325	0.89849204	0.023029454	0.94226974	0.7759056	1.0755424	0.016455447	1.1682115	1.0470427	682.5271	1045.5059518814087
388.97635	58.568634	545.1806	300.5581	419.33893	97.9022	609.14746	288.89157	77.34615	82.2	58000	119.761086	119.760574	8.515822	8.524645	3.9097975e-10	89.06474	3.1440134	98.87742	80.144135	-869.7182	13861.133	-1.8549626	-4.782152	0.89965653	0.022404587	0.94348794	0.74764794	1.0741307	0.01535518	1.194394	1.045239	681.1999	1084.1081326007843
381.27383	59.169178	517.3535	298.03207	411.01056	68.501915	602.86676	346.25824	74.888885	79.9	60000	120.222755	120.22224	8.074956	8.037174	3.893856e-10	86.21997	3.0839097	96.81254	74.47938	-869.7032	13860.902	-1.8341029	-4.763439	0.89827186	0.023945063	0.9457749	0.76991457	1.0750053	0.015664652	1.1861554	1.0461999	677.1811	1122.7800908088684
386.98114	76.14099	610.9684	301.35135	444.95517	105.40644	724.18774	330.88403	77.80769	87.9	62000	121.16941	121.17044	8.068202	7.9805937	3.972363e-10	83.97043	3.0437894	94.58184	74.27667	-869.7978	13862.409	-1.8472606	-4.911666	0.8980982	0.023858462	0.94558764	0.7619458	1.0757118	0.016480668	1.2265587	1.0458976	649.4638	1162.4908859729767
393.5993	73.146736	574.1155	291.57584	437.473	98.850876	690.8012	339.74542	78.8	84.5	64000	121.965355	121.96484	7.8485155	7.8579016	3.9322562e-10	82.2453	2.892979	92.36086	72.650536	-869.6768	13860.468	-1.8367419	-4.9811964	0.89629227	0.025520064	0.94097507	0.74039495	1.0763601	0.016182285	1.1672632	1.0479094	656.4474	1201.2470452785492
369.512	45.54659	470.4452	290.30273	401.92743	38.89618	499.12573	358.86728	74.44444	77.1	66000	122.69739	122.69677	7.774592	7.795302	3.967745e-10	81.3203	2.943885	91.45687	72.5186	-869.8039	13862.497	-1.7905247	-4.89983	0.89573914	0.025696678	0.94458824	0.742291	1.0758973	0.015369265	1.1571175	1.0484076	723.59296	1239.5234811306
394.51022	100.321594	841.7601	281.42258	418.3749	54.399475	525.70013	372.33942	77.34615	81.4	68000	123.12111	123.121025	7.6433473	7.7220597	3.9158835e-10	80.30363	2.8635972	91.75716	72.00751	-869.7703	13861.959	-1.8106056	-4.8181267	0.8955575	0.0257771	0.94246346	0.76989233	1.0761318	0.015982434	1.1596692	1.0482486	679.2977	1278.264167547226
392.0019	104.61584	824.64215	266.21103	400.94708	34.379627	464.04834	342.7163	77.42308	76.4	70000	123.81848	123.817924	7.5577664	7.5753427	3.9214199e-10	79.3019	2.8133504	89.73066	69.136765	-869.8669	13863.497	-1.7924991	-4.78285	0.896517	0.025325587	0.9433694	0.75173765	1.0760045	0.016260764	1.2130387	1.0466642	690.3802	1316.9899904727936
402.99136	111.39871	837.2636	306.96127	432.96704	83.84214	663.3288	344.09665	80.625	83.5	72000	124.72475	124.724884	7.5417686	7.657891	3.9544068e-10	78.82554	2.7846565	89.428345	70.21014	-869.8884	13863.853	-1.8218222	-5.042343	0.89676976	0.025191082	0.94698036	0.7500953	1.0755349	0.015685001	1.1894273	1.0472773	658.9214	1355.931342124939
397.8229	75.28449	645.1985	313.3797	397.00107	42.585007	471.17377	352.04846	77.53846	76.5	74000	125.04069	125.04019	7.4847345	7.6123714	3.9374212e-10	78.28359	2.7133367	88.26052	69.538994	-869.7968	13862.3955	-1.7993768	-4.9491158	0.8967007	0.025766661	0.9424107	0.76359653	1.0752447	0.015341668	1.1797289	1.0479915	667.7345	1394.766372203827
397.4025	60.736767	581.0537	285.6774	411.66754	34.761726	471.34357	360.18823	77.69231	79.0	76000	125.680595	125.681366	7.3542705	7.3401537	3.9722636e-10	78.356735	2.772685	88.23012	70.238914	-869.8891	13863.862	-1.7891546	-4.9445105	0.8970719	0.025871169	0.9467685	0.7271997	1.075548	0.0151371015	1.1839166	1.0480824	674.59924	1433.81076836586
406.04694	55.584545	596.94934	308.36035	436.20013	36.74791	488.4509	366.19724	77.84615	84.1	78000	126.397514	126.397255	7.265215	7.291166	3.939686e-10	77.83586	2.6755044	87.565216	69.18354	-869.8619	13863.42	-1.774458	-4.8722787	0.8984458	0.025085257	0.9417552	0.74457145	1.0748299	0.014335281	1.173403	1.048351	642.21027	1472.7979261875153
404.64197	82.66514	620.3188	306.5514	435.04907	37.44956	517.2178	395.78302	79.72	83.8	80000	127.11837	127.11883	7.2734404	7.3710127	4.0048867e-10	77.689095	2.756954	86.79981	69.50147	-869.848	13863.201	-1.763789	-4.9200773	0.89692765	0.026427552	0.94426465	0.70767957	1.0748624	0.014408758	1.1771877	1.0466835	674.1396	1511.2230191230774
402.5435	60.245293	572.45233	289.42163	456.9943	66.46431	590.5234	370.77527	78.08	88.1	82000	128.03635	128.03601	7.1568446	7.1556063	3.9402323e-10	77.71313	2.7343311	88.25067	67.1032	-869.9094	13864.19	-1.7693284	-4.7880664	0.8969816	0.02688968	0.943237	0.7385585	1.0753516	0.015008778	1.1788863	1.0477352	670.6949	1550.2476527690887
386.0196	86.60673	770.2495	278.30948	441.88483	69.658844	601.4989	375.04742	75.22222	85.0	84000	128.7161	128.71675	7.069546	7.1593537	3.9366888e-10	76.957825	2.7139213	86.22299	69.09858	-869.8823	13863.744	-1.754933	-4.8041697	0.89812493	0.027036866	0.94301164	0.732539	1.0743937	0.014524725	1.1879218	1.048884	675.99384	1589.3197507858276
441.945	63.084858	572.2817	354.5006	428.16934	53.972004	560.56177	371.23492	86.91304	82.8	86000	129.36783	129.368	7.0824656	7.1198907	4.013354e-10	77.189995	2.712726	86.82699	68.95386	-869.9022	13864.064	-1.7360525	-4.8202744	0.9003547	0.025826523	0.9418478	0.7291634	1.0737007	0.013582363	1.1512333	1.0487041	684.32385	1628.2023177146912
415.3386	108.507774	765.06506	294.0974	395.70975	34.485584	456.44904	338.532	82.333336	76.3	88000	130.28735	130.28728	7.234428	7.2755194	3.9769593e-10	77.452705	2.7136078	86.408936	67.548874	-869.9322	13864.548	-1.7492548	-4.9321938	0.90150666	0.024554513	0.9452433	0.7416024	1.0741404	0.013637309	1.1469434	1.0462837	682.18787	1666.678978919983
412.1364	81.52932	632.63983	294.02307	380.11566	33.069237	426.57126	340.16412	81.08	73.0	90000	130.8528	130.85312	7.2184443	7.241917	4.0811013e-10	77.95815	2.815375	87.12011	70.159294	-869.8522	13863.272	-1.7593999	-5.292633	0.90181166	0.024302606	0.94386727	0.7639389	1.074714	0.014046891	1.1634203	1.0489765	663.2165	1705.461718082428
410.51285	78.406586	666.846	328.68372	413.96753	39.279724	486.35495	362.1587	81.041664	79.9	92000	131.5888	131.58846	7.162865	7.26244	4.0287246e-10	77.520485	2.8094573	88.43704	68.59594	-869.9621	13865.027	-1.7344351	-4.910354	0.9016615	0.024391316	0.9443211	0.7120409	1.0750114	0.013478729	1.1634808	1.0489162	698.742	1744.5810234546661
389.06998	59.12281	511.05515	284.38824	383.6341	21.81021	422.24402	346.71252	76.666664	73.8	94000	132.1139	132.11443	7.221598	7.289702	4.0814838e-10	77.688156	2.721852	87.86482	68.93765	-869.7659	13861.894	-1.7185422	-4.7161303	0.9020913	0.02428066	0.94595087	0.77184415	1.0749519	0.013384328	1.1402782	1.0476725	660.8466	1783.5908880233765
402.29266	54.442795	536.2696	327.74905	398.7431	40.013767	494.2237	349.6728	78.24	77.3	96000	132.2634	132.26381	7.3511534	7.3774505	4.109358e-10	77.65795	2.8145645	87.839066	68.08879	-869.7845	13862.194	-1.6950823	-4.8744307	0.9039224	0.022221707	0.94256127	0.7552827	1.0751301	0.0134199355	1.1681162	1.0474529	672.78314	1822.966521024704
409.19128	59.320396	534.8858	308.9091	398.3521	38.671	491.22214	359.20435	79.88	77.7	98000	132.80684	132.80757	7.2489147	7.296364	4.1203416e-10	77.73489	2.8147643	88.94703	69.24372	-869.8001	13862.442	-1.7047087	-4.7678027	0.9040406	0.022668656	0.9452351	0.77089757	1.075812	0.014218933	1.16568	1.0494004	665.45825	1862.0679860115051
410.51044	89.37062	741.23975	315.12866	404.8589	29.982096	471.5363	358.72223	80.92	76.9	100000	133.0451	133.04436	7.285209	7.3750653	4.1546003e-10	77.39763	2.8061557	88.73241	68.08021	-869.6939	13860.743	-1.6840664	-4.996394	0.9042961	0.022498809	0.94578767	0.7552153	1.0763159	0.013815795	1.163691	1.0495373	684.43036	1900.7441501617432
455.6904	191.00304	1209.7825	324.0306	405.01932	52.26735	546.1145	340.33466	90.77273	76.9	102000	133.56665	133.56664	7.2593265	7.3680167	1.0571994e-09	77.10953	2.7356544	86.884186	68.66087	-869.7102	13861.009	-1.6853591	-4.867184	0.9024189	0.023267249	0.9440633	0.74786335	1.0775967	0.014603888	1.1819715	1.0480195	679.5	1939.5547370910645
425.6464	79.009796	579.4393	324.72278	429.54205	41.97901	530.0538	375.55743	84.0	82.4	104000	133.82202	133.82188	7.2434945	7.36629	4.1679185e-10	76.60191	2.8118732	86.21106	68.14862	-869.6882	13860.659	-1.6681978	-4.8721557	0.90207565	0.023185242	0.9436537	0.78841555	1.0769681	0.013961382	1.1509738	1.0499644	616.53796	1978.2215237617493
404.2367	81.3705	650.0939	296.06332	438.17007	53.34293	558.49384	364.186	79.44	84.3	106000	134.30194	134.30255	7.319679	7.403666	4.182421e-10	76.075424	2.7518294	86.93215	68.05479	-869.773	13862.006	-1.6252548	-4.8890104	0.90274197	0.022020485	0.94158524	0.7734761	1.0779381	0.014413763	1.2123177	1.0478355	696.5144	2017.1688148975372
431.40884	105.41562	768.66644	300.4237	417.65204	21.054535	455.70657	386.8278	84.347824	79.6	108000	134.6187	134.61945	7.311846	7.3729725	4.2274986e-10	75.764244	2.8069026	85.70042	68.32052	-869.7668	13861.907	-1.6385418	-4.8071895	0.9032292	0.0219218	0.94356054	0.72785515	1.079503	0.015066691	1.1705769	1.0469683	660.00464	2056.1608176231384
426.1497	88.574974	770.11847	319.80426	454.81534	27.87209	505.32187	410.69153	83.8	86.6	110000	135.03328	135.03296	7.243825	7.352198	4.2236775e-10	75.4767	2.8199303	86.40632	66.64556	-869.5585	13858.589	-1.5902205	-4.766923	0.902349	0.021323586	0.94159204	0.74401885	1.0801848	0.014917963	1.1491022	1.0503166	668.6639	2095.2545127868652
402.64597	69.37059	626.051	300.78064	425.8164	21.58127	463.53162	397.55328	78.08	80.6	112000	135.43893	135.4392	7.3449297	7.385701	4.2899684e-10	75.64917	2.8250396	85.399086	65.24722	-869.7378	13861.451	-1.5989039	-4.8980145	0.9022938	0.021464268	0.9395228	0.75111675	1.0809212	0.015222942	1.1766052	1.0521202	669.72626	2133.677942752838
407.74353	71.32691	697.1599	313.35382	429.48788	41.897366	509.35297	373.48123	78.61539	80.6	114000	135.89705	135.89624	7.3264203	7.357188	4.3395726e-10	75.59636	2.9300058	85.11256	67.10201	-869.5141	13857.878	-1.600313	-5.0018272	0.90188575	0.022387974	0.944844	0.77811384	1.0807214	0.01518167	1.1725796	1.0493053	667.9709	2172.9342470169067
397.9158	61.10198	541.5795	317.02686	435.4755	27.577122	498.55933	394.28445	76.5	82.4	116000	136.12424	136.1246	7.358016	7.4139266	4.3774903e-10	75.06108	2.8766124	84.88809	66.84758	-869.7088	13860.99	-1.6029174	-4.754854	0.90131456	0.021515615	0.94218534	0.7814694	1.0814108	0.015646677	1.186602	1.0516179	657.35675	2211.7716796398163
462.5204	154.05383	905.3728	295.07092	425.13803	28.437132	472.7557	385.9703	91.09091	80.0	118000	136.69315	136.69293	7.3516355	7.4053397	4.4472365e-10	74.758095	2.9106257	86.5426	64.88796	-869.5529	13858.499	-1.5812408	-4.826346	0.9001836	0.02188354	0.9425977	0.80134124	1.0818225	0.016233925	1.2433356	1.0476577	672.98315	2250.6093344688416
411.51486	63.009235	606.2228	314.0264	430.25717	32.79384	486.68665	375.72018	80.625	81.0	120000	137.09293	137.0938	7.3669715	7.43775	4.4981963e-10	74.269844	2.910003	85.770836	64.135056	-869.6482	13860.0205	-1.5475965	-4.791065	0.89984536	0.022339825	0.9420876	0.762389	1.0828564	0.016158985	1.1806685	1.0498086	682.2085	2289.4451501369476
395.65973	54.278156	541.7299	299.74118	427.41513	24.557503	478.51483	401.16144	76.46154	80.3	122000	137.49335	137.49313	7.375455	7.5246396	4.6312498e-10	74.398315	2.9318113	83.85226	65.29507	-869.5753	13858.864	-1.5799547	-4.9062786	0.9002961	0.021009225	0.94005036	0.79204416	1.0828571	0.01608098	1.2095828	1.0483499	699.15094	2327.9690024852753
429.68958	113.62416	870.62085	312.15704	450.04443	49.29242	526.98004	377.71732	84.333336	85.4	124000	137.52419	137.52425	7.419252	7.460812	4.7523285e-10	74.71064	2.9502094	85.16009	63.229424	-869.4779	13857.31	-1.5529492	-4.8450956	0.899728	0.022092806	0.9378718	0.74496806	1.083877	0.016038403	1.1892093	1.0503966	643.5866	2367.3203117847443
414.823	69.12766	595.02765	317.74545	442.99854	26.134218	477.2591	391.09842	81.2	83.4	126000	137.86064	137.86134	7.48911	7.544901	4.9252025e-10	74.96068	2.9970644	84.01524	64.81909	-869.5338	13858.196	-1.5499227	-4.9955153	0.90047705	0.022218645	0.94097346	0.72397095	1.083344	0.016114183	1.1853415	1.0502894	637.98694	2406.4780502319336
427.37903	69.00838	631.0946	340.66544	451.27557	26.995481	513.8589	417.68494	84.695656	85.2	128000	137.84285	137.84184	7.447793	7.55355	4.937538e-10	74.57971	3.0063868	85.17073	64.59098	-869.4972	13857.61	-1.535697	-4.942373	0.9002421	0.020962952	0.94128567	0.7919069	1.0846059	0.016118968	1.1857553	1.0483816	685.61163	2445.429517507553
440.55847	83.69537	753.6479	310.65256	450.60532	52.54263	577.57526	388.67606	87.73913	85.5	130000	138.15004	138.15028	7.4063115	7.5754504	5.2081806e-10	74.65679	2.9458568	87.68049	65.31219	-869.3976	13856.021	-1.5147705	-4.76009	0.90106595	0.020052234	0.94157255	0.78372073	1.0844865	0.016156472	1.2128673	1.0523722	658.4065	2484.4206006526947
425.74423	68.471146	638.18616	314.5624	449.08795	32.00532	508.34644	406.07846	83.333336	85.4	132000	138.47469	138.47508	7.471676	7.598372	5.546474e-10	74.35603	2.9763393	84.01812	65.64286	-869.4536	13856.915	-1.5043783	-5.063427	0.90073353	0.020267315	0.9422156	0.77236557	1.0844445	0.016793074	1.2149558	1.0536084	653.477	2523.734776496887
404.72678	49.26348	529.42163	330.71387	473.70245	38.56273	546.81494	418.49466	77.26923	90.8	134000	139.12675	139.12701	7.308916	7.381782	6.570209e-10	74.11061	3.0363822	83.90238	64.80189	-869.4842	13857.409	-1.5112431	-5.042453	0.90069133	0.021152774	0.94074386	0.73806095	1.0840042	0.016689146	1.1930168	1.0510145	661.83923	2562.932418346405
425.60873	58.975292	628.5015	351.599	468.90854	42.180817	531.859	411.9678	82.375	89.6	136000	139.37132	139.37149	7.2659655	7.2942176	5.7734034e-10	73.69378	3.0478814	86.77782	63.11079	-869.3942	13855.973	-1.4920832	-4.779945	0.9010382	0.0202754	0.9408202	0.7916532	1.0849631	0.017134229	1.2551391	1.050856	652.49615	2602.3878848552704
440.40787	71.07278	619.9679	333.29504	437.059	53.401333	576.92725	385.5467	85.708336	82.8	138000	139.7449	139.74516	7.210849	7.3212423	5.6607946e-10	73.367546	3.0202513	85.78325	62.993244	-869.4084	13856.196	-1.4725765	-4.748438	0.90022004	0.021258673	0.9389578	0.80338526	1.0843215	0.0156047195	1.1706753	1.0545002	656.3732	2641.581288576126
462.41632	106.918724	825.5144	332.34073	451.31305	54.300457	545.4173	393.26416	90.181816	85.3	140000	140.09854	140.0988	7.1580048	7.28304	6.7004596e-10	73.37209	2.932107	82.85101	63.754543	-869.3152	13854.715	-1.477514	-4.8402486	0.9009982	0.022015063	0.94096357	0.7278575	1.0844004	0.016267693	1.2224214	1.0508845	647.6956	2680.843989133835
435.40845	91.61275	793.85657	343.53244	441.4732	42.624374	542.1982	388.41708	84.708336	83.6	142000	140.9031	140.90291	7.0789485	7.1263194	5.982785e-10	73.227905	2.9623399	84.02434	64.80237	-869.5125	13857.848	-1.4521565	-4.896102	0.9025138	0.0210651	0.9434242	0.72357255	1.084114	0.017236209	1.2045904	1.0529944	640.0824	2720.2219202518463
441.81805	71.99598	609.79047	327.86264	462.20648	29.12822	513.9088	398.86523	85.91304	87.6	144000	141.56512	141.56564	6.997839	7.0702357	6.1669314e-10	73.476715	2.8880918	82.409294	61.17004	-869.4103	13856.235	-1.4713191	-4.8076835	0.9021101	0.021132594	0.93947613	0.76222503	1.0836732	0.016289609	1.1920793	1.051955	649.1765	2759.754390001297
