AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	EpLen	TestEpLen	TotalEnvInteracts	Q1Vals	Q2Vals	LossQ1	LossQ2	LossA	AverageLogP	StdLogP	MaxLogP	MinLogP	AverageAlpha	StdAlpha	MaxAlpha	MinAlpha	AverageZ	StdZ	MaxZ	MinZ	C	StepsPerSecond	Time
331.00232	9.116214	340.7922	302.86896	357.15463	2.6125226	361.31378	353.66788	121.5625	127.6	30000	122.493576	122.49381	4.8826375	5.0735784	0.0005652447	181.20853	2888.0217	3.6118965	-6.949906	-5.4222344e-08	0.2779609	0.9441343	-1.4009682	1.000148	0.0014919076	1.2769809	1.0000001	64.32283	1065.8451	528.4046397209167
249.21156	137.95856	364.68042	47.641533	383.88217	3.8619118	387.9889	375.2426	95.90476	133.1	32000	124.31953	124.31955	6.1577053	6.1929364	0.0004361956	184.28462	2937.047	3.8303068	-4.271463	8.472502e-08	0.28781456	1.1414356	-1.5309443	1.0001585	0.0016845879	1.1919005	1.0000002	63.657497	1030.089	563.2725057601929
339.21573	27.865793	378.79663	286.53534	404.26102	2.1467388	407.63458	400.12836	122.75	140.0	34000	127.31213	127.31206	5.447549	5.4123898	0.00036573244	195.19597	3110.9473	4.0086102	-4.0966177	-1.772195e-08	0.2558886	0.96860826	-1.0812043	1.0001264	0.0009420154	1.1678873	1.0000001	61.407585	1213.0437	598.1528263092041
362.87927	35.74966	393.99347	241.30635	419.24127	2.829604	422.83676	414.7353	129.6875	142.1	36000	130.09096	130.09099	5.9021277	5.786592	0.00052769383	198.84683	3169.1318	3.9626484	-4.0416102	-5.5393578e-08	0.2658972	0.9802738	-1.80358	1.0001358	0.0012581771	1.3197515	1.0000002	60.16797	1166.6515	633.2841022014618
391.23666	16.51472	422.89362	356.41116	423.7356	1.8290468	426.42938	419.61353	134.6	142.1	38000	132.49474	132.49469	5.433705	5.079749	0.0003908425	209.04996	3331.7444	4.053286	-4.5004716	2.3831427e-08	0.2578657	0.75905013	-1.2191007	1.0001293	0.000777465	1.1171892	1.0	55.64466	1349.2753	668.1322445869446
357.7492	111.57461	413.18338	43.797836	435.3733	1.8443547	439.04672	432.42102	125.0	145.8	40000	135.18085	135.18071	5.8603764	5.6449046	0.0005255218	217.22897	3462.098	4.2721343	-4.110153	-3.519058e-08	0.2658852	0.843537	-1.0959921	1.0001371	0.0008617378	1.1839014	1.0	53.940937	1285.7875	703.9679253101349
398.34204	31.083948	413.25845	287.2544	424.6902	2.0815854	428.55988	422.46838	136.28572	141.8	42000	139.11526	139.11453	7.5325146	7.189191	0.0007402567	212.9919	3394.5693	4.209125	-4.0964994	7.160902e-08	0.3269772	0.76094705	-1.21599	1.0002064	0.0014449185	1.1316967	0.9999998	62.966946	1316.2297	739.6851682662964
21.267849	82.21421	414.91534	1.0357752	0.28954822	0.09765521	0.44058648	0.15781246	18.936937	9.0	44000	154.90921	154.9099	78.04832	75.787125	0.0005732727	201.95966	3218.7437	3.5247116	-4.644914	1.3959408e-08	0.4908363	0.9826481	-1.111463	1.000475	0.00288955	1.1887256	1.0	201.36356	1278.3008	774.1229526996613
6.887457	3.782177	21.527706	2.4218814	-1.262129	0.27285993	-0.9530211	-1.8335059	21.25532	18.1	46000	165.69005	165.69446	141.86874	142.0286	0.0006257169	202.8857	3233.502	3.4824848	-4.258549	2.9712914e-09	0.51980597	1.1730564	-0.85799253	1.0005342	0.0029106617	1.2074709	0.9999999	369.88675	1297.2855	808.6627352237701
11.390496	6.992213	38.04885	3.5431278	-1.2707506	0.33799487	-0.7311154	-1.7919679	28.27143	17.6	48000	148.06206	148.06462	122.44783	122.04807	0.00056500745	187.54846	2989.066	3.3708203	-3.5740025	1.6140937e-08	0.4672165	0.6502323	-0.47878027	1.0004284	0.00164184	1.0405872	0.9999999	410.53436	1207.6014	844.4718239307404
